,Environment_APR,Z_Score_90d,Fragmentation_Spread,Conditioned_Momentum,y
Environment_APR,1.0,0.3238322655794991,-0.6521391657954575,0.30286546301688994,0.2207920792079208
Z_Score_90d,0.3238322655794991,1.0,-0.3029198345360464,0.3956552125800815,0.017775189283634245
Fragmentation_Spread,-0.6521391657954575,-0.3029198345360464,1.0,-0.11231839385150627,-0.3558002366856579
Conditioned_Momentum,0.30286546301688994,0.3956552125800815,-0.11231839385150627,1.0,0.03626092020966803
y,0.2207920792079208,0.017775189283634245,-0.3558002366856579,0.03626092020966803,1.0
