,Environment_APR,Z_Score_90d,Fragmentation_Spread,Conditioned_Momentum,y
Environment_APR,1.0,0.34376127484322266,-0.05447898939689647,0.5142857295315603,0.06453621179778721
Z_Score_90d,0.34376127484322266,1.0,-0.16789192967884659,0.14978841720950115,-0.16871663647159688
Fragmentation_Spread,-0.05447898939689647,-0.16789192967884659,1.0,0.3056911063753144,-0.21886977786335945
Conditioned_Momentum,0.5142857295315603,0.14978841720950115,0.3056911063753144,1.0,-0.01416162527904796
y,0.06453621179778721,-0.16871663647159688,-0.21886977786335945,-0.01416162527904796,1.0
