regime,n_days,mean_return,median_return,std_return,sharpe_like
WEAK_RISK_ON_MAJORS,83,-0.0007410294006551393,-0.00045323211281493326,0.005807942597151672,-0.1275889677385163
WEAK_RISK_ON_ALTS,52,0.0,0.0,0.0,NaN
BALANCED,299,-0.00009931843301440073,0.0,0.0013091518394215051,-0.07586471639400368
