date,score,regime
2024-05-27,-0.15711984864175696,BALANCED
2024-05-28,0.09494291211260222,BALANCED
2024-05-29,-0.0958984711320427,BALANCED
2024-05-30,-0.21157724457970378,BALANCED
2024-05-31,-0.02353993302832085,BALANCED
2024-06-01,0.06554720325112895,BALANCED
2024-06-02,0.16744144618888318,BALANCED
2024-06-03,0.04032772951768182,BALANCED
2024-06-04,0.3086726083138793,BALANCED
2024-06-05,0.18043793759731844,BALANCED
2024-06-06,0.020856300875716063,BALANCED
2024-06-07,-0.2561886624676195,BALANCED
2024-06-08,-0.14604056031908347,BALANCED
2024-06-09,-0.015457021066242055,BALANCED
2024-06-10,0.26574614510293826,BALANCED
2024-06-11,0.1657961822207279,BALANCED
2024-06-12,0.5304168192047873,WEAK_RISK_ON_MAJORS
2024-06-13,0.5091097195111018,WEAK_RISK_ON_MAJORS
2024-06-14,0.44866058087131144,WEAK_RISK_ON_MAJORS
2024-06-15,0.18025363032140304,BALANCED
2024-06-16,0.5313683454608322,WEAK_RISK_ON_MAJORS
2024-06-17,0.5275675709309496,WEAK_RISK_ON_MAJORS
2024-06-18,0.26966661539582926,WEAK_RISK_ON_MAJORS
2024-06-19,0.375167563502627,WEAK_RISK_ON_MAJORS
2024-06-20,0.41752134910348937,WEAK_RISK_ON_MAJORS
2024-06-21,0.43499887389666636,WEAK_RISK_ON_MAJORS
2024-06-22,0.3040935260297729,WEAK_RISK_ON_MAJORS
2024-06-23,0.4157703320762235,WEAK_RISK_ON_MAJORS
2024-06-24,0.485588008964421,WEAK_RISK_ON_MAJORS
2024-06-25,0.18654318785532936,BALANCED
2024-06-26,0.8224893666206666,WEAK_RISK_ON_MAJORS
2024-06-27,-0.03651301817122338,BALANCED
2024-06-28,0.3866971043078472,BALANCED
2024-06-29,0.15520487131844835,BALANCED
2024-06-30,-0.047158008324414205,BALANCED
2024-07-01,0.4686396660690911,BALANCED
2024-07-02,0.2854039871138327,BALANCED
2024-07-03,0.17645509536108644,BALANCED
2024-07-04,0.12980116229452646,BALANCED
2024-07-05,0.47978218353047836,BALANCED
2024-07-06,0.2872043326540179,BALANCED
2024-07-07,0.6551767092360058,WEAK_RISK_ON_MAJORS
2024-07-08,0.43390535120167195,WEAK_RISK_ON_MAJORS
2024-07-09,0.5435496382225798,WEAK_RISK_ON_MAJORS
2024-07-10,0.5339122500485535,WEAK_RISK_ON_MAJORS
2024-07-11,0.14479053752879595,BALANCED
2024-07-12,0.34403594962665607,BALANCED
2024-07-13,0.4602507934394537,BALANCED
2024-07-14,0.4919471466536934,BALANCED
2024-07-15,0.8527887256179854,WEAK_RISK_ON_MAJORS
2024-07-16,0.47443184078162615,WEAK_RISK_ON_MAJORS
2024-07-17,0.27921569909830535,WEAK_RISK_ON_MAJORS
2024-07-18,-0.24087233933012725,BALANCED
2024-07-19,0.08664755563511711,BALANCED
2024-07-20,0.439335388848383,BALANCED
2024-07-21,0.026829492561374454,BALANCED
2024-07-22,0.3270721962621785,BALANCED
2024-07-23,0.3523867206668938,BALANCED
2024-07-24,0.18995662360608306,BALANCED
2024-07-25,0.08604041300439494,BALANCED
2024-07-26,0.6629170152874393,WEAK_RISK_ON_MAJORS
2024-07-27,0.7695387670610435,WEAK_RISK_ON_MAJORS
2024-07-28,0.5207106451597443,WEAK_RISK_ON_MAJORS
2024-07-29,0.4124169853763968,WEAK_RISK_ON_MAJORS
2024-07-30,0.8865192719178807,WEAK_RISK_ON_MAJORS
2024-07-31,0.6370502495792372,WEAK_RISK_ON_MAJORS
2024-08-01,0.16248372800985086,BALANCED
2024-08-02,0.25854317051777403,BALANCED
2024-08-03,0.1657570385281851,BALANCED
2024-08-04,0.26653707904411955,BALANCED
2024-08-05,0.37262074867491607,BALANCED
2024-08-06,0.3711359991639556,BALANCED
2024-08-07,0.5,BALANCED
2024-08-08,0.4062281077217492,BALANCED
2024-08-09,0.9289611693766128,WEAK_RISK_ON_MAJORS
2024-08-10,0.5205511504836,WEAK_RISK_ON_MAJORS
2024-08-11,0.6637034017022189,WEAK_RISK_ON_MAJORS
2024-08-12,0.3243939976776212,WEAK_RISK_ON_MAJORS
2024-08-13,0.5950477345601582,WEAK_RISK_ON_MAJORS
2024-08-14,0.3930821212005167,WEAK_RISK_ON_MAJORS
2024-08-15,0.11508577731416027,BALANCED
2024-08-16,0.1586968496281732,BALANCED
2024-08-17,0.4097991098200293,BALANCED
2024-08-18,0.4666794966208937,BALANCED
2024-08-19,0.34078122478655476,BALANCED
2024-08-20,0.4119439184694769,BALANCED
2024-08-21,0.2883605033816287,BALANCED
2024-08-22,0.45117965076044675,BALANCED
2024-08-23,0.2269577960502389,BALANCED
2024-08-24,0.5446715970951549,WEAK_RISK_ON_MAJORS
2024-08-25,0.40146106444942947,WEAK_RISK_ON_MAJORS
2024-08-26,0.1107573811753962,WEAK_RISK_ON_MAJORS
2024-08-27,0.06813851042576517,BALANCED
2024-08-28,0.03879644244257767,BALANCED
2024-08-29,0.1774578175318708,BALANCED
2024-08-30,0.19756924142074933,BALANCED
2024-08-31,0.08220019225155241,BALANCED
2024-09-01,-0.04891650941690007,BALANCED
2024-09-02,-0.04215012479728687,BALANCED
2024-09-03,0.40435338347840355,BALANCED
2024-09-04,-0.12918239024848435,BALANCED
2024-09-05,0.32828756933444503,BALANCED
2024-09-06,-0.07645119526062936,BALANCED
2024-09-07,-0.01860920857617679,BALANCED
2024-09-08,0.3890813172110569,BALANCED
2024-09-09,0.3614408962692808,BALANCED
2024-09-10,0.42624196886328747,BALANCED
2024-09-11,0.27115518638989045,BALANCED
2024-09-12,-0.02710001075150381,BALANCED
2024-09-13,0.2388491939560285,BALANCED
2024-09-14,0.2860515166939732,BALANCED
2024-09-15,-0.1359455646691884,BALANCED
2024-09-16,-0.18642130022012293,BALANCED
2024-09-17,-0.15282728348813285,BALANCED
2024-09-18,0.2998754210264054,BALANCED
2024-09-19,0.14444362821294135,BALANCED
2024-09-20,0.19236358698083264,BALANCED
2024-09-21,-0.0034525534314699437,BALANCED
2024-09-22,-0.20779614062676016,BALANCED
2024-09-23,-0.40245955659012683,BALANCED
2024-09-24,-0.3733565707944104,BALANCED
2024-09-25,-0.33893164659650576,BALANCED
2024-09-26,-0.6256129026468252,WEAK_RISK_ON_ALTS
2024-09-27,-0.26100906310589544,WEAK_RISK_ON_ALTS
2024-09-28,-0.3491225663041858,WEAK_RISK_ON_ALTS
2024-09-29,-0.6058644995665817,WEAK_RISK_ON_ALTS
2024-09-30,-0.25366528143226424,WEAK_RISK_ON_ALTS
2024-10-01,-0.5116777540162258,WEAK_RISK_ON_ALTS
