date,regime,score,pnl,cost,funding,r_ls_net,alt_turnover,major_turnover,alt_gross,major_gross,total_gross
2024-09-16,RISK_ON_ALTS,42.949904042788354,0.0,0.0,-0.0010832857142857135,0.0010832857142857135,0.0,0.0,0.0,0.0,0.0
2024-09-17,BALANCED,54.0035028607305,0.0,0.0,-0.002217584210526314,0.002217584210526314,0.0,0.0,0.0,0.0,0.0
2024-09-18,RISK_ON_ALTS,44.33789422368754,0.0,0.0,0.005079536842105263,-0.005079536842105263,0.0,0.0,0.0,0.0,0.0
2024-09-19,RISK_ON_ALTS,38.428659098086996,0.0,0.0,0.010291515789473685,-0.010291515789473685,0.0,0.0,0.0,0.0,0.0
2024-09-20,RISK_ON_ALTS,44.47722739715066,0.0,0.0,0.01914325130890053,-0.01914325130890053,0.0,0.0,0.0,0.0,0.0
2024-09-21,RISK_ON_ALTS,34.558132196867284,0.0,0.0,0.008460219895287963,-0.008460219895287963,0.0,0.0,0.0,0.0,0.0
2024-09-22,RISK_ON_ALTS,34.07398429110978,0.0,0.0,0.0037602408376963383,-0.0037602408376963383,0.0,0.0,0.0,0.0,0.0
2024-09-23,RISK_ON_ALTS,37.15622456982996,0.0,0.0,0.008028219895287958,-0.008028219895287958,0.0,0.0,0.0,0.0,0.0
2024-09-24,RISK_ON_ALTS,30.508022722999694,0.0,0.0,0.015416623036649216,-0.015416623036649216,0.0,0.0,0.0,0.0,0.0
2024-09-25,RISK_ON_ALTS,26.245535602909932,0.0,0.0,0.01747232984293194,-0.01747232984293194,0.0,0.0,0.0,0.0,0.0
2024-09-26,RISK_ON_ALTS,0.0,0.0,0.0,0.012278324607329846,-0.012278324607329846,0.0,0.0,0.0,0.0,0.0
2024-09-27,RISK_ON_ALTS,5.659517515462381,0.0,0.0,0.020221869109947645,-0.020221869109947645,0.0,0.0,0.0,0.0,0.0
2024-09-28,RISK_ON_ALTS,19.621884493054363,0.0,0.0,0.02277920418848168,-0.02277920418848168,0.0,0.0,0.0,0.0,0.0
2024-09-29,RISK_ON_ALTS,29.949337603905178,0.0,0.0,0.020084623036649218,-0.020084623036649218,0.0,0.0,0.0,0.0,0.0
2024-09-30,RISK_ON_ALTS,7.518220572699458,0.0,0.0,0.013905486910994764,-0.013905486910994764,0.0,0.0,0.0,0.0,0.0
2024-10-01,RISK_ON_ALTS,0.0,0.0,0.0,0.012309062827225133,-0.012309062827225133,0.0,0.0,0.0,0.0,0.0
2024-10-02,RISK_ON_ALTS,31.838501878015236,0.0,0.0,0.001645812500000001,-0.001645812500000001,0.0,0.0,0.0,0.0,0.0
2024-10-03,RISK_ON_ALTS,38.33334055854404,0.0,0.0,0.004877642487046633,-0.004877642487046633,0.0,0.0,0.0,0.0,0.0
2024-10-04,RISK_ON_ALTS,42.95538374430926,0.0,0.0,0.0005230569948186539,-0.0005230569948186539,0.0,0.0,0.0,0.0,0.0
2024-10-05,BALANCED,47.03579210810177,0.0,0.0,0.0029137616580310875,-0.0029137616580310875,0.0,0.0,0.0,0.0,0.0
2024-10-06,RISK_ON_ALTS,44.20613238072876,0.0,0.0,0.012724103626943008,-0.012724103626943008,0.0,0.0,0.0,0.0,0.0
2024-10-07,BALANCED,47.13634183334573,0.0,0.0,0.008842647668393783,-0.008842647668393783,0.0,0.0,0.0,0.0,0.0
2024-10-08,RISK_ON_ALTS,30.596684262430735,0.0,0.0,0.013066911917098446,-0.013066911917098446,0.0,0.0,0.0,0.0,0.0
2024-10-09,RISK_ON_ALTS,34.74874440524532,0.0,0.0,0.006917564766839378,-0.006917564766839378,0.0,0.0,0.0,0.0,0.0
2024-10-10,RISK_ON_ALTS,0.0,0.0,0.0,-0.002474829015544038,0.002474829015544038,0.0,0.0,0.0,0.0,0.0
