,Environment_APR,Z_Score_90d,Fragmentation_Spread,Conditioned_Momentum,y
Environment_APR,1.0,0.3281796378156672,0.6162339529277299,0.6428746284742388,0.0701001228454939
Z_Score_90d,0.3281796378156672,1.0,0.05398513073725119,0.13749801630461153,-0.3087565300103594
Fragmentation_Spread,0.6162339529277299,0.05398513073725119,1.0,0.5851250481813803,-0.206336979609938
Conditioned_Momentum,0.6428746284742388,0.13749801630461153,0.5851250481813803,1.0,-0.03623419807423791
y,0.0701001228454939,-0.3087565300103594,-0.206336979609938,-0.03623419807423791,1.0
