date_iso,btc_1d,btc_7d,alt_7d_avg,spread7,avg_alt_funding,btc_funding,funding_spread,funding_heating,funding_risk,oi_change_3d,breadth_3d,regime_score,bucket,date,ret_btc,ret_alts,ret_ls,ret_ls_fwd_1d,w_bucket,w_score,ret_always_on,ret_bucket_sized,ret_score_sized,equity_always_on,equity_bucket_sized,equity_score_sized
2023-12-23T00:00:00+00:00,0.351192,4.79063,9.925257,-5.134627,0.0,0.0,0.0,0.0,0.5,0.0,0.609756,22.841508,RED,2023-12-23,0.003511915102144325,0.016590661149798378,-0.013078746047654053,-0.009296145257484545,0.0,0.0,-0.009296145257484545,-0.0,-0.0,0.9907038547425154,1.0,1.0
2023-12-24T00:00:00+00:00,-0.571918,3.56229,7.071885,-3.509595,0.0,0.0,0.0,0.0,0.5,0.0,0.439024,25.13936,RED,2023-12-24,-0.005719181787281147,0.0035769634702033973,-0.009296145257484545,-0.018962490993220067,0.0,0.0,-0.018962490993220067,-0.0,-0.0,0.9719176418200121,1.0,1.0
2023-12-25T00:00:00+00:00,-1.638918,3.922046,8.931325,-5.009278,0.0,0.0,0.0,0.0,0.5,0.0,0.560976,19.663706,RED,2023-12-25,-0.016389177992229498,0.0025733130009905703,-0.018962490993220067,-0.007541455179732988,0.0,0.0,-0.007541455179732988,-0.0,-0.0,0.9645879684858346,1.0,1.0
2023-12-26T00:00:00+00:00,1.401802,2.235146,9.5275,-7.292354,0.0,0.0,0.0,0.0,0.5,0.0,0.731707,0.0,RED,2023-12-26,0.014018023579590366,0.021559478759323354,-0.007541455179732988,0.0016737855803623108,0.0,0.0,0.0016737855803623108,0.0,0.0,0.9662024819184772,1.0,1.0
2023-12-27T00:00:00+00:00,-2.570703,0.630105,10.653651,-10.023546,0.0,0.0,0.0,0.0,0.5,0.0,0.829268,0.0,RED,2023-12-27,-0.025707027986871744,-0.027380813567234055,0.0016737855803623108,-0.10386278998490833,0.0,0.0,-0.10386278998490833,-0.0,-0.0,0.8658499964560813,1.0,1.0
2023-12-28T00:00:00+00:00,2.121629,-0.494238,11.607715,-12.101953,0.0,0.0,0.0,0.0,0.5,0.0,0.804878,0.0,RED,2023-12-28,0.021216289789059095,0.12507907977396743,-0.10386278998490833,-0.00017468814675685243,0.0,0.0,-0.00017468814675685243,-0.0,-0.0,0.8656987427248309,1.0,1.0
2023-12-29T00:00:00+00:00,-1.88357,-2.848478,7.132326,-9.980803,0.0,0.0,0.0,0.0,0.5,0.0,0.853659,0.0,RED,2023-12-29,-0.018835697890675074,-0.01866100974391822,-0.00017468814675685243,0.0069487050769817295,0.0,0.0,0.0069487050769817295,0.0,0.0,0.8717142279735396,1.0,1.0
2023-12-30T00:00:00+00:00,-1.23459,-4.383697,2.140088,-6.523785,0.0,0.0,0.0,0.0,0.5,0.0,0.682927,15.537816,RED,2023-12-30,-0.012345902448690937,-0.019294607525672667,0.0069487050769817295,0.002934967162934162,0.0,0.0,0.002934967162934162,0.0,0.0,0.8742726806081045,1.0,1.0
2023-12-31T00:00:00+00:00,0.346774,-3.500225,2.172779,-5.673004,0.0,0.0,0.0,0.0,0.5,0.0,0.682927,13.330512,RED,2023-12-31,0.0034677423774729377,0.0005327752145387755,0.002934967162934162,0.00025838616177392205,0.0,0.0,0.00025838616177392205,0.0,0.0,0.8744985805703906,1.0,1.0
2024-01-01T00:00:00+00:00,-0.029391,-1.921156,2.756268,-4.677424,0.0,0.0,0.0,0.0,0.5,0.0,0.609756,0.144125,RED,2024-01-01,-0.00029391391113131604,-0.0005523000729052381,0.00025838616177392205,8.53054354259114e-05,0.0,0.0,8.53054354259114e-05,0.0,0.0,0.8745731800525856,1.0,1.0
