signal,period,active_share,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew
X1_crowded_long_reversal,IS,0.10894941634241245,1028,-0.04728027374285415,0.05029564476619445,-0.9374369199311857,-0.3022192967827388,-0.14770150150137407,-0.32010692689142567,-0.046839376758224825,-8.123003503340566
X1_crowded_long_reversal,OOS,0.09210526315789473,988,-0.08812769222690409,0.0503975706060183,-1.8048113089189572,-0.6192155685643952,-0.22811643674176985,-0.3863276732078081,-0.03974000848195332,-7.2490739323505125
X2_short_squeeze_continuation,ALL,0.2655172413793103,2030,0.01767278438258324,0.07395536331023725,0.2737027944686944,0.19851941276894494,-0.2129830047589737,0.08297743945618095,-0.04778738309496579,1.633207981477701
X2_short_squeeze_continuation,IS,0.2523992322456814,1042,-0.005677267080641757,0.08206128769648663,-0.028493139516181668,-0.019058092489990304,-0.16122510256668443,-0.035213294891802464,-0.04778738309496579,1.100730319218464
X2_short_squeeze_continuation,OOS,0.2793522267206478,988,0.04289341782988498,0.06432773067717647,0.6848662397999724,0.5916014833913906,-0.10363991615966872,0.4138696693251174,-0.023780503942797827,2.7332749317214136
X3_capitulation_rebound,ALL,0.20925652387986213,2031,0.04127924408991723,0.08637723754910713,0.5114439753245968,0.3153194888299655,-0.08677955105672064,0.4756793920601916,-0.04602887795620148,0.4114620918538481
X3_capitulation_rebound,IS,0.18312559923298177,1043,0.01742390915433356,0.07628595149365013,0.26452224188448364,0.14998177210729932,-0.07941536143747607,0.21940225214553044,-0.04602887795620148,0.3602639189056629
X3_capitulation_rebound,OOS,0.23684210526315788,988,0.06706972402384959,0.09590677951698949,0.724774766937828,0.47944998415606305,-0.08677955105672086,0.7728747522559948,-0.042201541059933505,0.4121938447327357
X4_funding_despite_reversal_OI,ALL,0.17897435897435898,1950,0.013490190007854563,0.03465329725688461,0.4040220675335493,0.22918195845303269,-0.06904367488805763,0.19538632654948584,-0.01640243937991489,-0.4467875740989788
X4_funding_despite_reversal_OI,IS,0.16943866943866945,962,0.021916342363063723,0.03145097224595041,0.7050340786307506,0.40361862858492764,-0.039598870931553676,0.553458769088289,-0.014092657060732216,0.6043852527009067
X4_funding_despite_reversal_OI,OOS,0.1882591093117409,988,0.005352542227072599,0.03752101534062402,0.16104237669343419,0.09369807879563351,-0.06904367488805763,0.07752400543208078,-0.01640243937991489,-1.032360904994558
