asset,reason
SKHYNIXUSDT,non-crypto underlying (TradFi perp)
SKHYUSDT,non-crypto underlying (TradFi perp)
SMCIUSDT,non-crypto underlying (TradFi perp)
SMHUSDT,non-crypto underlying (TradFi perp)
SNDKUSDT,non-crypto underlying (TradFi perp)
SNOWUSDT,non-crypto underlying (TradFi perp)
SNXXUSDT,non-crypto underlying (TradFi perp)
SOFIUSDT,non-crypto underlying (TradFi perp)
SONYUSDT,non-crypto underlying (TradFi perp)
SOXLUSDT,non-crypto underlying (TradFi perp)
SOXSUSDT,non-crypto underlying (TradFi perp)
SPCXUSDT,non-crypto underlying (TradFi perp)
SPYUSDT,non-crypto underlying (TradFi perp)
SQQQUSDT,non-crypto underlying (TradFi perp)
STRCUSDT,non-crypto underlying (TradFi perp)
STXXUSDT,non-crypto underlying (TradFi perp)
TBTUSDT,non-crypto underlying (TradFi perp)
TENCENTUSDT,non-crypto underlying (TradFi perp)
TERUSDT,non-crypto underlying (TradFi perp)
TMFUSDT,non-crypto underlying (TradFi perp)
TQQQUSDT,non-crypto underlying (TradFi perp)
TSLAUSDT,non-crypto underlying (TradFi perp)
TSMUSDT,non-crypto underlying (TradFi perp)
TTWOUSDT,non-crypto underlying (TradFi perp)
TXNUSDT,non-crypto underlying (TradFi perp)
TZAUSDT,non-crypto underlying (TradFi perp)
UBERUSDT,non-crypto underlying (TradFi perp)
UNITREEUSDT,non-crypto underlying (TradFi perp)
URNMUSDT,non-crypto underlying (TradFi perp)
USARUSDT,non-crypto underlying (TradFi perp)
USDCUSDT,stable/index base
UVXYUSDT,non-crypto underlying (TradFi perp)
VRTUSDT,non-crypto underlying (TradFi perp)
VSTUSDT,non-crypto underlying (TradFi perp)
VUSDT,non-crypto underlying (TradFi perp)
WMTUSDT,non-crypto underlying (TradFi perp)
XAGUSDT,stable/index base
XAUTUSDT,stable/index base
XAUUSDT,stable/index base
XBIUSDT,non-crypto underlying (TradFi perp)
XLEUSDT,non-crypto underlying (TradFi perp)
XPDUSDT,non-crypto underlying (TradFi perp)
XPTUSDT,non-crypto underlying (TradFi perp)
ZHIPUUSDT,non-crypto underlying (TradFi perp)
ZHONGJIUSDT,non-crypto underlying (TradFi perp)
ZMUSDT,non-crypto underlying (TradFi perp)
