asset,period,bucket,n,mean_bp,lo_bp,hi_bp,vol_bp,settlement_hour
BTCUSDT,IS,hour_00,1575,1.9606838205159707,-2.050288436258584,5.769624731521378,80.5135720869134,True
BTCUSDT,IS,hour_01,1575,-0.07684626307835583,-3.8418013617357705,3.6680112890980916,75.84704468072064,False
BTCUSDT,IS,hour_02,1575,-3.2489622428080187,-6.4399223891096735,0.4867952516885039,72.41651467609232,False
BTCUSDT,IS,hour_03,1575,-2.0317067316145168,-5.226485156234007,0.8715793948464842,66.28405550268724,False
BTCUSDT,IS,hour_04,1575,-2.193832935664032,-5.331578200335018,0.7513476036607069,59.05604492141944,False
BTCUSDT,IS,hour_05,1575,1.0270891022127944,-1.609214505009482,3.7863410339670898,57.821871045508146,False
BTCUSDT,IS,hour_06,1575,1.1119642172101385,-1.801480058102127,4.060969271367177,59.707818503582864,False
BTCUSDT,IS,hour_07,1575,1.179682258562159,-1.46450066238259,4.147862166595305,60.30369932978502,False
BTCUSDT,IS,hour_08,1575,1.3673203269285008,-2.463496577901547,4.733343284070951,74.00558816701067,True
BTCUSDT,IS,hour_09,1575,-0.6358018589705726,-3.4366199033903966,2.2088051151812262,63.9854935592394,False
BTCUSDT,IS,hour_10,1575,2.017244832537193,-1.9850539483082021,5.577051295789738,82.5862379203006,False
BTCUSDT,IS,hour_11,1575,0.2307284858806119,-2.7695455206115263,3.2554892125197417,61.668391249812636,False
BTCUSDT,IS,hour_12,1575,1.9453442216466499,-1.9280375027981282,5.5916197695133665,86.28600458576126,False
BTCUSDT,IS,hour_13,1575,3.2821321925856854,-0.6033313387347964,6.4572428465238705,75.59846679147577,False
BTCUSDT,IS,hour_14,1575,-2.1625580838544605,-6.385877089365541,1.8064040947586224,86.72688383610513,False
BTCUSDT,IS,hour_15,1575,2.281068050959188,-1.7196552285500035,6.328482033492069,80.268903418189,False
BTCUSDT,IS,hour_16,1575,1.475768528930342,-1.8916145875439447,4.549978428640071,75.97998233198662,True
BTCUSDT,IS,hour_17,1576,-1.4196053390968661,-5.0897053269390335,1.6827483470692006,65.91538836303354,False
BTCUSDT,IS,hour_18,1576,0.15945940236380302,-3.51028400677115,3.107580521137511,72.19763689395947,False
BTCUSDT,IS,hour_19,1576,1.2022490196921252,-1.5535382455790179,4.434018153125079,70.52454417876388,False
BTCUSDT,IS,hour_20,1576,3.232459897319295,-0.34319828398182395,6.451645265812718,77.82806650665363,False
BTCUSDT,IS,hour_21,1576,4.923973794217715,0.7260025658360529,8.644067013380056,77.44822064298259,False
BTCUSDT,IS,hour_22,1576,3.0200422403010445,-0.3392402898588785,6.234233571507806,68.21143557367668,False
BTCUSDT,IS,hour_23,1576,-3.0993190374779336,-6.922171711915006,0.7817848822048786,83.58229115441019,False
BTCUSDT,OOS,hour_00,989,-0.16599714510154692,-3.240781660547118,2.803886918630868,49.873281514731495,True
BTCUSDT,OOS,hour_01,989,-0.9379809235932619,-4.455651311095287,2.684751227555178,56.260215293744324,False
BTCUSDT,OOS,hour_02,989,1.1161557095472663,-2.1370036913832746,4.294436769386884,48.197602348001894,False
