label,count,mean_y,median_y,std_y,hit_rate
Red,21,-0.0002872826191323122,-0.00797404485541335,0.03529717274541878,0.6190476190476191
Orange,20,-0.010162229417825826,0.0014855243712719388,0.051131115826876225,0.5
Yellow,20,0.02150446605404623,0.041869979724000264,0.04914603425697854,0.35
YellowGreen,20,0.004678384786517311,0.02773710826627982,0.07881141219743842,0.3
Green,21,0.012865364824833938,0.02252335868389635,0.06717319649175217,0.38095238095238093
