date,regime,score,pnl,cost,funding,r_ls_net,alt_turnover,major_turnover,alt_gross,major_gross,total_gross
2024-09-16,BALANCED,0.0,0.0,0.0,-0.0009708080357142834,0.0009708080357142834,0.0,0.0,0.0,0.0,0.0
2024-09-17,BALANCED,0.0,0.0,0.0,-0.000810573333333332,0.000810573333333332,0.0,0.0,0.0,0.0,0.0
2024-09-18,BALANCED,0.0,0.0,0.0,0.006653626666666667,-0.006653626666666667,0.0,0.0,0.0,0.0,0.0
2024-09-19,BALANCED,0.0,0.0,0.0,0.012175400000000003,-0.012175400000000003,0.0,0.0,0.0,0.0,0.0
2024-09-20,BALANCED,0.0,0.0,0.0,0.019189778761061954,-0.019189778761061954,0.0,0.0,0.0,0.0,0.0
2024-09-21,BALANCED,0.0,0.0,0.0,0.011032723684210533,-0.011032723684210533,0.0,0.0,0.0,0.0,0.0
2024-09-22,BALANCED,0.0,0.0,0.0,0.006376828947368424,-0.006376828947368424,0.0,0.0,0.0,0.0,0.0
2024-09-23,BALANCED,0.0,0.0,0.0,0.009471171052631582,-0.009471171052631582,0.0,0.0,0.0,0.0,0.0
2024-09-24,BALANCED,0.0,0.0,0.0,0.017189213973799133,-0.017189213973799133,0.0,0.0,0.0,0.0,0.0
2024-09-25,BALANCED,0.0,0.0,0.0,0.01801634934497817,-0.01801634934497817,0.0,0.0,0.0,0.0,0.0
2024-09-26,BALANCED,0.0,0.0,0.0,0.013175751091703063,-0.013175751091703063,0.0,0.0,0.0,0.0,0.0
2024-09-27,BALANCED,0.0,0.0,0.0,0.02049648260869566,-0.02049648260869566,0.0,0.0,0.0,0.0,0.0
2024-09-28,BALANCED,0.0,0.0,0.0,0.022550973913043487,-0.022550973913043487,0.0,0.0,0.0,0.0,0.0
2024-09-29,BALANCED,0.0,0.0,0.0,0.019775243478260873,-0.019775243478260873,0.0,0.0,0.0,0.0,0.0
