date,score,regime
2024-06-19,0.6047850391503049,WEAK_RISK_ON_MAJORS
2024-06-20,0.716222100386687,WEAK_RISK_ON_MAJORS
2024-06-21,0.7194159675403923,WEAK_RISK_ON_MAJORS
2024-06-22,0.3806528835379745,WEAK_RISK_ON_MAJORS
2024-06-23,0.6818484118495267,WEAK_RISK_ON_MAJORS
2024-06-24,0.2762924432364994,WEAK_RISK_ON_MAJORS
2024-06-25,0.5059851342392911,WEAK_RISK_ON_MAJORS
2024-06-26,0.9482846322594441,WEAK_RISK_ON_MAJORS
2024-06-27,0.0137849458461195,BALANCED
2024-06-28,0.47732175088427325,BALANCED
2024-06-29,0.03007373388893886,BALANCED
2024-06-30,0.11779669176060797,BALANCED
2024-07-01,0.4190573006695406,BALANCED
2024-07-02,0.24983938702284333,BALANCED
2024-07-03,-0.023930243712222493,BALANCED
2024-07-04,0.17020910421491087,BALANCED
2024-07-05,0.15457345267194506,BALANCED
2024-07-06,-0.003021561480205423,BALANCED
2024-07-07,1.233538288062972,WEAK_RISK_ON_MAJORS
2024-07-08,0.6786453164542631,WEAK_RISK_ON_MAJORS
2024-07-09,0.722971954809472,WEAK_RISK_ON_MAJORS
2024-07-10,0.4569546061532497,WEAK_RISK_ON_MAJORS
2024-07-11,0.44371538394914933,WEAK_RISK_ON_MAJORS
2024-07-12,0.2787342473286028,WEAK_RISK_ON_MAJORS
2024-07-13,0.34802853215144225,WEAK_RISK_ON_MAJORS
2024-07-14,0.4617361102269353,WEAK_RISK_ON_MAJORS
2024-07-15,0.4218589002816542,WEAK_RISK_ON_MAJORS
2024-07-16,1.115859406374838,WEAK_RISK_ON_MAJORS
2024-07-17,0.1917201784917475,BALANCED
2024-07-18,0.40315499007950006,BALANCED
2024-07-19,-0.020646742127854112,BALANCED
2024-07-20,0.45763204886201214,BALANCED
2024-07-21,0.19789166559134963,BALANCED
2024-07-22,0.6577925781650787,WEAK_RISK_ON_MAJORS
2024-07-23,0.211436243374258,WEAK_RISK_ON_MAJORS
2024-07-24,-0.2998756174323505,BALANCED
2024-07-25,-0.013899532927837903,BALANCED
2024-07-26,0.2290179350521096,BALANCED
2024-07-27,0.6998780600456441,WEAK_RISK_ON_MAJORS
2024-07-28,0.26841490524917244,WEAK_RISK_ON_MAJORS
2024-07-29,0.42341168281202934,WEAK_RISK_ON_MAJORS
2024-07-30,0.2518486610014736,WEAK_RISK_ON_MAJORS
2024-07-31,0.06477179606434101,BALANCED
2024-08-01,0.1494897392244541,BALANCED
2024-08-02,0.24473333175552717,BALANCED
2024-08-03,0.023427749861658714,BALANCED
2024-08-04,0.0,BALANCED
2024-08-05,0.0,BALANCED
2024-08-06,0.0,BALANCED
2024-08-07,0.0,BALANCED
2024-08-08,0.0,BALANCED
2024-08-09,0.0,BALANCED
2024-08-10,0.0,BALANCED
2024-08-11,0.0,BALANCED
2024-08-12,0.0,BALANCED
2024-08-13,0.0,BALANCED
2024-08-14,0.0,BALANCED
2024-08-15,0.0,BALANCED
2024-08-16,0.0,BALANCED
2024-08-17,0.0,BALANCED
2024-08-18,0.0,BALANCED
2024-08-19,0.0,BALANCED
2024-08-20,0.0,BALANCED
2024-08-21,0.0,BALANCED
2024-08-22,0.0,BALANCED
2024-08-23,0.0,BALANCED
2024-08-24,0.0,BALANCED
2024-08-25,0.0,BALANCED
2024-08-26,0.0,BALANCED
2024-08-27,0.0,BALANCED
2024-08-28,0.0,BALANCED
2024-08-29,0.0,BALANCED
2024-08-30,0.0,BALANCED
2024-08-31,0.0,BALANCED
2024-09-01,0.0,BALANCED
2024-09-02,0.0,BALANCED
2024-09-03,0.0,BALANCED
2024-09-04,0.0,BALANCED
2024-09-05,0.0,BALANCED
2024-09-06,0.0,BALANCED
2024-09-07,0.0,BALANCED
2024-09-08,0.0,BALANCED
2024-09-09,0.0,BALANCED
2024-09-10,0.0,BALANCED
2024-09-11,0.0,BALANCED
2024-09-12,0.0,BALANCED
2024-09-13,0.0,BALANCED
2024-09-14,0.0,BALANCED
2024-09-15,0.0,BALANCED
2024-09-16,0.0,BALANCED
2024-09-17,0.0,BALANCED
2024-09-18,0.0,BALANCED
2024-09-19,0.0,BALANCED
2024-09-20,0.0,BALANCED
2024-09-21,0.0,BALANCED
