date,regime,score,pnl,cost,funding,r_ls_net,alt_turnover,major_turnover,alt_gross,major_gross,total_gross,equity_curve
2024-09-16,BALANCED,0.0,0.0,0.0,-0.0009708080357142834,0.0009708080357142834,0.0,0.0,0.0,0.0,0.0,1.0009708080357143
2024-09-17,BALANCED,0.0,0.0,0.0,-0.000810573333333332,0.000810573333333332,0.0,0.0,0.0,0.0,0.0,1.001782168280153
2024-09-18,BALANCED,0.0,0.0,0.0,0.006653626666666667,-0.006653626666666667,0.0,0.0,0.0,0.0,0.0,0.9951166837310931
2024-09-19,BALANCED,0.0,0.0,0.0,0.012175400000000003,-0.012175400000000003,0.0,0.0,0.0,0.0,0.0,0.9830007400599935
2024-09-20,BALANCED,0.0,0.0,0.0,0.019189778761061954,-0.019189778761061954,0.0,0.0,0.0,0.0,0.0,0.964137173336282
2024-09-21,BALANCED,0.0,0.0,0.0,0.011032723684210533,-0.011032723684210533,0.0,0.0,0.0,0.0,0.0,0.953500114309187
2024-09-22,BALANCED,0.0,0.0,0.0,0.006376828947368424,-0.006376828947368424,0.0,0.0,0.0,0.0,0.0,0.947419807178941
2024-09-23,BALANCED,0.0,0.0,0.0,0.009471171052631582,-0.009471171052631582,0.0,0.0,0.0,0.0,0.0,0.938446632126498
2024-09-24,BALANCED,0.0,0.0,0.0,0.017189213973799133,-0.017189213973799133,0.0,0.0,0.0,0.0,0.0,0.9223154721638845
2024-09-25,BALANCED,0.0,0.0,0.0,0.01801634934497817,-0.01801634934497817,0.0,0.0,0.0,0.0,0.0,0.9056987144111015
2024-09-26,BALANCED,0.0,0.0,0.0,0.013175751091703063,-0.013175751091703063,0.0,0.0,0.0,0.0,0.0,0.8937654535859453
2024-09-27,BALANCED,0.0,0.0,0.0,0.02049648260869566,-0.02049648260869566,0.0,0.0,0.0,0.0,0.0,0.875446405510268
2024-09-28,BALANCED,0.0,0.0,0.0,0.022550973913043487,-0.022550973913043487,0.0,0.0,0.0,0.0,0.0,0.8557042364573382
2024-09-29,BALANCED,0.0,0.0,0.0,0.019775243478260873,-0.019775243478260873,0.0,0.0,0.0,0.0,0.0,0.838782476836015
2024-09-30,BALANCED,0.0,0.0,0.0,0.014701904347826089,-0.014701904347826089,0.0,0.0,0.0,0.0,0.0,0.8264507770929393
