event_id,event_name,window_id,window_start,window_end,return,cum_return,max_drawdown,volatility,sharpe,peak_return,n_days,excess_vs_btc,excess_vs_eth
FIFA_WC_2018,FIFA World Cup 2018 (Russia),pre_120_90,-120,-90,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),pre_90_60,-90,-60,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),pre_60_30,-60,-30,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),pre_30_14,-30,-14,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),pre_14_0,-14,0,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),event_0_7,0,7,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),event_0_14,0,14,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),event_0_30,0,30,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),post_14_30,14,30,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),post_30_60,30,60,,,,,,,0,,
FIFA_WC_2018,FIFA World Cup 2018 (Russia),post_60_90,60,90,,,,,,,0,,
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),pre_120_90,-120,-90,1.104716981132075,1.104716981132075,-0.37075471698113205,1.1750892490553562,0.9401132489459968,1.104716981132075,31,1.1613627660024046,1.0464926948501834
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),pre_90_60,-90,-60,0.22050186865990384,0.22050186865990384,-0.3497063534436734,1.1146184794930567,0.1978272123946114,0.3518419647624129,31,0.36245694220882985,0.45061316997685663
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),pre_60_30,-60,-30,-0.23009587328053338,-0.23009587328053338,-0.42517715714881177,0.8330998500579213,-0.27619242819766643,0.12671946644435184,31,-0.2454267342076859,-0.21257416011354802
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),pre_30_14,-30,-14,0.6221033868092689,0.6221033868092689,-0.06476530005941772,0.7590605142411841,0.8195702015082021,0.6221033868092689,17,0.5242319536764752,0.39933192014468144
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),pre_14_0,-14,0,-0.26664187430271513,-0.26664187430271513,-0.44700632205280766,2.5869575856450946,-0.10307160610269848,0.02231312755671233,15,-0.030994528864798365,0.031315076612477455
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),event_0_7,0,7,-0.30665577786851783,-0.30665577786851783,-0.1118824009799918,1.027689781036677,-0.2983933289433384,-0.19477337688852603,8,-0.2903750036724968,-0.2871184648034014
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),event_0_14,0,14,-0.31931400571661916,-0.31931400571661916,-0.1482237648019601,0.8708240731846978,-0.36668026514477337,-0.19477337688852603,15,-0.3435657128327366,-0.3700173982613971
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),event_0_30,0,30,-0.5389955083707635,-0.5389955083707635,-0.36953858717844,0.8198466118518568,-0.6574345664232766,-0.19477337688852603,31,-0.5506644943042701,-0.5383960027575844
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),post_14_30,14,30,-0.3165859564164648,-0.3165859564164648,-0.3631961259079901,0.7821143214135777,-0.40478219577471963,0.009079903147699575,17,-0.31719951148243974,-0.2975857065192453
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),post_30_60,30,60,0.19587628865979378,0.19587628865979378,-0.16869728209934398,0.5398654283655908,0.36282427942191875,0.3223992502343018,31,-0.08593792252734378,-0.13231641227014324
FIFA_WC_2022,FIFA World Cup 2022 (Qatar),post_60_90,60,90,0.1397238017871647,0.1397238017871647,-0.2599512591389115,0.8576674034366271,0.16291140318284794,0.3127538586515026,31,-0.05152203244690812,0.020505577985864942
EURO_2020,UEFA Euro 2020 (played 2021),pre_120_90,-120,-90,19.493166558740345,19.493166558740345,-4.308646603728572,4.008739128377959,4.8626677580791124,23.801813162468918,31,19.12758533342088,19.388862740911556
EURO_2020,UEFA Euro 2020 (played 2021),pre_90_60,-90,-60,-0.21919445933132709,-0.21919445933132709,-0.2832446991246512,1.2668358411349672,-0.173025146971448,-0.10314548377787858,31,-0.2653007280698405,-0.4295959088528727
EURO_2020,UEFA Euro 2020 (played 2021),pre_60_30,-60,-30,-0.13935325630930084,-0.13935325630930084,-0.8217259407474342,1.912850584723155,-0.07285109286304156,0.6566621484971709,31,0.03349157680829129,-0.9164663382667596
EURO_2020,UEFA Euro 2020 (played 2021),pre_30_14,-30,-14,-0.37464052287581706,-0.37464052287581706,-0.4841176470588233,2.4992163527503903,-0.14990319704194188,-0.050762527233115584,17,-0.0039589879125331295,0.047396401012093414
EURO_2020,UEFA Euro 2020 (played 2021),pre_14_0,-14,0,-0.017151974471479647,-0.017151974471479647,-0.20698710277888588,1.0382072221593748,-0.01652076188662752,-0.017151974471479647,15,0.013940696741949643,0.12441893679416927
EURO_2020,UEFA Euro 2020 (played 2021),event_0_7,0,7,0.04614496518382216,0.04614496518382216,-0.17592091496193674,1.4104514949734128,0.032716449322156595,0.2220658801457589,8,0.06948138502779544,0.14205405793236625
EURO_2020,UEFA Euro 2020 (played 2021),event_0_14,0,14,-0.1874300970523507,-0.1874300970523507,-0.4489302594075838,1.5885105713379677,-0.11799109131176352,0.2220658801457589,15,-0.04861155443069265,0.0805771386209756
