date,open,high,low,close,volume,return,cum_return
2019-09-06,0.00743,0.014598,0.0072,0.008361,286576059.0,,
2019-09-07,0.008362,0.012236,0.008152,0.010928,211928388.0,0.30702069130486787,0.30702069130486787
2019-09-08,0.010949,0.0116,0.00955,0.00984,77348579.0,-0.09956076134699854,0.17689271618227487
2019-09-09,0.009837,0.009837,0.0083,0.00855,70283508.0,-0.13109756097560976,0.022604951560817987
2019-09-10,0.008546,0.008744,0.007544,0.007862,52521969.0,-0.08046783625731002,-0.059681856237292386
2019-09-11,0.007862,0.008025,0.006555,0.006672,45842609.0,-0.15136097685067407,-0.20200932902762836
2019-09-12,0.006585,0.006834,0.0058,0.005835,64466707.0,-0.12544964028776984,-0.30211697165410845
2019-09-13,0.005836,0.006648,0.0058,0.006228,39875617.0,0.06735218508997431,-0.2551130247578042
2019-09-14,0.006101,0.006361,0.005815,0.006142,12567616.0,-0.013808606294155479,-0.26539887573256804
2019-09-15,0.006141,0.007259,0.00609,0.0072,61371578.0,0.17225659394334092,-0.1388589881593113
2019-09-16,0.007153,0.0074,0.006524,0.006842,49741341.0,-0.04972222222222222,-0.18167683291472336
2019-09-17,0.006837,0.00785,0.0063,0.0069,75660787.0,0.00847705349313066,-0.17473986365267336
2019-09-18,0.006943,0.007232,0.006763,0.00679,36126443.0,-0.01594202898550723,-0.18789618466690605
2019-09-19,0.006786,0.006816,0.00635,0.006476,20953690.0,-0.04624447717231228,-0.22545150101662503
2019-09-20,0.006478,0.006519,0.00605,0.006299,25424621.0,-0.02733168622606552,-0.24662121755770872
2019-09-21,0.006281,0.006479,0.006143,0.006197,16236506.0,-0.01619304651531983,-0.2588207152254518
2019-09-22,0.006199,0.006217,0.005682,0.005699,26765961.0,-0.0803614652251089,-0.3183829685444327
2019-09-23,0.005689,0.005879,0.005324,0.00536,18329894.0,-0.0594841200210563,-0.3589283578519318
2019-09-24,0.005359,0.006082,0.003921,0.004323,31642337.0,-0.1934701492537314,-0.48295658414065323
2019-09-25,0.004354,0.004539,0.003919,0.004372,15895034.0,0.011334721258385416,-0.4770960411434041
2019-09-26,0.004322,0.004597,0.0038,0.004078,28572742.0,-0.0672461116193962,-0.5122592991268988
2019-09-27,0.004078,0.004299,0.00391,0.004076,17474812.0,-0.0004904364884747991,-0.5124985049635213
2019-09-28,0.004076,0.004356,0.004061,0.004225,11882164.0,0.03655544651619236,-0.4946776701351515
2019-09-29,0.004225,0.004376,0.004003,0.00411,11304058.0,-0.0272189349112425,-0.5084320057409402
2019-09-30,0.004145,0.004275,0.00398,0.004239,10391601.0,0.031386861313868586,-0.4930032292787946
2019-10-01,0.004246,0.004767,0.004221,0.004626,25724245.0,0.09129511677282376,-0.44671689989235763
2019-10-02,0.004621,0.00479,0.0041,0.00449,54942713.0,-0.02939904885430178,-0.4629828967826818
2019-10-03,0.00449,0.00465,0.004175,0.004368,16048366.0,-0.027171492204899672,-0.4775744528166489
2019-10-04,0.004322,0.0046,0.00419,0.004336,20684052.0,-0.007326007326007522,-0.48140174620260756
2019-10-05,0.004304,0.004542,0.00424,0.004401,12894454.0,0.01499077490774936,-0.473627556512379
2019-10-06,0.004409,0.00454,0.0043,0.004376,8452158.0,-0.005680527152920001,-0.4766176294701593
2019-10-07,0.004374,0.005189,0.004266,0.004855,22756403.0,0.10946069469835473,-0.41932783159909126
2019-10-08,0.00485,0.005118,0.004621,0.005038,19155627.0,0.037693099897013305,-0.3974404975481405
2019-10-09,0.005039,0.00515,0.004689,0.004985,24120648.0,-0.010520047637951557,-0.4037794522186344
2019-10-10,0.004997,0.005231,0.0048,0.004901,15614478.0,-0.01685055165496485,-0.4138260973567758
2019-10-11,0.00489,0.005138,0.004731,0.004901,9318278.0,0.0,-0.4138260973567758
2019-10-12,0.004921,0.005158,0.004887,0.005024,7031923.0,0.025096918996123208,-0.3991149384044974
2019-10-13,0.005024,0.005118,0.004901,0.004969,8554044.0,-0.01094745222929927,-0.40569309891161376
2019-10-14,0.004961,0.005439,0.004901,0.00522,7435433.0,0.05051318172670549,-0.37567276641550096
2019-10-15,0.00522,0.0058,0.0051,0.005521,20915055.0,0.057662835249042255,-0.33967228800382765
2019-10-16,0.005501,0.006899,0.005422,0.006551,53573207.0,0.186560405723601,-0.21648128214328455
2019-10-17,0.006564,0.0069,0.005941,0.006612,44848880.0,0.009311555487711676,-0.209185504126301
2019-10-18,0.006618,0.00925,0.006591,0.00854,186083293.0,0.2915910465819722,0.02140892237770564
2019-10-19,0.008546,0.0095,0.007518,0.00757,138423765.0,-0.11358313817330212,-0.09460590838416494
2019-10-20,0.007561,0.010459,0.007514,0.00986,135892851.0,0.3025099075297226,0.17928477454849845
2019-10-21,0.009879,0.010807,0.009108,0.009447,129373014.0,-0.041886409736308305,0.12988876928597004
2019-10-22,0.009447,0.010139,0.00935,0.00937,54583076.0,-0.008150735683285726,0.12067934457600704
2019-10-23,0.00937,0.009429,0.007995,0.008468,65593209.0,-0.09626467449306297,0.012797512259298482
2019-10-24,0.008475,0.008579,0.00785,0.008299,31493438.0,-0.019957487009919617,-0.007415380935295368
2019-10-25,0.008241,0.011528,0.007604,0.010751,205638703.0,0.2954572840101215,0.2858509747637834
2019-10-26,0.01075,0.012,0.01,0.01053,120965639.0,-0.02055622732769047,0.25941872981700675
2019-10-27,0.010593,0.01099,0.01,0.010181,36035627.0,-0.03314339981006631,0.2176773113263959
2019-10-28,0.010199,0.0103,0.0095,0.0095,48768773.0,-0.06688930360475409,0.136227723956464
2019-10-29,0.009483,0.011159,0.009482,0.010953,61756299.0,0.1529473684210525,0.3100107642626473
2019-10-30,0.010984,0.0114,0.0105,0.010761,46569723.0,-0.017529443987948423,0.28704700394689575
2019-10-31,0.010762,0.011452,0.010441,0.010725,27181730.0,-0.003345413994981894,0.2827412988876923
2019-11-01,0.010725,0.011815,0.0106,0.011721,36443917.0,0.09286713286713288,0.4018658055256543
2019-11-02,0.011721,0.01462,0.011721,0.013979,108698045.0,0.19264567869635685,0.6719291950723589
2019-11-03,0.013981,0.016979,0.013593,0.015936,163628043.0,0.13999570784748538,0.9059921062073903
2019-11-04,0.015937,0.0197,0.015433,0.017132,207324314.0,0.07505020080321301,1.049037196507594
2019-11-05,0.017131,0.0191,0.015555,0.015877,167430419.0,-0.07325472799439658,0.8989355340270293
2019-11-06,0.015881,0.017153,0.01469,0.0152,157360678.0,-0.04264029728538132,0.8179643583303424
2019-11-07,0.0152,0.015221,0.013026,0.014417,144255664.0,-0.05151315789473687,0.7243152732926674
2019-11-08,0.0143,0.0149,0.012403,0.012839,81121736.0,-0.10945411666782268,0.5355818681975832
2019-11-09,0.0128,0.013958,0.012669,0.013381,39669571.0,0.04221512578861297,0.6004066499222576
2019-11-10,0.01338,0.013459,0.012921,0.013226,28329014.0,-0.01158358867050302,0.5818681975840203
2019-11-11,0.013312,0.01345,0.01271,0.012983,29341933.0,-0.018372901859972757,0.5528046884343971
2019-11-12,0.01304,0.014,0.012881,0.013633,64706460.0,0.05006547023030117,0.6305465853366814
2019-11-13,0.013633,0.015023,0.013399,0.014479,104433514.0,0.062055306975720814,0.7317306542279625
2019-11-14,0.01448,0.01485,0.013623,0.014381,95827501.0,-0.00676842323364879,0.7200095682334642
2019-11-15,0.014401,0.0148,0.013453,0.013591,64120477.0,-0.05493359293512268,0.625523262767611
2019-11-16,0.01359,0.013942,0.013453,0.013713,19806115.0,0.008976528585092902,0.640114818801578
2019-11-17,0.013701,0.01388,0.013573,0.013743,17132960.0,0.0021877050973528878,0.6437029063509141
2019-11-18,0.013733,0.013962,0.011343,0.012931,46190610.0,-0.059084624899949034,0.5465853366822142
2019-11-19,0.012912,0.01293,0.011924,0.012372,41692871.0,-0.04322944861186295,0.47972730534624963
2019-11-20,0.012362,0.012544,0.011835,0.011891,18772910.0,-0.03887811186550261,0.4221983016385593
2019-11-21,0.011882,0.012176,0.010965,0.011304,34902568.0,-0.04936506601631496,0.3519913885898809
