date,open,high,low,close,volume,return,cum_return
2017-12-16,17516.81,19539.0,17190.01,19102.66,4202.628709,,
2017-12-17,19120.19,19798.68,18510.0,18860.02,9177.183434,-0.012701895966320875,-0.012701895966320875
2017-12-18,18860.04,19300.0,17029.98,18856.25,10624.633071,-0.00019989374348494682,-0.012899250680271757
2017-12-19,18856.25,18950.0,16300.0,17295.2,13210.74822,-0.08278687437852172,-0.09461823641314882
2017-12-20,17295.2,17720.35,14777.66,16488.98,13450.496693,-0.04661524584855925,-0.13682282990955208
2017-12-21,16480.52,17309.5,14022.0,15492.64,20324.2173,-0.06042459873200168,-0.1889799640468921
2017-12-22,15514.03,15699.34,10961.0,13326.61,36076.271175,-0.13981025829038818,-0.30236888475217605
2017-12-23,13326.61,14950.0,12978.18,13300.0,13141.538875,-0.001996756864649063,-0.30376188447053987
2017-12-24,13300.0,13819.99,11640.0,13500.0,28557.534988,0.015037593984962516,-0.29329213837235246
2017-12-25,13500.0,14300.0,12708.0,13699.34,15748.207607,0.014765925925925849,-0.2828569424362891
2017-12-26,13699.34,16050.0,13533.0,15689.01,15034.668104,0.1452383837469542,-0.17870024384038685
2017-12-27,15709.98,16498.05,14200.15,15459.99,14959.864723,-0.014597479382064238,-0.19068915009742116
2017-12-28,15459.97,15539.99,13150.0,14182.11,21717.858014,-0.08265723328410945,-0.2575845458171795
2017-12-29,14199.14,14981.0,13850.0,14378.9,18072.008116,0.013875932424723736,-0.24728283914386806
2017-12-30,14378.99,14398.85,11750.0,12440.01,19221.158039,-0.13484272093136462,-0.3487812692054405
2017-12-31,12345.1,14050.11,12149.98,13716.36,11768.989718,0.1026003998389069,-0.2819659670433332
2018-01-01,13715.65,13818.55,12750.0,13380.0,8609.915844,-0.024522540965678963,-0.2995739860312647
2018-01-02,13382.16,15473.49,12890.02,14675.11,20078.092111,0.09679446935724978,-0.23177662168514734
2018-01-03,14690.0,15307.56,14150.0,14919.51,15905.667639,0.01665404893046807,-0.21898259195316228
2018-01-04,14919.51,15280.0,13918.04,15059.54,21329.649574,0.009385696983345904,-0.21165219922251644
2018-01-05,15059.56,17176.24,14600.0,16960.39,23251.491125,0.1262223148914241,-0.11214511486881917
2018-01-06,16960.39,17143.13,16011.21,17069.79,18571.457508,0.0064503233711017405,-0.10641816375311064
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558,-0.05388232661327408,-0.15456643210945475
2018-01-08,16218.85,16322.3,12812.0,14902.54,26600.609912,-0.0772438193613263,-0.21987094990959366
2018-01-09,14902.54,15500.0,14011.05,14400.0,14315.004253,-0.03372176823548201,-0.24617828093050909
2018-01-10,14401.0,14955.66,13131.31,14907.09,17411.001655,0.03521458333333327,-0.21963276318586
2018-01-11,14940.0,14968.68,11400.0,13238.78,33554.723751,-0.11191386112245916,-0.3069666737511949
2018-01-12,13238.76,14109.78,12500.0,13740.01,16417.162137,0.03786073943369406,-0.28072791956722265
2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.508528,0.034205943081555334,-0.2561245397237871
2018-01-14,14210.0,14339.5,12569.2,13474.99,17017.894329,-0.05172484166080227,-0.2946013801219306
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.094705,0.004819298567197539,-0.2912018535638491
