date,funding_mean_dec,F_tk_apr_original,F_tk_apr_environment,F_tk_apr_original_pct,F_tk_apr_environment_pct
2023-04-19 00:00:00+00:00,7.538546875000001e-05,0.08254708828125001,0.10950000000000001,8.2547,10.95
2023-04-20 00:00:00+00:00,7.1538359375e-05,0.078334503515625,0.10922436796875003,7.8335,10.9224
2023-04-21 00:00:00+00:00,4.6454453125000005e-05,0.050867626171875006,0.09725362265625,5.0868,9.7254
2023-04-22 00:00:00+00:00,2.77796875e-05,0.0304187578125,0.07561402734375,3.0419,7.5614
2023-04-23 00:00:00+00:00,5.087734375000003e-06,0.0055710691406250035,0.10773876093750001,0.5571,10.7739
2023-04-24 00:00:00+00:00,4.2838828125e-05,0.046908516796875,0.10098791484375003,4.6909,10.0988
2023-04-25 00:00:00+00:00,6.1026171875000006e-05,0.06682365820312501,0.10950000000000001,6.6824,10.95
2023-04-26 00:00:00+00:00,1.2857109375e-05,0.014078534765625001,0.10521324609375002,1.4079,10.5213
2023-04-27 00:00:00+00:00,6.26653125e-05,0.06861851718749999,0.10950000000000001,6.8619,10.95
2023-04-28 00:00:00+00:00,6.591875968992249e-05,0.07218104186046513,0.10848636692307695,7.2181,10.8486
2023-04-29 00:00:00+00:00,3.743511627906977e-05,0.0409914523255814,0.10950000000000001,4.0991,10.95
2023-04-30 00:00:00+00:00,3.672676923076923e-05,0.040215812307692306,0.1016191522727273,4.0216,10.1619
2023-05-01 00:00:00+00:00,5.950884615384616e-05,0.06516218653846155,0.10822598409090911,6.5162,10.8226
2023-05-02 00:00:00+00:00,5.823292307692308e-05,0.06376505076923077,0.10850056363636366,6.3765,10.8501
2023-05-03 00:00:00+00:00,6.54151145038168e-05,0.0716295503816794,0.10950000000000004,7.163,10.95
2023-05-04 00:00:00+00:00,6.238984732824429e-05,0.0683168828244275,0.10950000000000004,6.8317,10.95
2023-05-05 00:00:00+00:00,6.694465648854963e-05,0.07330439885496184,0.10950000000000004,7.3304,10.95
2023-05-06 00:00:00+00:00,1.576351145038168e-05,0.01726104503816794,0.09591726044776122,1.7261,9.5917
2023-05-07 00:00:00+00:00,5.8951755725190846e-05,0.06455217251908398,0.10948120522388062,6.4552,10.9481
2023-05-08 00:00:00+00:00,-6.54048854961832e-05,-0.0716183496183206,0.012316135074626866,-7.1618,1.2316
2023-05-09 00:00:00+00:00,-2.4024274809160304e-05,-0.026306580916030532,0.06323870149253731,-2.6307,6.3239
2023-05-10 00:00:00+00:00,6.0274772727272725e-05,0.06600087613636363,0.10807218636363639,6.6001,10.8072
2023-05-11 00:00:00+00:00,-2.20772727272727e-06,-0.0024174613636363607,0.08403826363636364,-0.2417,8.4038
2023-05-12 00:00:00+00:00,2.6213257575757575e-05,0.028703517045454544,0.09416004545454547,2.8704,9.416
2023-05-13 00:00:00+00:00,2.456825757575758e-05,0.02690224204545455,0.09754309772727274,2.6902,9.7543
2023-05-14 00:00:00+00:00,1.5550530303030304e-05,0.017027830681818183,0.08883834545454547,1.7028,8.8838
2023-05-15 00:00:00+00:00,-3.466666666666622e-07,-0.00037959999999999513,0.0824257931818182,-0.038,8.2426
2023-05-16 00:00:00+00:00,4.165871212121212e-05,0.045616289772727275,0.0965804931818182,4.5616,9.658
2023-05-17 00:00:00+00:00,3.136530303030303e-05,0.03434500681818182,0.10830031136363638,3.4345,10.83
2023-05-18 00:00:00+00:00,4.387621212121213e-05,0.04804445227272728,0.10027130681818183,4.8044,10.0271
2023-05-19 00:00:00+00:00,4.2348106060606066e-05,0.04637117613636364,0.10113851363636366,4.6371,10.1139
2023-05-20 00:00:00+00:00,4.9345757575757575e-05,0.05403360454545454,0.10588484090909094,5.4034,10.5885
2023-05-21 00:00:00+00:00,4.272280303030303e-05,0.04678146931818182,0.09905851136363639,4.6781,9.9059
2023-05-22 00:00:00+00:00,2.2346666666666667e-05,0.0244696,0.10402267727272729,2.447,10.4023
2023-05-23 00:00:00+00:00,6.947189393939394e-05,0.07607172386363636,0.10950000000000004,7.6072,10.95
2023-05-24 00:00:00+00:00,-5.388787878787876e-06,-0.0059007227272727236,0.0946710454545455,-0.5901,9.4671
2023-05-25 00:00:00+00:00,1.7031439393939395e-05,0.01864942613636364,0.10573402954545458,1.8649,10.5734
2023-05-26 00:00:00+00:00,5.959954545454545e-05,0.06526150227272727,0.10923371590909094,6.5262,10.9234
2023-05-27 00:00:00+00:00,8.43610606060606e-05,0.09237536136363636,0.10950000000000004,9.2375,10.95
2023-05-28 00:00:00+00:00,8.43610606060606e-05,0.09237536136363636,0.10950000000000004,9.2375,10.95
2023-05-29 00:00:00+00:00,7.450780303030303e-05,0.08158604431818182,0.10950000000000004,8.1586,10.95
2023-05-30 00:00:00+00:00,7.579560606060605e-05,0.08299618863636363,0.10950000000000004,8.2996,10.95
2023-05-31 00:00:00+00:00,6.22634090909091e-05,0.06817843295454545,0.10888182272727276,6.8178,10.8882
2023-06-01 00:00:00+00:00,7.141280303030303e-05,0.07819701931818182,0.10950000000000004,7.8197,10.95
2023-06-02 00:00:00+00:00,8.719901515151516e-05,0.0954829215909091,0.10950000000000004,9.5483,10.95
2023-06-03 00:00:00+00:00,8.27110606060606e-05,0.09056861136363636,0.10950000000000004,9.0569,10.95
2023-06-04 00:00:00+00:00,8.776734848484848e-05,0.09610524659090909,0.10950000000000004,9.6105,10.95
2023-06-05 00:00:00+00:00,-2.292439393939394e-05,-0.025102211363636363,0.03932709090909091,-2.5102,3.9327
2023-06-06 00:00:00+00:00,5.378712121212121e-05,0.058896897727272725,0.10950000000000004,5.8897,10.95
2023-06-07 00:00:00+00:00,3.8083333333333335e-05,0.04170125,0.10838774545454548,4.1701,10.8388
2023-06-08 00:00:00+00:00,2.5071666666666673e-05,0.027453475000000005,0.10753314772727275,2.7453,10.7533
2023-06-09 00:00:00+00:00,5.7723181818181824e-05,0.06320688409090909,0.10950000000000004,6.3207,10.95
2023-06-10 00:00:00+00:00,-0.00015525204545454547,-0.1700009897727273,-0.11843072045454545,-17.0001,-11.8431
2023-06-11 00:00:00+00:00,-4.923628787878788e-05,-0.053913735227272726,0.014792288636363641,-5.3914,1.4792
2023-06-12 00:00:00+00:00,3.060015151515152e-05,0.03350716590909091,0.07862896363636364,3.3507,7.8629
2023-06-13 00:00:00+00:00,3.7134848484848516e-06,0.004066265909090912,0.07327341818181818,0.4066,7.3273
2023-06-14 00:00:00+00:00,-1.7635984848484848e-05,-0.01931140340909091,0.03251154545454546,-1.9311,3.2512
2023-06-15 00:00:00+00:00,-2.3016666666666652e-06,-0.0025203249999999986,0.04798472499999999,-0.252,4.7985
2023-06-16 00:00:00+00:00,1.247378787878788e-05,0.013658797727272728,0.05768692272727272,1.3659,5.7687
2023-06-17 00:00:00+00:00,3.082810606060606e-05,0.03375677613636364,0.07422225227272727,3.3757,7.4222
2023-06-18 00:00:00+00:00,5.8912121212121215e-06,0.006450877272727273,0.05092430227272726,0.6451,5.0924
2023-06-19 00:00:00+00:00,6.17037878787879e-06,0.006756564772727276,0.06540103181818183,0.6757,6.5401
2023-06-20 00:00:00+00:00,7.084416666666668e-05,0.07757436250000001,0.10766089772727275,7.7574,10.7661
2023-06-21 00:00:00+00:00,6.36994696969697e-05,0.06975091931818182,0.10414545000000003,6.9751,10.4145
2023-06-22 00:00:00+00:00,6.999436090225564e-05,0.07664382518796993,0.10950000000000004,7.6644,10.95
2023-06-23 00:00:00+00:00,7.643789473684211e-05,0.08369949473684211,0.10950000000000004,8.3699,10.95
2023-06-24 00:00:00+00:00,5.7708195488721806e-05,0.06319047406015038,0.1092940746268657,6.319,10.9294
2023-06-25 00:00:00+00:00,5.570563909774437e-05,0.060997674812030084,0.1067920813432836,6.0998,10.6792
2023-06-26 00:00:00+00:00,4.188624060150376e-05,0.04586543345864662,0.09347606417910449,4.5865,9.3476
2023-06-27 00:00:00+00:00,4.881308270676692e-05,0.05345032556390978,0.10681169328358212,5.345,10.6812
2023-06-28 00:00:00+00:00,-4.783984962406013e-06,-0.005238463533834585,0.048038630597014916,-0.5238,4.8039
2023-06-29 00:00:00+00:00,5.708507462686569e-06,0.006250815671641793,0.06999964632352942,0.6251,7.0
2023-06-30 00:00:00+00:00,4.4725e-05,0.048973875,0.1076053279411765,4.8974,10.7605
2023-07-01 00:00:00+00:00,4.191149253731344e-05,0.045893084328358216,0.10950000000000004,4.5893,10.95
2023-07-02 00:00:00+00:00,6.186119402985075e-05,0.06773800746268657,0.10950000000000004,6.7738,10.95
2023-07-03 00:00:00+00:00,7.462641791044777e-05,0.08171592761194031,0.10950000000000004,8.1716,10.95
2023-07-04 00:00:00+00:00,7.820000000000003e-06,0.008562900000000003,0.10950000000000004,0.8563,10.95
2023-07-05 00:00:00+00:00,-4.54382962962963e-05,-0.049754934444444454,0.07518523913043482,-4.9755,7.5185
2023-07-06 00:00:00+00:00,-6.92182962962963e-05,-0.07579403444444445,0.032488808695652176,-7.5794,3.2489
2023-07-07 00:00:00+00:00,-3.5680888888888884e-05,-0.03907057333333333,0.07335024130434785,-3.9071,7.335
2023-07-08 00:00:00+00:00,-1.5072888888888889e-05,-0.016504813333333333,0.0889738282608696,-1.6505,8.8974
2023-07-09 00:00:00+00:00,-4.179985185185186e-05,-0.04577083777777779,0.06903736956521742,-4.5771,6.9037
2023-07-10 00:00:00+00:00,-3.5238518518518502e-06,-0.003858617777777776,0.09769018695652176,-0.3859,9.769
2023-07-11 00:00:00+00:00,-6.001481481481503e-07,-0.0006571622222222247,0.08860470217391307,-0.0657,8.8605
2023-07-12 00:00:00+00:00,3.538162962962963e-05,0.038742884444444445,0.08954386304347828,3.8743,8.9544
2023-07-13 00:00:00+00:00,9.957911111111112e-05,0.10903912666666668,0.10950000000000004,10.9039,10.95
2023-07-14 00:00:00+00:00,6.114422222222223e-05,0.06695292333333334,0.10950000000000004,6.6953,10.95
2023-07-15 00:00:00+00:00,4.758548148148149e-05,0.05210610222222223,0.10950000000000004,5.2106,10.95
2023-07-16 00:00:00+00:00,1.0360444444444446e-05,0.011344686666666668,0.09319878260869567,1.1345,9.3199
2023-07-17 00:00:00+00:00,6.523474074074075e-05,0.07143204111111112,0.10950000000000004,7.1432,10.95
2023-07-18 00:00:00+00:00,6.309014814814816e-05,0.06908371222222223,0.10950000000000004,6.9084,10.95
2023-07-19 00:00:00+00:00,4.275051851851852e-05,0.046811817777777785,0.09885501304347828,4.6812,9.8855
2023-07-20 00:00:00+00:00,3.599822222222222e-05,0.039418053333333335,0.10608486956521743,3.9418,10.6085
2023-07-21 00:00:00+00:00,5.441377777777778e-05,0.05958308666666667,0.1060382130434783,5.9583,10.6038
2023-07-22 00:00:00+00:00,4.900874074074074e-05,0.053664571111111115,0.10553133913043483,5.3665,10.5531
2023-07-23 00:00:00+00:00,-1.3887925925925924e-05,-0.015207278888888887,0.1090178826086957,-1.5207,10.9018
2023-07-24 00:00:00+00:00,-7.82073529411765e-06,-0.008563705147058827,0.08341259117647061,-0.8564,8.3413
2023-07-25 00:00:00+00:00,2.650904411764706e-05,0.02902740330882353,0.0763361536764706,2.9027,7.6336
2023-07-26 00:00:00+00:00,1.9725955882352945e-05,0.021599921691176475,0.08973460588235296,2.16,8.9735
2023-07-27 00:00:00+00:00,4.756941176470588e-05,0.05208850588235294,0.10643561029411767,5.2089,10.6436
2023-07-28 00:00:00+00:00,7.4172463768115935e-06,0.008121884782608694,0.10474332000000004,0.8122,10.4743
2023-07-29 00:00:00+00:00,5.506956834532374e-05,0.0603011773381295,0.10850046549295779,6.0301,10.85
2023-07-30 00:00:00+00:00,5.109611510791367e-05,0.05595024604316547,0.10460565845070426,5.595,10.4606
2023-07-31 00:00:00+00:00,-9.35187050359712e-06,-0.010240298201438847,0.10165856619718312,-1.024,10.1659
2023-08-01 00:00:00+00:00,8.421582733812987e-07,0.000922163309352522,0.10417197676056343,0.0922,10.4172
2023-08-02 00:00:00+00:00,2.4185323741007194e-05,0.026482929496402876,0.08785185000000002,2.6483,8.7852
2023-08-03 00:00:00+00:00,-1.715985611510791e-05,-0.01879004244604316,0.07635404154929581,-1.879,7.6354
2023-08-04 00:00:00+00:00,4.507402877697842e-05,0.049356061510791374,0.09819697816901414,4.9356,9.8197
2023-08-05 00:00:00+00:00,3.4785e-05,0.038089575,0.09754948285714288,3.809,9.7549
2023-08-06 00:00:00+00:00,-0.00011852542857142857,-0.12978534428571428,0.10950000000000006,-12.9785,10.95
2023-08-07 00:00:00+00:00,-0.00014137214285714285,-0.1548024964285714,0.10670556000000003,-15.4802,10.6706
2023-08-08 00:00:00+00:00,-0.00012040021428571427,-0.13183823464285713,0.10751836285714289,-13.1838,10.7518
2023-08-09 00:00:00+00:00,4.6750928571428575e-05,0.05119226678571429,0.10950000000000006,5.1192,10.95
2023-08-10 00:00:00+00:00,1.1799078014184397e-05,0.012919990425531915,0.10057945140845076,1.292,10.0579
2023-08-11 00:00:00+00:00,-9.645922535211267e-05,-0.10562285176056337,0.10950000000000001,-10.5623,10.95
2023-08-12 00:00:00+00:00,-0.00019327401408450703,-0.2116350454225352,0.10902702083333336,-21.1635,10.9027
2023-08-13 00:00:00+00:00,3.674464788732394e-05,0.040235389436619716,0.10950000000000001,4.0235,10.95
2023-08-14 00:00:00+00:00,-1.527542253521127e-05,-0.01672658767605634,0.10950000000000001,-1.6727,10.95
2023-08-15 00:00:00+00:00,-8.69619014084507e-05,-0.09522328204225351,0.08016692708333334,-9.5223,8.0167
2023-08-16 00:00:00+00:00,-2.6528521126760564e-05,-0.029048730633802818,0.08984946458333334,-2.9049,8.9849
2023-08-17 00:00:00+00:00,-0.00034006433566433563,-0.3723704475524475,-0.1260549,-37.237,-12.6055
2023-08-18 00:00:00+00:00,-7.751867132867134e-05,-0.08488294510489511,0.0210801,-8.4883,2.108
2023-08-19 00:00:00+00:00,-4.66172027972028e-05,-0.05104583706293707,0.06392745000000001,-5.1046,6.3927
2023-08-20 00:00:00+00:00,-5.518783216783217e-05,-0.06043067622377623,0.0644508,-6.0431,6.4451
2023-08-21 00:00:00+00:00,-4.141743055555556e-05,-0.045352086458333336,0.07652924583333334,-4.5352,7.6529
2023-08-22 00:00:00+00:00,-2.2832638888888875e-06,-0.0025001739583333316,0.09122384166666668,-0.25,9.1224
2023-08-23 00:00:00+00:00,-1.9389305555555555e-05,-0.021231289583333333,0.072176925,-2.1231,7.2177
