period,start,end,n_obs,score0_mean,score1_mean,score2_mean,score3_mean,score0_n,score1_n,score2_n,score3_n,spread_3_0,strictly_monotone,spearman_rho,spearman_p
2015-2019,2016-07-19,2019-12-31,1261,-0.038064066028076216,0.020880754493162873,0.04531840443231868,0.11984140764809428,84,265,434,478,0.1579054736761705,True,0.15948588050115847,1.2387830876779247e-08
2020-2022,2020-01-01,2022-12-31,1096,-0.012480509929377978,0.006349771852664091,0.02552046383102936,0.081989990144883,189,310,240,357,0.09447050007426097,True,0.14807671053104615,8.48861954889478e-07
2023-present,2023-01-01,2026-07-28,1305,0.02630653618500545,0.009378564204608206,0.030868277468155216,0.031727849377141244,142,327,395,441,0.005421313192135794,False,0.02494786919380718,0.3678473640999802
