strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture,era
BTC buy & hold,2016-07-19,2026-08-17,10.09,92.27965951147333,0.5677137498276201,0.675431627341886,0.4962955762320527,0.8405199384308045,1.1439024988652617,-0.8380153496105096,0.6774502997963946,-0.7336921748551737,2018,13.242405251856974,2017,-0.37120599797697296,-0.45434242144748505,-0.49904390211702976,1.0,1.0,0.099130907115698,1,1.0,1.0,full sample
sma200,2016-07-19,2026-08-17,10.09,121.99869284288515,0.61129007484118,0.5300301272298698,0.4855511185354431,1.1533119410324926,1.2589613153090875,-0.6485910185287439,0.9424892688582446,-0.4268651935341482,2018,13.242405251856974,2017,-0.29565459137324757,-0.3163171448684603,-0.4031820197216771,0.5928843020097773,0.5928843020097773,6.93916349809886,70,0.6334823755118298,0.5860990431206994,full sample
trendscore_ge2,2016-07-19,2026-08-17,10.09,268.55298841688153,0.7416142102733139,0.5603571612575884,0.511581305815469,1.323466998456729,1.4496507238300442,-0.7785892058302212,0.9525102643601637,-0.6543940142178903,2018,13.242405251856974,2017,-0.3390340255270633,-0.45434242144748505,-0.49904390211702976,0.6368821292775665,0.6368821292775665,15.86094513851168,160,0.6868472529832655,0.6240956063450633,full sample
trendscore_eq3,2016-07-19,2026-08-17,10.09,65.74784326188393,0.5165548361989096,0.40700843394357217,0.4775998724087088,1.2691502021074212,1.0815640163255003,-0.5723191757469444,0.9025642649920725,-0.2142363895449435,2018,6.278603551878026,2017,-0.3151737163623486,-0.2667022378359243,-0.34341524538246837,0.3465507876154264,0.3465507876154264,17.843563280825638,180,0.3985011033911422,0.34044463130914726,full sample
BTC buy & hold,2016-07-19,2021-12-31,5.46,67.41042190969648,1.1689764339321864,0.7892626512687837,0.5829785684061405,1.4810993932792735,2.0051790876775457,-0.8380153496105096,1.3949343940722565,-0.7336921748551737,2018,13.242405251856974,2017,-0.3693073484576901,-0.45434242144748505,-0.49904390211702976,1.0,1.0,0.18323293172690763,1,1.0,1.0,train (pre-2022)
sma200,2016-07-19,2021-12-31,5.46,52.277016440000004,1.0718531351727756,0.6503891594539924,0.5676758430726089,1.6480181435874577,1.88814293976515,-0.6485910185287439,1.652587076528063,-0.4268651935341482,2018,13.242405251856974,2017,-0.29565459137324757,-0.3163171448684603,-0.4031820197216771,0.6671686746987951,0.6671686746987951,6.96285140562249,38,0.7022242248664525,0.6637422200948101,train (pre-2022)
trendscore_ge2,2016-07-19,2021-12-31,5.46,75.02553464513599,1.2113308284915778,0.7009298863697051,0.5970733900945769,1.7281768862294766,2.028780462481676,-0.7785892058302212,1.5558022374583498,-0.6543940142178903,2018,13.242405251856974,2017,-0.3390340255270633,-0.45434242144748505,-0.49904390211702976,0.7520080321285141,0.7520080321285141,15.941265060240964,87,0.7877310417291985,0.7469238266593804,train (pre-2022)
trendscore_eq3,2016-07-19,2021-12-31,5.46,26.30767913034303,0.8330515267864198,0.5084942057028526,0.5446948243311445,1.6382714246172312,1.5293913023854442,-0.5723191757469444,1.4555715797905755,-0.2142363895449435,2018,6.278603551878026,2017,-0.3151737163623486,-0.2667022378359243,-0.34341524538246837,0.41917670682730923,0.41917670682730923,20.88855421686747,114,0.4658287555749868,0.41552799619164354,train (pre-2022)
BTC buy & hold,2022-01-01,2026-08-17,4.63,0.36352995504989827,0.06926261884218032,0.508681555849219,0.3599614801595413,0.13616105802489686,0.19241675195768698,-0.6698301379138274,0.10340325841100158,-0.6422872444020116,2022,1.558207176496568,2023,-0.37120599797697296,-0.2823887591616785,-0.35651017231935134,1.0,1.0,0.21597633136094677,1,1.0,1.0,OOS (2022+)
sma200,2022-01-01,2026-08-17,4.63,1.3086633047743055,0.1980564713804036,0.3359901376333771,0.3001815851309413,0.5894710861915751,0.6597888784350646,-0.3538992316956827,0.5596408628281849,-0.15947289958912492,2025,0.752708389529203,2023,-0.1768704925610718,-0.13309628643324056,-0.2017521836412215,0.5053254437869823,0.5053254437869823,6.9112426035502965,32,0.5007057956695138,0.4578686961853838,OOS (2022+)
trendscore_ge2,2022-01-01,2026-08-17,4.63,2.5473322692417537,0.3145157330128958,0.32313693608256333,0.2858956543594896,0.9733202797111848,1.1001067285108814,-0.2612106697846551,1.2040692413988523,-0.15725519013605815,2022,1.0844725238158772,2024,-0.15453945682108416,-0.16376044310429305,-0.17034075099028756,0.5011834319526627,0.5011834319526627,15.550295857988166,72,0.4920192402493348,0.42124062387050487,OOS (2022+)
trendscore_eq3,2022-01-01,2026-08-17,4.63,1.4442883975341894,0.2129188384649381,0.23630171255893334,0.28679507306520785,0.9010465313992865,0.7424075880708288,-0.21725053571657704,0.9800612816104166,0.0,2022,0.7280218933018447,2024,-0.0952719241353156,-0.13253507552346022,-0.14345759008520242,0.26094674556213016,0.26094674556213016,14.254437869822485,66,0.26845608031259516,0.216441901086455,OOS (2022+)
