term,coef,hac_t,hac_p,n_obs
const,-0.015094560582690814,-0.8099681054082162,0.4179585070073115,3662
R30_pos,0.030868978003093885,1.6991420270653759,0.08929242637333874,3662
R90_pos,0.02910781503355219,1.4379992628536562,0.15043426329827592,3662
R365_pos,0.028745897610107443,1.3220434021156096,0.1861536987240251,3662
