horizon_days,trend_score,n_obs,pct_of_sample,mean,median,std,win_rate,p25,p75,unconditional_mean,mean_excess_vs_uncond
1,0,420,11.409942950285249,-0.00012288069016268713,-0.00019105434986388392,0.035084964941363594,0.4976190476190476,-0.014560301817631599,0.014375735511849008,0.001862246028697278,-0.0019851267188599653
1,1,916,24.884542243955448,-1.9112192700179973e-05,-8.927362525462668e-05,0.03221766686910231,0.49890829694323147,-0.015444951147032482,0.013227623494687757,0.001862246028697278,-0.001881358221397458
1,2,1069,29.041021461559357,0.0014831608908657237,-3.0289401463101662e-05,0.03729437371618696,0.49859681945743684,-0.012320166356495688,0.014514255780371688,0.001862246028697278,-0.00037908513783155426
1,3,1276,34.66449334419995,0.004183812929217019,0.003001506233994866,0.03584181746442784,0.5564263322884012,-0.011588070086042651,0.021095779188685382,0.001862246028697278,0.002321566900519741
5,0,416,11.313570845798205,-0.00317757738245544,0.0007128117104288068,0.06859399933712587,0.5072115384615384,-0.034619882720604594,0.03239188784293473,0.009296112747127246,-0.012473690129582686
5,1,916,24.911612727767203,0.00022070230127370282,0.0005513808325567915,0.07209936742842396,0.5043668122270742,-0.038841228448848714,0.036160509776874794,0.009296112747127246,-0.009075410445853542
5,2,1069,29.072613543649716,0.009994895041724464,0.0047407777126728945,0.08068345921386691,0.5463049579045838,-0.02691622807674865,0.04887768554674432,0.009296112747127246,0.0006987822945972184
5,3,1276,34.702202882784874,0.01929229831874466,0.010295058644654742,0.08373581396788524,0.5705329153605015,-0.025169718663006102,0.06240121325004383,0.009296112747127246,0.009996185571617413
10,0,415,11.301742919389978,-0.0033744995033180864,0.0064870976509807665,0.09348412243810661,0.5325301204819277,-0.045034005907602426,0.04992511621266493,0.019062755491626344,-0.02243725499494443
10,1,912,24.836601307189543,0.0034065806570528247,-0.0014328744306382757,0.10135766919525019,0.48903508771929827,-0.05336156923549132,0.04921220242598562,0.019062755491626344,-0.01565617483457352
10,2,1069,29.112200435729847,0.018005250597121745,0.013032715055534938,0.11735907787930924,0.568755846585594,-0.040990425058721525,0.08283602861706751,0.019062755491626344,-0.0010575048945045996
10,3,1276,34.749455337690634,0.038436082297471495,0.019638990577543924,0.12880316568352354,0.5830721003134797,-0.03830398411635827,0.09498428049508423,0.019062755491626344,0.01937332680584515
20,0,415,11.332605133806663,-0.004387156107807387,0.005221019402260829,0.13478508813470794,0.5301204819277109,-0.04736377530225433,0.06930137766667988,0.04021862896805218,-0.044605785075859564
20,1,902,24.631348989623156,0.011716873292595248,-0.0016444121853135263,0.14036765619275626,0.4933481152993348,-0.07411496146726951,0.0880459201417852,0.04021862896805218,-0.02850175567545693
20,2,1069,29.19169852539596,0.0355342080851213,0.027616434603580986,0.17186426185546785,0.5799812909260992,-0.07716570804935385,0.1241891901998724,0.04021862896805218,-0.004684420882930883
20,3,1276,34.84434735117422,0.07879827657745422,0.030293906734920717,0.21562167774117286,0.5869905956112853,-0.05359767403066071,0.17032799569803253,0.04021862896805218,0.038579647609402044
30,0,415,11.363636363636363,-0.014939126146009174,0.0036311665234862733,0.15110472127513233,0.5228915662650603,-0.07584833331462171,0.06827108098723134,0.06265324361633114,-0.07759236976234031
30,1,892,24.424972617743702,0.028159870135638206,0.01592155132846773,0.17256730088147682,0.5526905829596412,-0.09383157806635489,0.12926911236336724,0.06265324361633114,-0.03449337348069293
30,2,1069,29.271631982475355,0.06332155848970658,0.044009677839280004,0.2295262764270125,0.5818521983161834,-0.10813163190856967,0.20822177329711877,0.06265324361633114,0.0006683148733754446
30,3,1276,34.93975903614458,0.1114420320148507,0.03682105177509232,0.2865430937828881,0.5697492163009404,-0.05902695510340736,0.2352659886336339,0.06265324361633114,0.048788788398519564
60,0,393,10.850358917725014,-0.01956982038793375,-0.021414626615525068,0.2185636171539517,0.45038167938931295,-0.1889227646394369,0.10561544286343971,0.13640235190739713,-0.1559721722953309
60,1,884,24.406405300938708,0.05193639835267064,0.04063979084224534,0.24950402605323777,0.5475113122171946,-0.1308721809080418,0.22950803342411114,0.13640235190739713,-0.0844659535547265
60,2,1069,29.51408061844285,0.15262650403771127,0.03724927109545195,0.4110178880912357,0.5434985968194574,-0.12500792340615507,0.3427613901889457,0.13640235190739713,0.01622415213031414
60,3,1276,35.22915516289343,0.2293657908001381,0.1473013252297063,0.4589933630245329,0.6559561128526645,-0.06442098019180323,0.40985036028433525,0.13640235190739713,0.09296343889274097
