sample,start,end,n_obs,score0_mean,score1_mean,score2_mean,score3_mean,score0_n,score1_n,score2_n,score3_n,spread_3_0,spread_3_0_hac_t,spread_3_0_hac_p,spearman_rho,spearman_p,boot_spread_lo,boot_spread_hi
train (pre-2022),2016-07-19,2021-12-31,1992,-0.038064066028076216,0.04105458570810428,0.040941272747321046,0.10365822675151173,84,410,663,835,0.14172229277958795,2.14848899034825,0.03167493007830294,0.11008540858470368,8.427217593107368e-07,0.005653370557773193,0.419639805388805
OOS (2022+),2022-01-01,2026-07-28,1670,0.004159250035100714,-0.012731220386995614,0.026704444855962586,0.031727849377141244,331,492,406,441,0.02756859934204053,0.9863237062614575,0.3239742903063275,0.07413797016876347,0.0024326192845495033,-0.03269301121223012,0.08478836773770475
