trend_score,n,mean,hac_se,hac_t,hac_p,naive_t,t_inflation_naive_over_hac
0,415,-0.004387156107807386,0.020800891673350766,-0.21091192515694063,0.8329559985093982,-0.6630790239873868,3.1438669174063363
1,902,0.011716873292595246,0.014897901722686874,0.7864780900489172,0.4315874501127277,2.5069631710550873,3.187581704786156
2,1069,0.03553420808512131,0.017235569366087382,2.061678806795802,0.03923832559098853,6.760050132390504,3.27890557448023
3,1276,0.07879827657745424,0.022288528737382896,3.5353736222746606,0.0004071989690504232,13.054181157225063,3.6924474049862934
