symbol,n_days,spread_full,t_full,spread_train,t_train,spread_OOS,t_OOS
1INCHUSDT,2041,0.09155833600070507,2.052950335269695,0.23880531133761926,1.6616489835895336,0.04452976116684774,1.3680433426362222
AAVEUSDT,2112,0.086054743735398,1.9557903270997954,0.18213837697947374,1.2687728298830785,0.037922557407023584,1.0511892671607272
ACMUSDT,1980,0.0021934766928059096,0.09401094402599143,-0.057534730204229716,-0.5520153881352508,0.013021229052314388,0.5288827316833623
ADAUSDT,3024,0.08958830333182329,2.6169670587400717,0.07975524673246823,1.414010608012091,0.08157933968107875,1.980777234658981
ALGOUSDT,2593,0.06840464068327134,1.8080191384033053,-0.007174526234008757,-0.11173293876823855,0.08253999371938943,1.7126523429908835
ALICEUSDT,1961,0.020905558630218164,0.5501926509950609,-0.24389030304332285,-1.0141043724794865,0.04316001748179839,1.2549090932745677
ANKRUSDT,2562,0.09398244098267199,2.090378942325157,0.12470167593356157,1.1911184157616397,0.03294958000353751,0.9475183732406524
ARPAUSDT,2456,0.06045754446905596,1.7336464987648503,0.06928469129225016,0.7898164506565192,0.01982843387979812,0.7415627115128982
ARUSDT,1901,0.12060131079187011,1.951473530031446,0.37489652717393096,1.6172554938524573,0.07270458655041903,1.266209041249021
ASRUSDT,2036,0.029561893411857644,0.8060893233894304,0.010644216577195395,0.10579532375769986,0.03050866307450887,0.728029374680954
ATMUSDT,2036,0.013837887711582916,0.28662541197894836,0.14304462206323665,0.6735969874526153,-0.02416026429235904,-0.6334775114047405
ATOMUSDT,2647,0.03573179890692923,1.1075125311350462,-0.028794173476835216,-0.48616854625555667,0.019526283330524453,0.6160574419959073
AUDIOUSDT,2104,0.12266712432982486,2.1391713958821894,0.26931634532437837,1.4950018256502415,0.03573895912702961,1.0159253635759828
AVAUSDT,2072,0.07667162393007207,1.9231641952646596,0.20550318408422963,2.344046506053242,0.04323783228997242,0.9920888155607336
AVAXUSDT,2135,0.1726587311915514,2.9298431025565503,0.4329862248335496,2.644446307864023,0.06500528231690801,1.5476245429678017
AXSUSDT,2092,0.013770508890384392,0.15538932837394817,-0.8968765547749584,-1.4131330569229423,0.015467849281479693,0.3711267245241928
BANDUSDT,2505,-0.002419568412264511,-0.04928249160782693,-0.15310102315846413,-0.8490503472833404,0.0028323169034004947,0.07953715163457271
BARUSDT,1924,-0.03368287841201752,-1.3363296745732895,-0.20916026119269893,-1.9831436199765138,-0.005710586021947087,-0.22756861729729505
BATUSDT,2703,0.06338094875533185,2.3011753264864434,0.024446118605636967,0.4642455861558982,0.05175663538881383,1.7692996912370234
BCHUSDT,2434,0.017161455284664694,0.5885417963031967,-0.009119819167729894,-0.14281609846538004,0.015380529125519442,0.49049908585878016
BELUSDT,2142,0.020244474678580846,0.3916721476616368,0.04454252044215603,0.3277047206677114,0.004473523930922539,0.08611409078839344
BNBUSDT,3186,0.09870208960758498,2.2052774851783834,0.10253942271466589,1.268149784976866,0.05693884156672258,2.799184429126533
BNTUSDT,2364,0.11335380016671653,2.7313366398792653,0.1306808158158558,1.2672916324330752,0.0652277761328276,2.2007321457229776
C98USDT,1831,0.0915028262089155,1.7620275058443315,0.18608659225102292,0.6896011731243624,0.05062445584850886,1.4959326603996272
CAKEUSDT,1985,0.059821538420905526,1.601643068179743,0.07776263514094614,0.7104779966657412,0.052148017991182447,1.3725761714418903
CELOUSDT,2030,0.06718918806235083,2.0244949210259664,0.1249885884634509,1.331337782404525,0.04070080723983173,1.2046971618996936
CELRUSDT,2682,0.08601851804056766,1.9236733271208135,0.09978818146547053,1.072398756709682,0.03609140033960236,0.9386790789355424
CFXUSDT,1947,0.09966897617991277,1.629257115283418,0.026611428515203137,0.32683651516300205,0.12767914544211856,1.7622853942064793
CHRUSDT,2273,0.13546885368107858,1.6388672994252618,0.05875998035995711,0.23930283129720556,0.05028896567911066,1.3424608916078236
CHZUSDT,2517,0.12920916269693405,1.2210128539308072,0.22035582369310988,0.8754087823449767,0.008107394474208244,0.2142559406705606
CKBUSDT,2009,0.10203779262400228,1.8619488736037606,0.25213590247747564,1.940651549194523,0.06092561672652347,1.0051203264283337
COMPUSDT,2224,0.049935513039425464,1.3658422832040196,0.10297336412707511,0.9521976181630893,0.02783356278882864,0.7506329540307985
COTIUSDT,2344,0.0738868259738491,1.4860668381609459,0.08091774320978751,0.6512165276266499,0.023007193156730676,0.4445590498103256
CRVUSDT,2173,0.08908461765832304,1.6071466727988888,0.19833996488477154,1.6706276273186598,0.04241237270804685,0.7518181762916967
CTKUSDT,2100,0.062127633744510885,2.110869349928431,0.12119518997024291,1.4107347453523842,0.03270863003772556,1.2627835448729698
CTSIUSDT,2287,0.11619654448894268,2.60712721838818,0.1764677878309055,1.3170203143247436,0.045565001814099476,1.3526840516386052
CVCUSDT,2354,0.10927230503100765,2.525219273681811,0.18522825727622233,2.0880491486830115,0.03438379241237168,1.1099104522875307
DASHUSDT,2679,0.014542530080826559,0.4351056673295545,-0.050230588778096705,-0.670856702726532,0.027052574526451885,0.6959451649181015
DCRUSDT,2189,0.052112153462059045,1.5196836957556703,0.12321037449282728,1.6114565305781414,0.014800835865068609,0.4791771017528349
DEXEUSDT,1831,0.06792688224075992,1.217051913100559,0.12288897640498253,1.34035889738434,0.07955540471800138,1.3164597685179604
DGBUSDT,2199,0.04811377136059601,1.247119316370221,0.12634246592685072,1.1612337905592427,0.019315780690179862,0.4847425308200532
DIAUSDT,2153,0.07435123405256606,2.283369737273702,0.1508096011199333,1.633833050877696,0.06117135249547905,1.599818211847491
DODOUSDT,1985,0.030407520270412956,0.9424877191994856,-0.04596069668338547,-0.41944783451290807,0.047577256734246114,1.4029628721440954
DOGEUSDT,2580,0.18811973310414573,2.3438998473067323,0.30830230746573967,1.839379998461819,0.07332610980632306,1.618500164081733
DOTUSDT,2170,0.11020424240223867,3.085773710651204,0.22147360132471172,1.9517460584524071,0.05641000101101929,1.7152268625354155
DUSKUSDT,2563,0.04018369943759448,0.786986247645051,0.0350543384901265,0.38937212248333386,0.00876748838953472,0.16015703786749214
EGLDUSDT,2154,0.1272589374995039,2.700550052957206,0.2931123203523191,2.16522267860649,0.038954581508818226,1.1872918620036719
ENJUSDT,2658,0.046773015716881194,0.8637544072836527,0.043614230388922134,0.49854173501304444,-0.0055606035050752185,-0.10156244547610424
ETCUSDT,2968,0.03698835909620186,0.9801114922315424,0.06678731784850057,1.0759356235804671,0.0013423990979835963,0.03501294157934692
ETHUSDT,3267,0.053388695583502795,2.0222895115918447,0.036176295328741476,0.7552153918263743,0.05052260492701018,1.831890273836508
FETUSDT,2707,0.019028745330425874,0.35421005722248017,-0.04865890957096013,-0.49012542442126183,0.028065023243284606,0.42336195833441487
FILUSDT,2112,0.06984435964195426,1.5206344523790367,0.16857742840270776,1.3226847544184264,0.0346444583657145,0.9134960310746587
FLOWUSDT,1824,0.04228429976729272,1.1239751993749072,-0.045563787270028036,-0.7903975369413688,0.058322547825277384,1.467819793241119
FTTUSDT,2082,0.11786496099400905,2.710616147733711,0.058863281711431695,0.8614262771579024,0.1033241484742218,1.6575046561786013
GRTUSDT,2049,0.12357614449488512,2.4459015445582315,0.20717204824976454,1.3707076368849584,0.08841101496938147,2.1185571792920546
GTCUSDT,1874,0.044232897328386374,1.3367542359337423,0.04016007226646861,0.2936115711191097,0.031856930902335046,0.9269018585441058
HBARUSDT,2494,0.18341026463824928,3.4074792383250365,0.26808909824484506,2.7752213353389057,0.13104520422091517,2.063673977607866
HIVEUSDT,2283,0.07534594337622835,2.1611319596385528,0.1173226073737923,1.171328439907241,0.03176518679433114,1.077685654941646
HOTUSDT,2717,0.08521335704344134,1.74282629782002,0.10985278547100503,1.1311044327072455,0.028287554867726154,0.8056797049563234
ICPUSDT,1904,0.04449247432970476,1.1221782804939462,0.11263120518497113,0.767796267275117,0.042628829501824936,1.0303164337243804
ICXUSDT,2967,0.07561217349761454,2.3450547848600007,0.08161418319489155,1.390906110924329,0.05548258539699414,1.7335571281760909
INJUSDT,2106,0.14259585700238225,3.001009658242045,0.32452402094612837,2.7924772699401,0.08589153744176319,1.8421318282453343
IOSTUSDT,2685,0.06703148289730751,1.8934336539979708,0.0634750291306061,0.8655331529940052,0.030883991172502814,1.076033611843383
IOTAUSDT,2980,0.08054017718409909,2.418591718379316,0.0680079196311515,1.2417823067160507,0.07704493006392174,1.8244544674997896
IOTXUSDT,2448,0.10322342834212125,2.337119528908777,0.1348995654895495,1.3124090113100522,0.030761058648303377,0.8646115978032584
JSTUSDT,2177,0.01118578589797014,0.3689091051930271,0.12403062174595354,1.3952054509354388,-0.013420349682883404,-0.5311504470618194
JUVUSDT,2045,0.020597989109033057,0.8154371176732323,-0.033213972435775035,-0.22761947635949456,0.02251560271700223,0.9324831722438802
KAVAUSDT,2468,0.009012969119591409,0.2542669031650945,-0.13234163331124993,-1.5269924394405232,0.014196434286902756,0.44102248400898314
KNCUSDT,2237,0.028274251948362375,0.8781638022614521,0.065843184407765,1.108544033504211,0.008255149085200371,0.2332563530942881
KSMUSDT,2153,0.11837241063946966,3.012880804383291,0.2641730533673211,2.4600622340353775,0.05712409046664086,1.3977460585656494
LINKUSDT,2750,0.07218829679183317,2.1902527790986435,0.0067828916279918106,0.09225262260561772,0.0628722791766906,1.9793347692860375
LPTUSDT,1887,0.11947588647254179,2.834264497117382,0.2749653247638701,1.566866090196659,0.09407225901351166,2.325329420092925
LSKUSDT,2364,0.04030593627014213,1.3598520926417261,0.0450859343148436,0.5505485312217812,0.016971375870280574,0.6103086473647367
LTCUSDT,3149,0.02006400337955019,0.898529601333447,0.0011157582889359703,0.027489930738322454,0.029016377353434174,1.2621968538802035
MANAUSDT,2182,0.13969492686843563,2.3613997173515777,0.3518770829226853,2.3100672626888055,0.028473828343342708,0.6952101174492661
MASKUSDT,1890,0.015110089845040177,0.2830161748235364,0.1275250581327588,0.7714462621506208,-0.006969568397421917,-0.12656377109763037
MBLUSDT,2349,0.06648931233512372,0.9990833791269917,0.15557476430778847,0.9784583000101726,-0.00424767354368312,-0.10372500687128973
MTLUSDT,2531,0.055911470622384066,1.4051437388512658,0.1040169792307509,1.166528098096117,0.004342555881403164,0.15385862248901533
NEARUSDT,2113,0.14274689154194714,3.244061932211482,0.26492142009445424,2.193692985393902,0.07994650758879587,1.7595431823949401
NEOUSDT,3172,0.050032981045415634,1.6399110141626463,0.02832282795921417,0.5196531768690589,0.05237433504348151,1.67461818136938
NMRUSDT,2169,0.027280396938422508,0.8285281317474853,0.08252055968874708,1.0100138267358396,0.02187786260563411,0.5762025561554562
OGNUSDT,2392,0.08065946492370665,1.6903503085683798,0.1412899376233721,1.4320612694348094,0.018466582876883644,0.5024190769480019
OGUSDT,2036,0.14200717644554645,2.1663904827483846,0.1567916984767654,1.4636858620104365,0.14919825453217486,1.8218259679100337
ONEUSDT,2614,0.14244608247222798,2.4402179487440554,0.14597168450705506,1.239565423250914,0.08156831492640212,1.7543000009404008
ONGUSDT,2719,0.05496993353421581,1.8269818541972547,0.0764816255344266,1.3442285479041822,0.02450076491699626,0.856905638927832
ONTUSDT,2972,0.02002188692453637,0.662830731760449,0.01942743747610374,0.34827637189637384,0.0155073517307362,0.454615319836368
PHAUSDT,1859,0.029926138354541436,0.6570580055658192,-0.06032568097609949,-1.0137399942596559,0.044486898380568234,0.8938020905648767
PSGUSDT,2045,0.01840553071057754,0.5440110768191697,-0.10011241167066806,-0.5187665130549611,0.014112112298485222,0.5447158083013494
PUNDIXUSDT,1936,0.010259269026205942,0.3547903979990558,-0.08648905239532176,-0.6927312364663029,0.02860587659512184,0.9575796705888755
QNTUSDT,1825,0.0043197950950849195,0.12188631968838044,0.1034495208313272,0.7905517547283794,-0.004267161699083019,-0.1254153117596314
QTUMUSDT,3053,0.04920640874995585,1.6824714815701005,0.046054670086564484,0.8687878306777852,0.040855558373731796,1.3556883640707282
RIFUSDT,2028,0.028665939490236568,0.697421657894466,0.04308605642799999,0.5108802611503028,0.02737239751127018,0.5716026151929323
RLCUSDT,2448,0.06612349708430589,1.7209757729264386,0.09789140219728087,0.9056917730135824,0.02424150035785977,0.6911845546898309
ROSEUSDT,2077,0.10551797398972299,2.422590163351098,0.19171055329646985,1.7050004030316206,0.04779250501404061,1.1475257587830798
RSRUSDT,2161,0.09093751955206347,2.101372016762154,0.1390867385685016,0.9432789816337889,0.06879768169743992,1.4141873275604984
RUNEUSDT,2153,0.10033493539053925,1.8918385154329385,0.38112319507830184,2.735464805329875,0.0084601213498692,0.15720944516350036
RVNUSDT,2498,0.0835933989961357,1.3410288009571227,0.13114185868935052,0.9226230559631802,0.024112987451258353,0.7146021610080644
SANDUSDT,2174,0.15110153011909644,2.2531376159330114,0.08751343193857097,0.33206494149512805,0.06125878527596343,1.3703392926172382
SCUSDT,2213,0.10330467795671894,2.9183227483011382,0.20124924399060715,2.073002744751571,0.05267357111606638,1.6523580587215398
SFPUSDT,1996,0.018401287960925928,0.6640088580700646,0.08396534705086658,0.6469239464680561,0.0038022387851358906,0.1859708811205991
SHIBUSDT,1905,0.1184774838736984,1.7802523065354596,0.48010977764558305,1.5854277934374548,0.05449052201816859,1.128663820114644
