regime_EXPOST_DESCRIPTIVE_ONLY,n_obs,score0_mean,score1_mean,score2_mean,score3_mean,score0_n,score1_n,score2_n,score3_n,spread_3_0,spearman_rho,spearman_p
bear,700,-0.03382805120935525,-0.03422851043339175,-0.10824459857502369,-0.1218429767370551,242,352,90,16,-0.08801492552769985,-0.18592716005772145,7.284007060913205e-07
bull,1801,0.2518151631836042,0.10326858279318023,0.0856000538729129,0.11616152850153925,14,173,611,1003,-0.13565363468206493,-0.014493086973935185,0.5387755555413496
sideways,1091,0.0216235024361684,0.01853382012378475,-0.011372001187086929,-0.054528889285678624,120,348,366,257,-0.07615239172184703,-0.2302879043400101,1.3448060608505218e-14
