signal,era,n,n_on,n_off,mean_on,mean_off,spread,hac_t,hac_p
sma200,full sample,3662,2183,1479,0.05873994539137915,0.012881216018679115,0.04585872937270004,2.2036128150368013,0.027551585268284308
sma200,train (pre-2022),1992,1329,663,0.07895635527251102,0.03378685611732029,0.04516949915519073,1.363419509150174,0.1727503360385495
sma200,OOS (2022+),1670,854,816,0.027279045236783997,-0.004104616561466841,0.03138366179825084,1.5088147279409463,0.13134613593004615
trendscore_ge2,full sample,3662,2345,1317,0.059075765183721214,0.006642330998618715,0.0524334341851025,2.698219079416731,0.006971154684211536
trendscore_ge2,train (pre-2022),1992,1498,494,0.07590032254271438,0.027601211728672775,0.048299110814041604,1.5393822622344058,0.12371100177459379
trendscore_ge2,OOS (2022+),1670,847,823,0.029319936466163047,-0.005938090727561974,0.03525802719372502,1.7950028064238321,0.07265325280170341
trendscore_eq3,full sample,3662,1276,2386,0.07879827657745422,0.0195867637754298,0.05921151280202443,2.5153409196925236,0.011891733003146094
trendscore_eq3,train (pre-2022),1992,835,1157,0.10365822675151173,0.0352455163573364,0.06841271039417533,1.998116137561068,0.045704070586303075
trendscore_eq3,OOS (2022+),1670,441,1229,0.031727849377141244,0.004845366918419287,0.026882482458721955,1.2387182606708302,0.21544985373509573
