strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture,map,signal_lag_days,cash_rate
A_linear lag=1,2016-07-21,2026-08-17,10.08,165.27887635800872,0.660631390767958,0.4895807210128967,0.3848184544234064,1.3493819556480358,1.7167352115631163,-0.6448199318983131,1.0245207353052763,-0.47727142610718987,2018,10.477455335840952,2017,-0.21516840502532175,-0.31242219654754466,-0.3737500132991295,0.8855978260869565,0.6230072463768116,14.745471014492756,438,0.6593706503729887,0.6140862606030623,A_linear,1,0.0
A_linear lag=2,2016-07-21,2026-08-17,10.08,185.72545381677642,0.6798435174368107,0.4922914453832515,0.39001494967438477,1.3809777192198596,1.7431216880388756,-0.6550544672670422,1.0378427312665939,-0.4818706297898264,2018,10.653563363497375,2017,-0.17735796791260128,-0.31242219654754466,-0.370611420199385,0.8855978260869565,0.6230072463768116,14.745471014492756,438,0.6632146555442685,0.6152951314704453,A_linear,2,0.0
A_linear lag=3,2016-07-21,2026-08-17,10.08,135.4191570163031,0.6283477133631878,0.49573534255708035,0.39389530815323204,1.2675063878279733,1.5952150237817755,-0.669917016728227,0.9379485782163628,-0.5092207506383077,2018,10.37343412218814,2017,-0.253164872662358,-0.31242219654754466,-0.37309794153156806,0.8855978260869565,0.6230072463768116,14.745471014492756,438,0.6599334532147741,0.6189726518492115,A_linear,3,0.0
A_linear cash=4%,2016-07-21,2026-08-17,10.08,215.74105555912516,0.704864307206218,0.4922483625992227,0.39055340133530925,1.431928190648147,1.8047834298620213,-0.6458717301196921,1.0913379148450937,-0.4707772760667004,2018,10.68515619931492,2017,-0.17611019578123832,-0.31228853525220834,-0.370286234508039,0.8855978260869565,0.6230072463768116,14.745471014492756,438,0.664809743712366,0.6134057245592788,A_linear,2,0.04
B_threshold lag=1,2016-07-21,2026-08-17,10.08,193.58899710911592,0.6867305034619249,0.557691769175625,0.5088176778042978,1.2313800228341971,1.3496592854740717,-0.7919678511005787,0.8671191671575962,-0.688570907666106,2018,13.242405251856974,2017,-0.4305417492173085,-0.45434242144748505,-0.5128282410153127,0.6366847826086957,0.6366847826086957,15.869565217391305,160,0.6821223554927635,0.6273585564204158,B_threshold,1,0.0
B_threshold lag=2,2016-07-21,2026-08-17,10.08,273.597304890797,0.7453460981110223,0.5604704477956183,0.5117973924700174,1.3298579809917488,1.4563303937791883,-0.7785892058302215,0.9573034053512832,-0.6543940142178903,2018,13.242405251856974,2017,-0.3390340255270633,-0.45434242144748505,-0.49904390211702976,0.6366847826086957,0.6366847826086957,15.869565217391305,160,0.6868356462860973,0.6238192356868698,B_threshold,2,0.0
B_threshold lag=3,2016-07-21,2026-08-17,10.08,233.95221584786032,0.7185615493127899,0.5574461954795799,0.5100972990327947,1.2890240441852867,1.4086754638287016,-0.715037673326002,1.0049282382149134,-0.5960859799506075,2018,13.242405251856974,2017,-0.39441349161942385,-0.45434242144748505,-0.49904390211702976,0.6366847826086957,0.6366847826086957,15.869565217391305,160,0.6811162079493993,0.6214739152259658,B_threshold,3,0.0
B_threshold cash=4%,2016-07-21,2026-08-17,10.08,316.0235268267868,0.7703951698027243,0.5604207024341245,0.5119046683224417,1.37467293134711,1.5049582812506466,-0.7722915148419874,0.997544521721631,-0.6466202336304182,2018,13.242405251856974,2017,-0.3377543308055536,-0.45434242144748505,-0.49904390211702976,0.6366847826086957,0.6366847826086957,15.869565217391305,160,0.6883652672913323,0.6219894657226841,B_threshold,2,0.04
C_strong lag=1,2016-07-21,2026-08-17,10.08,82.71253602192812,0.5513563140923878,0.4049227514133783,0.46507303326976007,1.3616333292409104,1.1855263037205173,-0.5445733544700366,1.0124555481216158,-0.08656836924477129,2019,5.907690475331186,2017,-0.2654749327851458,-0.2667022378359243,-0.3045549098518493,0.3467391304347826,0.3467391304347826,17.85326086956522,180,0.39975135366197656,0.3365833837459862,C_strong,1,0.0
C_strong lag=2,2016-07-21,2026-08-17,10.08,65.74784326188393,0.5168981119604121,0.40711859351316654,0.4775998724087088,1.2696499747160166,1.0822827681119513,-0.5723191757469444,0.9031640627553652,-0.2142363895449435,2018,6.278603551878026,2017,-0.3151737163623486,-0.2667022378359243,-0.34341524538246837,0.3467391304347826,0.3467391304347826,17.85326086956522,180,0.3985011033911422,0.34055391626358483,C_strong,2,0.0
C_strong lag=3,2016-07-21,2026-08-17,10.08,38.78559478384648,0.4410148659928461,0.41693674891093097,0.4860574778777511,1.0577500475667088,0.9073306883754317,-0.5550409175285957,0.7945628008049064,-0.3009589116059298,2018,5.827511462356059,2017,-0.2120157527287445,-0.2667022378359243,-0.2711070405277457,0.3467391304347826,0.3467391304347826,17.85326086956522,180,0.39949743379918845,0.35380763472094207,C_strong,3,0.0
C_strong cash=4%,2016-07-21,2026-08-17,10.08,85.422344600253,0.5562660134416548,0.4070324791137797,0.4778258804230697,1.3666379023433144,1.1641604949257536,-0.5349276556777369,1.039890174937549,-0.18561052708776793,2018,6.338290830833253,2017,-0.31399526950980294,-0.2667022378359243,-0.3429211556314059,0.3467391304347826,0.3467391304347826,17.85326086956522,180,0.40127383028884916,0.3372901488015411,C_strong,2,0.04
D_long_veto lag=1,2016-07-21,2026-08-17,10.08,153.89767108514124,0.6489941925027278,0.44789759421162595,0.4033173766808885,1.448978965035669,1.6091401710574522,-0.5820869697980208,1.1149436874148262,-0.39206137064005875,2018,9.207826138994172,2017,-0.22103122697213795,-0.2667022378359243,-0.3238839630658822,0.6366847826086957,0.49171195652173916,16.86141304347826,333,0.5409368545773701,0.48197097008320106,D_long_veto,1,0.0
D_long_veto lag=2,2016-07-21,2026-08-17,10.08,163.39718650045944,0.6587578930825884,0.45022576569127476,0.41169700535299786,1.4631723532551146,1.600103679446867,-0.6340328786571223,1.0389964231473823,-0.45627488759420665,2018,9.452902861272666,2017,-0.20342805265025754,-0.2667022378359243,-0.3040121947270916,0.6366847826086957,0.49171195652173916,16.86141304347826,333,0.5426683748386197,0.48218657597522724,D_long_veto,2,0.0
D_long_veto lag=3,2016-07-21,2026-08-17,10.08,114.82311656889378,0.6021275291043655,0.45596645293159627,0.41894398480160544,1.320552258248473,1.4372506849322786,-0.6099334335007467,0.9872020388330268,-0.4471081254827731,2018,9.089409847489097,2017,-0.20639370904621335,-0.2667022378359243,-0.30769638842793223,0.6366847826086957,0.49171195652173916,16.86141304347826,333,0.5403068208742939,0.48764077497345387,D_long_veto,3,0.0
D_long_veto cash=4%,2016-07-21,2026-08-17,10.08,199.98819817567315,0.6921523873158906,0.4501647554435046,0.41245127186661446,1.5375534822444696,1.678143418453879,-0.621037292691323,1.114510183947865,-0.4402561416648084,2018,9.495487655877364,2017,-0.20274915102707103,-0.2667022378359243,-0.3037523731674998,0.6366847826086957,0.49171195652173916,16.86141304347826,333,0.5448195487900906,0.4796398072621125,D_long_veto,2,0.04
