signal,n_on,n_off,mean_on,mean_off,spread_on_minus_off,hac_t,hac_p
R30 > 0 (single horizon),2050,1612,0.059354571454652595,0.015883218237573986,0.04347135321707861,2.361904304476584,0.01818133472987826
R90 > 0 (single horizon),2149,1513,0.05975867970061344,0.012464782950686605,0.04729389674992683,2.3653742150004664,0.018011860689608385
R365 > 0 (single horizon),2669,993,0.051735588301142346,0.009263176339635637,0.04247241196150671,1.8997662285165706,0.057463804658552234
TrendScore == 3 (full agreement),1276,2386,0.07879827657745422,0.0195867637754298,0.05921151280202443,2.5153409196925236,0.011891733003146094
TrendScore >= 2 (majority agreement),2345,1317,0.059075765183721214,0.006642330998618715,0.0524334341851025,2.698219079416731,0.006971154684211536
