signal,era,target,n,n_on,n_off,mean_on,mean_off,spread,hac_t,hac_p
BTC TrendScore >= 2,full sample,alt basket (top 50),2765,1663,1102,0.04992578692442594,-0.010724696685560019,0.060650483609985956,2.183329589835843,0.02901154699449274
BTC TrendScore >= 2,train (pre-2022),alt basket (top 50),1096,816,280,0.09608249753672371,0.06854089542766735,0.02754160210905636,0.5500473646320745,0.5822868871808207
BTC TrendScore >= 2,OOS (2022+),alt basket (top 50),1669,847,822,0.005458401021669169,-0.03772514168763259,0.04318354270930176,1.474174682374687,0.14043456466842766
BTC > SMA200,full sample,alt basket (top 50),2765,1585,1180,0.03466033566227,0.013789267697572253,0.020871067964697752,0.6888791370869061,0.49089932940879677
BTC > SMA200,train (pre-2022),alt basket (top 50),1096,731,365,0.0832081929496769,0.1007385744205468,-0.017530381470869896,-0.32831749187934806,0.7426716199284419
BTC > SMA200,OOS (2022+),alt basket (top 50),1669,854,815,-0.006895265833156768,-0.025151219362410212,0.018255953529253445,0.5950177880491012,0.5518315807471084
