strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture,map
1. BTC buy & hold,2016-07-21,2026-08-17,10.08,93.47971270917076,0.5700863069853148,0.675602773193549,0.49646238214621774,0.8438187787337494,1.1482970865200688,-0.8380153496105094,0.6802814617301199,-0.7336921748551737,2018,13.242405251856974,2017,-0.37120599797697296,-0.45434242144748505,-0.49904390211702976,1.0,1.0,0.09918478260869566,1,1.0,1.0,
2. A_linear trend only,2016-07-21,2026-08-17,10.08,185.72545381677642,0.6798435174368107,0.4922914453832515,0.39001494967438477,1.3809777192198596,1.7431216880388756,-0.6550544672670422,1.0378427312665939,-0.4818706297898264,2018,10.653563363497375,2017,-0.17735796791260128,-0.31242219654754466,-0.370611420199385,0.8855978260869565,0.6230072463768116,14.745471014492756,438,0.6632146555442685,0.6152951314704453,A_linear
3. A_linear trend + DD brake,2016-07-21,2026-08-17,10.08,79.65809211519392,0.5456475219141461,0.4020146230752722,0.3237487970077905,1.357282771805991,1.6854040137206006,-0.46575127361613267,1.1715427371302545,-0.21053882074724073,2018,8.250351854728915,2017,-0.22465518715614408,-0.2667022378359243,-0.3123668751436611,0.8855978260869565,0.46062990326164943,11.268612754851024,863,0.4933500142407341,0.44762471896717543,A_linear
2. B_threshold trend only,2016-07-21,2026-08-17,10.08,273.597304890797,0.7453460981110223,0.5604704477956183,0.5117973924700174,1.3298579809917488,1.4563303937791883,-0.7785892058302215,0.9573034053512832,-0.6543940142178903,2018,13.242405251856974,2017,-0.3390340255270633,-0.45434242144748505,-0.49904390211702976,0.6366847826086957,0.6366847826086957,15.869565217391305,160,0.6868356462860973,0.6238192356868698,B_threshold
3. B_threshold trend + DD brake,2016-07-21,2026-08-17,10.08,116.46258485079021,0.604362628982255,0.4258138005256527,0.3852564628390428,1.4193119815191284,1.5687280740952894,-0.5147180383303465,1.1741625200132866,-0.27618354534609146,2018,9.153745727533577,2017,-0.20166168340718615,-0.2667022378359243,-0.3076144916375396,0.6366847826086957,0.4621456679516527,10.990826514587937,653,0.4976442392423911,0.44070715526555665,B_threshold
2. C_strong trend only,2016-07-21,2026-08-17,10.08,65.74784326188393,0.5168981119604121,0.40711859351316654,0.4775998724087088,1.2696499747160166,1.0822827681119513,-0.5723191757469444,0.9031640627553652,-0.2142363895449435,2018,6.278603551878026,2017,-0.3151737163623486,-0.2667022378359243,-0.34341524538246837,0.3467391304347826,0.3467391304347826,17.85326086956522,180,0.3985011033911422,0.34055391626358483,C_strong
3. C_strong trend + DD brake,2016-07-21,2026-08-17,10.08,35.54006533139801,0.4289036158676556,0.35564559001470164,0.4264276019838016,1.205986037532268,1.005806410917903,-0.4541026281711261,0.9445081117346574,-0.11478534884809044,2018,4.795128213129862,2017,-0.3052222971937435,-0.2667022378359243,-0.333874212467949,0.3467391304347826,0.2930795890208687,14.7076113398741,379,0.33276150825946943,0.28362538136111193,C_strong
2. D_long_veto trend only,2016-07-21,2026-08-17,10.08,163.39718650045944,0.6587578930825884,0.45022576569127476,0.41169700535299786,1.4631723532551146,1.600103679446867,-0.6340328786571223,1.0389964231473823,-0.45627488759420665,2018,9.452902861272666,2017,-0.20342805265025754,-0.2667022378359243,-0.3040121947270916,0.6366847826086957,0.49171195652173916,16.86141304347826,333,0.5426683748386197,0.48218657597522724,D_long_veto
3. D_long_veto trend + DD brake,2016-07-21,2026-08-17,10.08,88.17796743384002,0.5611185097604834,0.3823227832679296,0.3515649472960394,1.4676564785501018,1.5960593172788269,-0.4580802988345902,1.2249348229732524,-0.20110255735032778,2018,7.549213276250663,2017,-0.24579966897191008,-0.2667022378359243,-0.3163763051076304,0.6366847826086957,0.39645475710477335,13.12271286862377,630,0.4331238806391558,0.37637740479562504,D_long_veto
