signal,era,n,n_on,n_off,mean_on,mean_off,spread,hac_t,hac_p
BTCDOM_Trend = Rising (dom > SMA30),full sample,2736,1589,1147,0.021477806894662155,-0.008462815671166316,0.02994062256582847,1.6814038728941392,0.09268449378773833
BTCDOM_Trend = Rising (dom > SMA30),train (pre-2022),1067,491,576,0.016527194272403282,-0.05653943234003621,0.07306662661243948,2.054254265223682,0.039951088733682985
BTCDOM_Trend = Rising (dom > SMA30),OOS (2022+),1669,1098,571,0.023691605435216898,0.040034787133157806,-0.016343181697940908,-1.3700232157796604,0.17067965473553826
trailing 30d relative momentum > 0,full sample,2735,1603,1132,0.019339712610309152,-0.005756661459737949,0.0250963740700471,1.3204542802681982,0.1866833910500567
trailing 30d relative momentum > 0,train (pre-2022),1066,493,573,0.011547566515644894,-0.052497692794436265,0.06404525931008116,1.7733093301529574,0.07617746386790801
trailing 30d relative momentum > 0,OOS (2022+),1669,1110,559,0.022800548668569943,0.04215498604434458,-0.01935443737577464,-1.299924536892342,0.1936268344529155
