target_asset,conditioned_on,era,n_obs,score0_mean,score1_mean,score2_mean,score3_mean,score0_n,score1_n,score2_n,score3_n,spread_3_0,spread_3_0_hac_t,spread_3_0_hac_p,score3_minus_rest,spearman_rho,spearman_p
BTC,BTC TrendScore,train (pre-2022),1992,-0.038064066028076216,0.04105458570810428,0.040941272747321046,0.10365822675151173,84,410,663,835,0.14172229277958964,2.14848899034825,0.03167493007830294,0.06841271039417533,0.11008540858470368,8.427217593107368e-07
BTC,BTC TrendScore,OOS (2022+),1670,0.004159250035100714,-0.012731220386995614,0.026704444855962586,0.031727849377141244,331,492,406,441,0.027568599342040496,0.9863237062614575,0.3239742903063275,0.026882482458721955,0.07413797016876347,0.0024326192845495033
ETH,BTC TrendScore,train (pre-2022),1992,0.06408565240460214,0.03128937597876907,0.025177969497474365,0.20423172197251008,84,410,663,835,0.1401460695679091,1.1005558445652857,0.27109001203199634,0.17406332721874396,0.1943411902759609,2.0973925481379768e-18
ETH,BTC TrendScore,OOS (2022+),1670,0.017261638057225265,-0.04347216205687529,0.020916226928999113,0.041039673205811526,331,492,406,441,0.02377803514858623,0.552707768700793,0.580463532841438,0.04688402910643597,0.08062918040384219,0.0009742269416346512
SOL,BTC TrendScore,train (pre-2022),508,,0.012727991083323129,0.15004157000650434,0.3810803350493997,0,83,135,290,0.24511786101459304,2.746075126506821,0.006031295068118751,0.2833187056420883,0.26646523357038265,1.0495418207403338e-09
SOL,BTC TrendScore,OOS (2022+),1669,0.017222735866437335,-0.05653365157145618,0.046839275667763795,0.08134563283577072,331,491,406,441,0.06412289696933332,1.0815735837807758,0.2794420476936197,0.0838216519145021,0.12957810965198283,1.0833966870136617e-07
