short,medium,long,n_obs,score0_mean,score1_mean,score2_mean,score3_mean,spread_3_0,monotone_steps,monotone_steps_possible,strictly_monotone,spearman_rho,spearman_p,is_coinbase
20,60,250,3777,0.0005164511223621205,0.014342903892100132,0.029273676740408767,0.08260894477839052,0.0820924936560284,3,3,True,0.1396273947236945,6.663844677922135e-18,False
20,60,300,3727,0.0123101255356604,0.021829994742942616,0.021257123832839307,0.08296165500746557,0.07065152947180517,2,3,False,0.10560994584825813,1.024322035316666e-10,False
20,60,365,3662,0.0056147289176266164,0.01473160949892092,0.02506685209431944,0.08518427155369038,0.07956954263606376,3,3,True,0.12735519948147805,1.0282142940822252e-14,False
20,60,400,3627,0.0073112685692565405,0.016993128723364493,0.026878020358675505,0.0826981311179186,0.07538686254866206,3,3,True,0.11983975552487693,4.456537205417039e-13,False
20,90,250,3777,0.003956197176099569,-0.0028136206804183234,0.05202315941808211,0.07443196434932921,0.07047576717322963,2,3,False,0.13372802000195746,1.5455070905391974e-16,False
20,90,300,3727,0.013032463239367454,0.009274315948867122,0.03733567044841886,0.0761700661638553,0.06313760292448785,2,3,False,0.10397393838786861,1.9831085088675462e-10,False
20,90,365,3662,-0.0026111566770145108,0.006521942063438548,0.043712789993831366,0.07616812129706822,0.07877927797408274,3,3,True,0.12411904981345974,4.7871586535043464e-14,False
20,90,400,3627,0.001227082259878258,0.008227788554119844,0.04379952120321471,0.07446683328456952,0.07323975102469125,3,3,True,0.11597827999990758,2.4524798063441533e-12,False
20,120,250,3777,-0.013854236186662552,0.016914663524019363,0.03320598647734373,0.08216113117433811,0.09601536736100066,3,3,True,0.15278272900937326,3.657742386801448e-21,False
20,120,300,3727,0.006711116611419251,0.012327829842718343,0.029968106722558115,0.08204031125694411,0.07532919464552486,3,3,True,0.12329155691357087,4.248431697259442e-14,False
20,120,365,3662,-0.011672048507089482,0.01557697995935568,0.03092568916959641,0.08317162912709812,0.0948436776341876,3,3,True,0.14219770080876293,5.3314039370872215e-18,False
20,120,400,3627,-0.011609604915169283,0.01963688321075162,0.02955193015668528,0.08243802411598737,0.09404762903115665,3,3,True,0.1344625513532063,4.2186973937013977e-16,False
30,60,250,3777,-0.002125174885490714,0.014688059294106336,0.0310248357753455,0.07958108303525512,0.08170625792074583,3,3,True,0.13074360257327897,7.196496193558452e-16,False
30,60,300,3727,0.009092793793081403,0.02170730562839789,0.022930509792853458,0.07905319366755532,0.06996039987447392,3,3,True,0.09768985529004685,2.2842854522260245e-09,False
30,60,365,3662,0.004044983275163228,0.01607474717589689,0.023052476748599917,0.08311876859633273,0.0790737853211695,3,3,True,0.11827121143756864,6.976895997917579e-13,False
30,60,400,3627,0.006625194659631907,0.015041128977142318,0.029222095751247158,0.07974497516510062,0.07311978050546872,3,3,True,0.11179467188852005,1.4618335912757506e-11,False
30,90,250,3777,0.0009292303555166938,0.0005503699010147433,0.046437264593837485,0.07585979876703869,0.074930568411522,2,3,False,0.1269668901023887,4.795016286111106e-15,False
30,90,300,3727,0.00562710595616969,0.01975438699475902,0.027273633341949505,0.07860858163189709,0.0729814756757274,3,3,True,0.09787098453744128,2.1333271672353173e-09,False
30,90,365,3662,-0.004387156107807388,0.011716873292595248,0.0355342080851213,0.07879827657745421,0.0831854326852616,3,3,True,0.11662305815233928,1.4505219152699163e-12,True
30,90,400,3627,0.0035002184527638458,0.006038585538089766,0.042975761331534405,0.0752119651333946,0.07171174668063077,3,3,True,0.11008785994932371,2.972556625248327e-11,False
30,120,250,3777,-0.014923012359008473,0.016025310490512777,0.03484720216803355,0.08051086512150583,0.09543387748051431,3,3,True,0.14424688813240602,5.1626507179706455e-19,False
30,120,300,3727,0.0006752670395983034,0.019227207519386315,0.026386360221796957,0.08128841830416385,0.08061315126456554,3,3,True,0.11516114059520717,1.7686696875909263e-12,False
30,120,365,3662,-0.013323035147177304,0.018266198930422646,0.02796112184588226,0.08274488910163703,0.09606792424881434,3,3,True,0.1335814469574881,4.768589974577192e-16,False
30,120,400,3627,-0.009496508487326147,0.014818928589793296,0.033332876067670256,0.08042593956747164,0.0899224480547978,3,3,True,0.12740727632571813,1.341523058994107e-14,False
40,60,250,3777,-0.0037717523531211085,0.02171323889008264,0.02574924024905848,0.07570453687633545,0.07947628922945656,3,3,True,0.12252981950363304,4.145459127571817e-14,False
40,60,300,3727,0.0032568963904800624,0.030008591417767256,0.020927483806040384,0.07273869757359845,0.06948180118311839,2,3,False,0.08952955202769414,4.37838904665822e-08,False
40,60,365,3662,-0.009201180275036878,0.031152355735994303,0.018116839940588332,0.07618238454542013,0.085383564820457,2,3,False,0.10827875714237875,5.0479042335234026e-11,False
40,60,400,3627,-0.004539029044026468,0.027252399859369794,0.025547447903722032,0.07326076831600468,0.07779979736003115,2,3,False,0.10116172740284238,1.0216446812245792e-09,False
40,90,250,3777,-0.0014783575781977369,0.007150976432486438,0.045052107786775736,0.07228920714194316,0.0737675647201409,3,3,True,0.1179314102161152,3.5754681185444546e-13,False
40,90,300,3727,0.00024927130667915735,0.026636529274652345,0.029683008704181547,0.0720181775967854,0.07176890629010624,3,3,True,0.08865337832193637,5.924162188282254e-08,False
40,90,365,3662,-0.018358315697708884,0.02652992313804171,0.035012518414663234,0.07196020122745152,0.09031851692516041,3,3,True,0.10525839242398549,1.7114652822236154e-10,False
40,90,400,3627,-0.009041708747672805,0.018122012863327,0.04327669177342565,0.06884093869173276,0.07788264743940557,3,3,True,0.09817918828421915,3.121432557281198e-09,False
40,120,250,3777,-0.014234346658172347,0.018688332190284616,0.03624366394790885,0.07561953288541068,0.08985387954358302,3,3,True,0.13506534710918025,7.669785976320724e-17,False
40,120,300,3727,-0.005923804955503264,0.03165392911090426,0.023882391929749957,0.07555857518257755,0.08148238013808082,2,3,False,0.10586860824025779,9.21877058106838e-11,False
40,120,365,3662,-0.024052280077537475,0.031068040862583964,0.028120479854648345,0.07543279142554522,0.0994850715030827,2,3,False,0.12274573755302269,9.08573397116812e-14,False
40,120,400,3627,-0.01794386552798771,0.024419506290454265,0.034404178361070716,0.0733648681383918,0.09130873366637951,3,3,True,0.11623340523061608,2.1949053892866263e-12,False
