top_n,signal,era,spread,hac_t,hac_p
25,BTC TrendScore >= 2,full sample,0.04971055157549614,1.9398019615558544,0.05240376218371208
25,BTC TrendScore >= 2,train (pre-2022),0.010375862214449222,0.22546092338747406,0.821620721401415
25,BTC TrendScore >= 2,OOS (2022+),0.04161851854459761,1.4762840494790828,0.13986765427478262
25,BTC > SMA200,full sample,0.011928706486104713,0.4247293622412581,0.6710339766100231
25,BTC > SMA200,train (pre-2022),-0.036829475275758736,-0.741951807774217,0.45811653481932246
25,BTC > SMA200,OOS (2022+),0.0197610294134974,0.6705990768275268,0.502475970778741
50,BTC TrendScore >= 2,full sample,0.060650483609985956,2.183329589835843,0.02901154699449274
50,BTC TrendScore >= 2,train (pre-2022),0.02754160210905636,0.5500473646320745,0.5822868871808207
50,BTC TrendScore >= 2,OOS (2022+),0.04318354270930176,1.474174682374687,0.14043456466842766
50,BTC > SMA200,full sample,0.020871067964697752,0.6888791370869061,0.49089932940879677
50,BTC > SMA200,train (pre-2022),-0.017530381470869896,-0.32831749187934806,0.7426716199284419
50,BTC > SMA200,OOS (2022+),0.018255953529253445,0.5950177880491012,0.5518315807471084
100,BTC TrendScore >= 2,full sample,0.061341668121382184,2.134009350620374,0.032842015403021674
100,BTC TrendScore >= 2,train (pre-2022),0.02794927250324071,0.5443785289680855,0.5861810178040494
100,BTC TrendScore >= 2,OOS (2022+),0.04077311680207684,1.367163348362457,0.17157411072827722
100,BTC > SMA200,full sample,0.021430149084625292,0.6844522678041103,0.4936896205676725
100,BTC > SMA200,train (pre-2022),-0.016362829387742667,-0.29764206312017805,0.765976367035355
100,BTC > SMA200,OOS (2022+),0.016315424644239906,0.5222506279371845,0.6014958400075237
