trend_score,coinbase_claim_20d,our_mean_20d,our_median_20d,difference,n_obs,pct_of_sample,win_rate
0,-0.007,-0.004387156107807387,0.005221019402260829,0.0026128438921926133,415,11.332605133806663,0.5301204819277109
1,0.013,0.011716873292595248,-0.0016444121853135263,-0.0012831267074047518,902,24.631348989623156,0.4933481152993348
2,0.038,0.0355342080851213,0.027616434603580986,-0.0024657919148787025,1069,29.19169852539596,0.5799812909260992
3,0.077,0.07879827657745422,0.030293906734920717,0.0017982765774542248,1276,34.84434735117422,0.5869905956112853
