symbol,window_days,funding_return,apr_simple,pos_frac,neg_frac,stdev,top10_share,max_drawdown,n_prints,rank_apr,quality_score,rank_quality
1000000BOBUSDT,7,0.029741480000000004,1.5508057428571431,1.0,0.0,0.0008167778676158836,0.6313983029761799,0.0,43,1,-0.5486385269590813,382
PTBUSDT,7,0.024506459999999997,1.2778368428571427,0.9534883720930233,0.046511627906976744,0.0007575826730626989,0.650132387095862,0.0008029700000000009,43,2,-0.5471141129627688,381
SIRENUSDT,7,0.017484590000000005,0.9116964785714289,0.9534883720930233,0.046511627906976744,0.0007994526642878144,0.7390087793826112,0.00070791,43,3,-0.5983431253422608,408
ARCUSDT,7,0.017082620000000007,0.8907366142857147,1.0,0.0,0.0004831253263496036,0.5654712216275956,0.0,43,4,-0.3881455803156333,314
KOMAUSDT,7,0.014768749999999999,0.7700848214285714,1.0,0.0,0.00031473490785174034,0.5542473127380447,0.0,43,5,-0.3122980212681925,272
GUAUSDT,7,0.014710129999999998,0.767028207142857,1.0,0.0,0.0003035065829188349,0.526717302974209,0.0,43,6,-0.2983526711411566,262
RAVEUSDT,7,0.01463101,0.7629026642857142,0.9767441860465116,0.023255813953488372,0.0005659851482608105,0.778389146146416,0.0006498300000000005,43,7,-0.5034546576951134,359
1000RATSUSDT,7,0.014244799999999998,0.7427645714285713,1.0,0.0,0.0002115993596651665,0.41696970122430643,0.0,43,8,-0.22234418320794888,198
COLLECTUSDT,7,0.01247235,0.6503439642857143,1.0,0.0,0.00023502891826374719,0.5087918475668178,0.0,43,9,-0.26377551878752475,241
1000WHYUSDT,7,0.011947279999999998,0.6229653142857141,1.0,0.0,0.000497868535104017,0.8111335801956598,0.0,43,10,-0.4783139539051918,346
PIPPINUSDT,7,0.01083743,0.5650945642857144,0.8604651162790697,0.13953488372093023,0.00038694494279185296,0.5908895088988487,0.001829390000000002,43,11,-0.4039407601388361,319
CYSUSDT,7,0.00953506,0.49718527142857144,1.0,0.0,0.00016493571930825581,0.4767584052958241,0.0,43,12,-0.2242037550444091,201
BROCCOLIF3BUSDT,7,0.00905406,0.4721045571428571,1.0,0.0,0.00028946921161706,0.6715230515371005,0.0,43,13,-0.3429731823519676,297
LYNUSDT,7,0.007636540000000001,0.3981910142857143,1.0,0.0,0.00016485585523511186,0.5721976182931013,0.0,43,14,-0.2566538494368343,232
BTRUSDT,7,0.00703381,0.36676295,1.0,0.0,0.00013149454869830745,0.5130391636964888,0.0,43,15,-0.22291378950859966,199
AIOTUSDT,7,0.00688498,0.35900252857142856,1.0,0.0,0.0002448856004886018,0.7025757518540359,0.0,43,16,-0.334931152576598,287
FOLKSUSDT,7,0.00663031,0.34572330714285715,1.0,0.0,0.00012184558876310452,0.5173574086279525,0.0,43,17,-0.2203461587388654,195
LIGHTUSDT,7,0.006519869999999999,0.3399646499999999,1.0,0.0,0.00014001640763275505,0.5567933102960643,0.0,43,18,-0.24133272826273228,217
BANUSDT,7,0.00646231,0.3369633071428571,1.0,0.0,0.00012514230197776537,0.5380784889613777,0.0,43,19,-0.22870775022688225,205
POWERUSDT,7,0.00600352,0.3130406857142857,0.9767441860465116,0.023255813953488372,0.0015439671037053488,0.5514275641934483,0.00965462,43,20,-0.8465151079313462,490
