symbol,window_days,funding_return,apr_simple,pos_frac,neg_frac,stdev,top10_share,max_drawdown,n_prints,rank_apr,quality_score,rank_quality
BROCCOLIF3BUSDT,365,0.77843065,0.77843065,0.9116414059980651,0.08835859400193485,0.0010517387889636516,0.05441201436433973,0.18989283000000012,3101,1,-0.3170201965106575,404
1000WHYUSDT,365,0.58361989,0.58361989,0.9461187214611873,0.053881278538812784,0.0005020298734683364,0.0605106651250972,0.004258760000000028,2190,2,-0.1644639037453722,238
PLAYUSDT,365,0.4213918,0.4213918,0.9872448979591837,0.012755102040816327,0.000531351506780919,0.060021536603748926,0.010845870000000035,1176,3,-0.1600949139540388,234
KOMAUSDT,365,0.41608965,0.41608965,0.9657534246575342,0.03424657534246575,0.0003063619009420915,0.0429803042917617,0.008146029999999999,2190,4,-0.10221259282325687,106
ARCUSDT,365,0.40329590000000004,0.4032959,0.9452054794520548,0.0547945205479452,0.0005305549031683522,0.043295041206663845,0.07372431000000024,2190,5,-0.16841881062407116,244
1000RATSUSDT,365,0.3923899,0.3923899,0.9835616438356164,0.01643835616438356,0.0002074563702915199,0.03298290084616074,0.003484370000000042,2190,6,-0.06715974429421147,42
HIPPOUSDT,365,0.35100497,0.35100497,0.9791082008107266,0.020891799189273464,0.0004206626969974169,0.10345109332371834,0.02072531999999998,3207,7,-0.14859052064957673,212
1000000BOBUSDT,365,0.32756765,0.32756765,0.9444444444444444,0.05555555555555555,0.0008980510344542331,0.07256592485253997,0.1301289,1512,8,-0.2761164934802528,373
AGTUSDT,365,0.29459637,0.29459637,0.984443061605476,0.015556938394523958,0.00041521832277154877,0.07407470038693428,0.020627460000000014,1607,9,-0.13626241681120443,185
ALCHUSDT,365,0.29155385,0.29155385,0.9995433789954338,0.00045662100456621003,0.0001702159596987037,0.053342901743159934,5.8519999999999406e-05,2190,10,-0.0597803606950365,26
DAMUSDT,365,0.28438631000000003,0.28438631000000003,0.9971883786316776,0.0028116213683223993,0.00037548160745460234,0.08130870229410676,0.0002627900000000405,1067,11,-0.12405411321930913,158
SWARMSUSDT,365,0.27302362,0.27302362,0.9917808219178083,0.00821917808219178,0.00016387139668952436,0.04605251368950358,0.0005356299999999953,2190,12,-0.058446326155496935,21
ZEREBROUSDT,365,0.26994703000000003,0.26994703000000003,0.9863013698630136,0.0136986301369863,0.00028527414891013245,0.0870769224170741,0.002151580000000007,2190,13,-0.10587728974146378,116
BTCDOMUSDT,365,0.26950982,0.26950982,0.9981735159817352,0.0018264840182648401,0.0003231443673889575,0.057086440532606496,0.006374119999999997,1095,14,-0.10206585433533744,104
JELLYJELLYUSDT,365,0.26479606,0.26479606,0.9245867768595041,0.07541322314049587,0.0008019903296122079,0.12308159223020733,0.12483973000000062,1936,15,-0.2746045376574694,372
AVAAIUSDT,365,0.24437348999999997,0.24437348999999997,0.9794520547945206,0.02054794520547945,0.00015100378835558928,0.04658200787030113,0.0005917600000000002,2190,16,-0.05957862383138244,25
BUSDT,365,0.23931471999999998,0.23931471999999998,0.9993726474278545,0.0006273525721455458,0.00018106591837036042,0.04609907677903494,0.0009571200000000057,1594,17,-0.060833341736865686,27
SKYAIUSDT,365,0.23177144,0.23177144000000002,0.976349302607641,0.023650697392359005,0.0002442630605020298,0.06034540663397426,0.0026279599999999848,1649,18,-0.08989368517023887,78
BASUSDT,365,0.22955494,0.22955493999999999,0.9941060903732809,0.005893909626719057,0.000282174131183639,0.06790856963926054,0.00298949,1018,19,-0.09656159992619294,95
B2USDT,365,0.21678464,0.21678464,0.9349112426035503,0.0650887573964497,0.00027486693039024447,0.04725470737384065,0.03577970999999995,1690,20,-0.10747851062814313,119
