bucket,count,trimmed_mean_fwd_return
1,12,-0.3603240997956398
2,12,-0.26202554202966005
3,12,-0.22441208616078145
4,12,-0.2503663323299471
5,12,-0.1351628183816853
6,11,-0.1685440320419302
7,11,-0.23911487657276137
8,11,-0.08050557881777988
9,11,-0.15569393772872686
10,11,-0.40970876435949993
