symbol,coingecko_id,venue,cg_lc,dim_asset_id,in_dim_asset,in_fact_price
FTN,fasttoken,BINANCE,fasttoken,,False,False
ETHX,stader-ethx,BINANCE,stader-ethx,,False,False
LIQUIDETH,ether-fi-liquid-eth,BINANCE,ether-fi-liquid-eth,,False,False
AERO,aerodrome-finance,BINANCE,aerodrome-finance,,False,False
AB,newton-project,BINANCE,newton-project,,False,False
2Z,doublezero,BINANCE,doublezero,,False,False
WAPE,wrapped-apecoin,BINANCE,wrapped-apecoin,,False,False
TIA,celestia,BINANCE,celestia,,False,False
STRK,starknet,BINANCE,starknet,,False,False
SBTC,sbtc-2,BINANCE,sbtc-2,,False,False
TEL,telcoin,BINANCE,telcoin,,False,False
GRT,the-graph,BINANCE,the-graph,,False,False
BTT,bittorrent,BINANCE,bittorrent,,False,False
JST,just,BINANCE,just,,False,False
CHZ,chiliz,BINANCE,chiliz,,False,False
CBETH,coinbase-wrapped-staked-eth,BINANCE,coinbase-wrapped-staked-eth,,False,False
STEAKUSDC,steakhouse-usdc-morpho-vault,BINANCE,steakhouse-usdc-morpho-vault,,False,False
MERL,merlin-chain,BINANCE,merlin-chain,,False,False
ENS,ethereum-name-service,BINANCE,ethereum-name-service,,False,False
CFX,conflux-token,BINANCE,conflux-token,,False,False
SUN,sun-token,BINANCE,sun-token,,False,False
OHM,olympus,BINANCE,olympus,,False,False
TWT,trust-wallet-token,BINANCE,trust-wallet-token,,False,False
BSV,bitcoin-cash-sv,BINANCE,bitcoin-cash-sv,,False,False
EURC,euro-coin,BINANCE,euro-coin,,False,False
PYTH,pyth-network,BINANCE,pyth-network,,False,False
CUSD,cap-usd,BINANCE,cap-usd,,False,False
NFT,apenft,BINANCE,apenft,,False,False
BTC.B,bitcoin-avalanche-bridged-btc-b,BINANCE,bitcoin-avalanche-bridged-btc-b,,False,False
USR,resolv-usr,BINANCE,resolv-usr,,False,False
XPL,plasma,BINANCE,plasma,,False,False
KAU,kinesis-gold,BINANCE,kinesis-gold,,False,False
GNO,gnosis,BINANCE,gnosis,,False,False
