rebalance_date,snapshot_date,symbol,coingecko_id,venue,marketcap,volume_14d,has_price,has_volume,has_marketcap,is_stablecoin,is_blacklisted,meets_provider_filters,perp_eligible_proxy,meets_age,meets_listing_filters,meets_liquidity,meets_mcap,eligible,first_seen_date,exclusion_reason,data_proxy_label,proxy_version,proxy_source,source
2024-01-01,2024-01-01,BABYDOGE,baby-doge-coin,BINANCE,210055233.56960574,1373716.2125992184,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BAL,balancer,BINANCE,230922971.10093993,9357727.212292084,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BAN,comedian,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-10-28,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BANANA,banana-gun,BINANCE,28919939.525176488,2157849.3828678774,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BANANAS31,banana-for-scale-2,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-11-28,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BAND,band-protocol,BINANCE,300864488.61851776,65903025.31088122,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BARD,lombard-protocol,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-09-18,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BAT,basic-attention-token,BINANCE,381822514.6343048,57102965.514044546,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BB,bouncebit,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-05-13,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BBSOL,bybit-staked-sol,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-09-06,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BBT,babyboomtoken,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-10-23,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BBTC,binance-wrapped-btc,BINANCE,0.0,74751.68961838676,True,True,True,False,False,True,False,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BC,bc-token,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2024-12-31,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BCAP,blockchain-capital,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-05-29,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BCE,bitcastle-token,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-10-24,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BCH,bitcoin-cash,BINANCE,5079161810.419726,249860423.24340665,True,True,True,False,False,True,True,False,False,True,True,False,2023-12-28,insufficient_listing_age,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
2024-01-01,2024-01-01,BDCA,bitdca,BINANCE,,,False,False,False,False,False,True,False,False,False,True,True,False,2025-02-26,no_price_data,perp_eligible_proxy_binance_v0,v0,binance_exchangeInfo,coingecko
