symbol,n_variants,canonical_slug,canonical_mcap_usd,canonical_rank,all_variants,source
USDT,19,tether,189701047675,3,"['tether', 'cronos-bridged-usdt-cronos', 'bridged-tether-opbnb', 'bridged-tether-linea', 'injective-bridged-usdt-injective', 'l2-standard-bridged-usdt-base', 'polygon-hermez-bridged-usdt-x-layer', 'bridged-tether-scroll', 'kucoin-bridged-usdt-kucoin-community-chain', 'bridged-tether-starkgate', 'tether-pulsechain', 'morph-l2-bridged-usdt-morph-l2', 'abstract-bridged-usdt-abstract', 'gnosis-xdai-bridged-usdt-gnosis', 'celer-bridged-usdt-conflux', 'stargate-bridged-usdt', 'xone-bridged-usdt-xone', 'sophon-bridged-usdt-sophon', 'hashkey-bridged-usdt-hashkey']",fms_latest
USDT0,2,usdt0,4427857281,37,"['usdt0', 'stargate-bridged-usdt0']",fms_historical
USDX,3,usdx,62639670,415,"['usdx', 'hex-trust-usdx', 'usdx-money-usdx']",fms_latest
USDZ,2,anzen-usdz,7423014,1397,"['anzen-usdz', 'zedxion-usdz']",fms_latest
USOL,2,unit-solana,17643966,1223,"['unit-solana', 'wrapped-solana-universal']",fms_historical
USTBL,2,spiko-us-t-bills-money-market-fund,174398523,197,"['spiko-us-t-bills-money-market-fund', 'ustbl-tokenized-u-s-treasury-bill']",fms_latest
USUAL,2,usual,25343174,750,"['usual', 'usual']",fms_latest
USX,3,usx,378556495,120,"['usx', 'token-dforce-usd', 'usx-2']",fms_latest
VAI,2,vai,2440708,2162,"['vaiot', 'vai']",fms_latest
VELO,2,velo,54831515,454,"['velo', 'velodrome-finance']",fms_latest
WBNB,2,wbnb,1369016768,80,"['wbnb', 'bridged-wbnb']",fms_historical
