date,reconstructed_index_value,daily_divisor
2024-07-04,2448.02529635,0.0004084925108784
2024-07-11,2488.1229105020216,0.0004019094055921
2024-07-18,2490.1709783193246,0.0004015788508927
2024-07-25,2501.192156442607,0.0003998093458849
2024-08-01,2534.9359528790906,0.0003944872843293
2024-08-08,2698.455012262617,0.0003705824241855
2024-08-15,2783.6674461053494,0.0003592383139728
2024-08-22,2750.996389685806,0.0003635046573486
2024-08-29,2782.2564754398927,0.0003594204951367
2024-09-05,2864.0447707772046,0.000349156553069
2024-09-12,2820.7763051325473,0.0003545123369692
2024-09-19,2943.048873672226,0.0003397836879114
2024-09-26,2818.582854023156,0.0003547882222346
2024-10-03,2825.824981024983,0.0003538789580794
2024-10-10,2799.857928302537,0.0003571609794523
2024-10-17,2882.3352230833166,0.0003469409081884
2024-10-24,2826.2356384598443,0.0003538275387911
2024-10-31,2954.7704869732625,0.000338435761562
2024-11-07,3013.9718932057017,0.0003317880973788
2024-11-14,2947.0298229026234,0.0003393246964209
2024-11-21,2844.460047474959,0.0003515605715354
2024-11-28,2606.699480679511,0.0003836268842694
2024-12-05,2373.098680628528,0.0004213899776536
2024-12-12,2499.571970847641,0.0004000684963917
2024-12-19,2612.8642936038864,0.0003827217519286
2024-12-26,2600.265515196328,0.0003845761112301
2025-01-02,2599.377390606396,0.0003847075086571
2025-01-09,2634.5319086735535,0.0003795740703339
2025-01-16,2655.7631637638706,0.000376539600234
2025-01-23,2806.2881417090475,0.000356342595451
2025-01-30,2957.700155679284,0.0003381005333078
2025-02-06,3252.8433025484474,0.0003074233545822
2025-02-13,3194.020794404613,0.0003130849998697
2025-02-20,3280.1557655854585,0.0003048635709595
2025-02-27,3384.1863735392067,0.0002954920000325
2025-03-06,3440.7251797394642,0.0002906364059206
2025-03-13,3650.115240903956,0.0002739639529168
2025-03-20,3523.9323546921546,0.0002837738921601
2025-03-27,3546.9908615326,0.0002819291165492
2025-04-03,3700.6986132764127,0.0002702192489851
2025-04-10,3876.8192757712104,0.0002579434141409
2025-04-17,3954.1367653811103,0.000252899699564
2025-04-24,4029.956412208589,0.0002481416416739
2025-05-01,4064.5110778381777,0.000246032051789
2025-05-08,4193.120443532218,0.0002384858754874
2025-05-15,3631.0641446754826,0.0002754013589835
2025-05-22,3902.0441082586904,0.000256275934422
2025-05-29,3885.494799108497,0.0002573674787132
2025-06-05,4004.1774016465006,0.0002497391847795
2025-06-12,3991.531538596661,0.0002505304017594
2025-06-19,4138.46794706269,0.0002416353135487
2025-06-26,4223.835724892599,0.0002367516317234
2025-07-03,4189.978989384376,0.0002386646812629
2025-07-10,4143.375302905732,0.000241349124058
2025-07-17,3950.7753550064226,0.0002531148724345
2025-07-24,3537.0122066495387,0.0002827244978459
2025-07-31,3506.865611878388,0.0002851549248459
2025-08-07,3579.624763985581,0.000279358889809
2025-08-14,3302.015706870304,0.0003028453189726
2025-08-21,3381.153157191912,0.0002957570844943
2025-08-28,3256.8461155637424,0.0003070455172018
2025-09-04,3311.8765325315508,0.0003019436232532
2025-09-11,3267.212819353528,0.0003060712770458
2025-09-18,3235.788544046929,0.0003090436801996
2025-09-25,3380.29438378045,0.0002958322224236
2025-10-02,3447.537816534434,0.0002900620829172
2025-10-09,3420.7038225046567,0.000292337498915
2025-10-16,3524.019161069562,0.0002837669020211
2025-10-23,3584.439587824205,0.0002789836390036
2025-10-30,3570.4433856514142,0.0002800772598772
2025-11-06,3850.3364157795263,0.0002597175654318
2025-11-13,3819.332587552952,0.0002618258496939
2025-11-20,3699.7825497412505,0.0002702861550795
2025-11-27,3580.634225835852,0.0002792801322136
2025-12-04,3689.863303115944,0.0002710127497556
2025-12-11,3695.966910919316,0.0002705651928445
2025-12-18,3763.631524216437,0.0002657008247395
2025-12-25,3750.8596989359135,0.000266605546532
2026-01-01,3735.8140170721,0.0002676792783126
2026-01-08,3544.26355974587,0.0002821460602866
2026-01-15,3638.182770663073,0.0002748624967562
2026-01-22,3744.9052706211287,0.0002670294514109
2026-01-29,3734.572199710945,0.0002677682868408
