variant,CAGR,ann_vol,Sharpe,max_drawdown,Calmar,avg_exposure,turnover_ann,pct_days_braked
w_risk only (current),0.6690461606265437,0.35656546191847066,1.876362777894406,-0.24449667616530568,2.7364223151000937,0.82955382919469,52.44734745885725,0.0
x brake @ DVOL p70,0.6528172868664581,0.2900666986434169,2.2505764705826357,-0.1778105721748845,3.6714199773474867,0.5671429549005148,54.65863067546119,0.33881578947368424
x brake @ DVOL p80,0.6207256874912759,0.30992427872930267,2.002830143015148,-0.19401494425098487,3.1993704912147503,0.6403515110533801,47.27465053318613,0.2524671052631579
x brake @ DVOL p90,0.626333907729189,0.3286581843234048,1.9057304445912309,-0.24449667616530601,2.561727699339847,0.6945729194555185,49.964896497241114,0.1825657894736842
x soft(0.5) @ DVOL p80,0.7122410705307323,0.33352611400452387,2.1354881690645415,-0.2137887748228211,3.3315176211707414,0.7696340133347848,50.65217068008759,0.17927631578947367
