horizon,n,R2_apr_spread,R2_plus_dvol,dvol_coef,dvol_t,dvol_p
5,1122,0.012456972596327276,0.017235652390314993,-0.043139722402407196,-1.1001586950480156,0.27126298380437197
10,1117,0.01277439400009206,0.02037909422926909,-0.04915652078419351,-1.0915922604897097,0.2750123594772146
20,1107,0.02604183478643718,0.042953610809082,-0.061080467249347306,-1.2857315604056796,0.19853676270716358
