monitor_field,dvol_form,spearman_rho,p,n
Environment_APR_daily_pct,dvol,0.31237392389384283,6.246713623133833e-29,1216
Environment_APR_daily_pct,dvol_pct_365,0.2999723598339297,7.254499906506191e-25,1127
Environment_APR_daily_pct,dvol_z_365,0.289517966730007,3.3458534749569316e-23,1127
Fragmentation_Spread,dvol,0.275159968955396,1.4476132543452876e-22,1216
Fragmentation_Spread,dvol_pct_365,0.2032170358602957,5.7152745509203765e-12,1127
Fragmentation_Spread,dvol_z_365,0.2070750609091445,2.2156498677274996e-12,1127
w_risk,dvol,-0.18757148192033113,4.3186188165516344e-11,1216
w_risk,dvol_pct_365,-0.20915694225177145,1.31839726044068e-12,1127
w_risk,dvol_z_365,-0.2148479136240455,3.101631829005075e-13,1127
