quantile,target,n_on,n_off,mean_on,mean_off,diff,t,p
0.6,fwd_return,423,783,0.00683088310097379,0.017118308035822916,-0.010287424934849125,-1.0601967443639277,0.28905510192471773
0.6,fwd_vol,423,783,0.37593137622670075,0.3709755416175089,0.004955834609191856,0.19613824791340354,0.8445019601238282
0.7,fwd_return,323,883,0.0019482160645368355,0.017739326109757488,-0.01579111004522065,-1.500122844601336,0.13358258439459045
0.7,fwd_vol,323,883,0.3752227077045791,0.3717960211119194,0.003426686592659711,0.132351403763475,0.8947063506212584
0.8,fwd_return,218,988,0.0018597310496055648,0.016080645116343367,-0.014220914066737802,-1.1963570194734732,0.23155726637201157
0.8,fwd_vol,218,988,0.36231288302880293,0.37500871733818303,-0.012695834309380094,-0.40354083790370976,0.6865503984879582
0.9,fwd_return,133,1073,-0.0024621618268465357,0.015489810127429492,-0.017951971954276027,-1.0801896428152373,0.28005773955300917
0.9,fwd_vol,133,1073,0.3777236104889532,0.3720928061839451,0.005630804305008119,0.1513249827386174,0.8797193628310264
