horizon,n,apr_t,spread_t,dvol_coef,dvol_t,dvol_p,R2
5,1122,1.9470734319950123,-4.340672022394624,-0.010767860660482523,-1.2749764748288523,0.20231756881512364,0.03166310980166398
10,1117,1.3460988183991816,-3.0313311406275125,-0.017584396246710262,-1.1573316667425482,0.24713688049523197,0.03133181986308364
20,1107,1.024147341193863,-2.525367710813531,-0.022796754150645075,-0.8022963189378837,0.4223815712424981,0.033810910477127476
