apr_regime,n,n_high_dvol,fwd_ret_diff,fwd_ret_t,fwd_vol_diff,fwd_vol_t
Recovery Ramp,260,46,0.014035191271768794,1.1976237003483736,-0.08163997983458673,-1.8014590457819557
Golden Pocket,710,99,-0.027622042912501296,-1.7276441981627384,0.00686104400341424,0.16136919963562718
Leverage Exhaustion,93,66,0.01556284616826459,0.3938410010269453,-0.18771259549540398,-2.893436237115186
