decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth
2024-12-16,2024-12-23,"AAVE,ADA,APT,ARB,BCH,BGB,DOT,ENA,ETC,FET,FIL,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,PEPE,POL,RENDER,STETH,STX,SUI,TAO,UNI,VET,XLM,XMR,XRP","XRP,ADA,STETH,LINK,SUI,DOT,XLM,HBAR,BCH,UNI,PEPE,LTC,NEAR,APT,ICP,AAVE,POL,ETC,RENDER,VET,FET,BGB,TAO,ARB,FIL,XMR,KAS,STX,ENA,OM",27,90.0,0.006739804232804233,YellowGreen,,70.58823529411765,,-0.19415322104772328,-0.1162611742554994,0.07789204679222389,-0.09193171822316759,-0.17302990499760695
2024-12-23,2024-12-30,"AAVE,ADA,APT,ARB,BCH,BGB,DOT,ENA,ETC,FET,FIL,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,PEPE,POL,RENDER,STETH,SUI,TAO,UNI,VET,WBT,XLM,XMR,XRP","XRP,STETH,ADA,LINK,SUI,XLM,DOT,HBAR,BCH,UNI,LTC,PEPE,NEAR,BGB,APT,AAVE,ICP,POL,ETC,VET,RENDER,XMR,WBT,OM,TAO,FET,ARB,ENA,FIL,KAS",26,86.66666666666667,0.002110956043956044,Orange,,33.33333333333333,,0.010216917319334988,-0.0030742319339097206,-0.013291149253244709,-0.015046399426259072,0.024860825548238763
2024-12-30,2025-01-06,"AAVE,ADA,APT,ARB,BCH,BGB,DOT,ETC,FET,FIL,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,PEPE,POL,RENDER,STETH,SUI,TAO,UNI,VET,VIRTUAL,WBT,XLM,XMR,XRP","XRP,STETH,ADA,LINK,SUI,HBAR,DOT,XLM,BGB,BCH,UNI,PEPE,LTC,NEAR,AAVE,APT,ICP,POL,ETC,VET,VIRTUAL,WBT,XMR,RENDER,OM,TAO,FET,ARB,FIL,KAS",26,86.66666666666667,0.007081467032967034,YellowGreen,,72.54901960784314,,0.14059552594563277,0.03328343094565378,-0.10731209499997899,0.050191852540681925,-0.006169552776078557
2025-01-06,2025-01-13,"AAVE,ADA,APT,ARB,BCH,BGB,DOT,ENA,ETC,FET,FIL,HBAR,ICP,LINK,LTC,NEAR,OM,PEPE,POL,RENDER,STETH,SUI,TAO,TKX,UNI,VET,VIRTUAL,WBT,XLM,XRP","XRP,ADA,STETH,SUI,LINK,XLM,DOT,HBAR,BCH,UNI,PEPE,LTC,BGB,NEAR,ICP,APT,AAVE,TAO,POL,RENDER,ETC,FET,VET,VIRTUAL,ARB,ENA,OM,WBT,FIL,TKX",25,83.33333333333334,0.009026222857142857,Green,,83.33333333333334,,-0.11774744132229467,-0.02782376273397926,0.0899236785883154,-0.03974823247711323,0.0
2025-01-13,2025-01-20,"AAVE,ADA,ALGO,APT,ARB,BCH,BGB,DOT,ETC,FET,FIL,HBAR,ICP,LINK,LTC,NEAR,OM,PEPE,POL,RENDER,STETH,SUI,TAO,TKX,UNI,VET,WBT,XLM,XMR,XRP","XRP,ADA,STETH,SUI,XLM,LINK,HBAR,DOT,BCH,BGB,UNI,LTC,PEPE,NEAR,APT,ICP,AAVE,WBT,ETC,POL,XMR,RENDER,OM,VET,TAO,FET,FIL,ARB,TKX,ALGO",25,83.33333333333334,0.005333102857142858,Yellow,,59.80392156862745,,0.005395606713222145,0.050546905475691205,0.04515129876246906,0.07220986496527315,0.0
2025-01-20,2025-01-27,"AAVE,ADA,ALGO,APT,BCH,BGB,DOT,ETC,FET,FIL,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,ONDO,PEPE,POL,RENDER,STETH,SUI,TAO,UNI,VET,WBT,XLM,XMR,XRP","XRP,ADA,STETH,LINK,SUI,XLM,HBAR,DOT,LTC,BCH,UNI,BGB,PEPE,NEAR,APT,ICP,AAVE,ONDO,WBT,ETC,XMR,POL,VET,TAO,OM,RENDER,ALGO,KAS,FIL,FET",26,86.66666666666667,0.002407956043956044,Orange,,36.27450980392157,,-0.006330457589023075,0.008825822173808406,0.01515627976283148,0.012608317391154866,0.0
2025-01-27,2025-02-03,"AAVE,ADA,ALGO,APT,BCH,BGB,DOT,ETC,FET,FIL,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,ONDO,PEPE,POL,RENDER,STETH,SUI,TAO,UNI,VET,WBT,XLM,XMR,XRP","XRP,ADA,STETH,LINK,XLM,HBAR,SUI,DOT,LTC,BGB,BCH,UNI,PEPE,NEAR,AAVE,OM,APT,ONDO,ICP,WBT,XMR,ETC,POL,VET,TAO,RENDER,KAS,ALGO,FET,FIL",26,86.66666666666667,0.00732139010989011,YellowGreen,,76.47058823529412,,-0.16171002766536124,-0.03401926911946135,0.1276907585458999,-0.04859895588494478,0.0
2025-02-03,2025-02-10,"AAVE,ADA,ALGO,APT,BCH,BGB,CBBTC,DOT,ETC,FIL,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,ONDO,PEPE,POL,RENDER,STETH,SUI,TAO,UNI,VET,WBT,XLM,XMR,XRP","XRP,ADA,STETH,LINK,XLM,SUI,HBAR,LTC,DOT,BGB,BCH,UNI,OM,PEPE,NEAR,XMR,WBT,ONDO,AAVE,ICP,APT,ETC,VET,KAS,TAO,POL,ALGO,RENDER,CBBTC,FIL",25,83.33333333333334,0.004915948571428572,Yellow,Orange,57.84313725490197,36.53846153846153,-0.0582261600433072,-0.007316068770088146,0.05091009127321905,-0.010451526814411638,0.0
2025-02-10,2025-02-17,"AAVE,ADA,ALGO,APT,BCH,BGB,CBBTC,DOT,ETC,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,ONDO,PEPE,POL,RENDER,STETH,SUI,TAO,TKX,UNI,VET,WBT,XLM,XMR,XRP","XRP,STETH,ADA,LINK,XLM,SUI,HBAR,LTC,BGB,DOT,BCH,OM,UNI,ONDO,XMR,PEPE,WBT,NEAR,AAVE,APT,ICP,ETC,TAO,POL,VET,CBBTC,ALGO,TKX,KAS,RENDER",24,80.0,-0.0022693214285714283,Red,Red,10.784313725490197,1.9230769230769231,0.043984025459553794,-0.002894513240685903,-0.0468785387002397,-0.004135018915265576,0.0
2025-02-17,2025-02-24,"AAVE,ADA,ALGO,APT,BCH,BGB,CBBTC,DOT,ETC,HBAR,ICP,KAS,LINK,LTC,NEAR,OM,ONDO,PEPE,POL,RENDER,STETH,SUI,TAO,TKX,UNI,VET,WBT,XLM,XMR,XRP","XRP,ADA,STETH,LINK,XLM,SUI,LTC,HBAR,DOT,OM,BCH,BGB,UNI,XMR,PEPE,NEAR,ONDO,WBT,AAVE,APT,ICP,ETC,TAO,POL,KAS,VET,TKX,CBBTC,ALGO,RENDER",24,80.0,0.00048376190476190475,Orange,Red,25.49019607843137,7.6923076923076925,0.005633233719299594,0.0012967352095906825,-0.004336498509708912,0.0018524788708438322,0.0
