date,f_btc,f_alt,alt_coverage,p_level,frac_hot_180,frac_cold_180,struct_hot,early_hot,struct_cold,score_raw,funding_regime_long,regime_bucket
2025-02-07,0.0039003333333333,-0.0030898541666666,0.8727272727272727,,,,,,,,,
2025-02-08,0.0035976666666666,0.0007213611111111,0.8727272727272727,,,,,,,,,
2025-02-09,0.0053176666666666,0.0005815277777777,0.8727272727272727,,,,,,,,,
2025-02-10,0.0074923333333333,0.0019681666666666,0.8727272727272727,,,,,,,,,
2025-02-11,0.0047286666666666,-0.0006067847222222,0.8727272727272727,,,,,,,,,
2025-02-12,0.006868,0.0013008819444444,0.8727272727272727,,,,,,,,,
2025-02-13,0.007512,-8.472222222222186e-05,0.8727272727272727,,,,,,,,,
2025-02-14,0.0051253333333333,0.0021189722222222,0.8727272727272727,,,,,,,,,
2025-02-15,0.0059646666666666,-0.0015240798611111,0.8727272727272727,,,,,,,,,
2025-02-16,0.00586,-0.0028815798611111,0.8727272727272727,,,,,,,,,
2025-02-17,0.006855,-0.0097749930555555,0.8727272727272727,,,,,,,,,
2025-02-18,0.0092583333333333,-0.0099736111111111,0.8727272727272727,,,,,,,,,
2025-02-19,0.0062066666666666,-0.0026644548611111,0.8727272727272727,,,,,,,,,
2025-02-20,0.001905,0.0024923402777777,0.8727272727272727,,,,,,,,,
2025-02-21,0.0101053333333333,0.0036027708333333,0.8727272727272727,,,,,,,,,
2025-02-22,0.0076953333333333,0.0034108784722222,0.8727272727272727,,,,,,,,,
2025-02-23,0.0074066666666666,0.0023821840277777,0.8727272727272727,,,,,,,,,
2025-02-24,0.0090313333333333,-0.0006989618055555,0.8727272727272727,,,,,,,,,
2025-02-25,0.008664,-0.0013038020833333,0.8727272727272727,,,,,,,,,
2025-02-26,0.0084536666666666,0.0044922326388888,0.8727272727272727,,,,,,,,,
2025-02-27,0.0077456666666666,0.0057740451388888,0.8727272727272727,,,,,,,,,
2025-02-28,0.0053546666666666,0.00302184375,0.8727272727272727,,,,,,,,,
2025-03-01,0.0015113333333333,0.0034188472222222,0.8727272727272727,,,,,,,,,
2025-03-02,0.0010256666666666,0.0050305347222222,0.8727272727272727,,,,,,,,,
2025-03-03,0.0064956666666666,0.0007901493055555,0.8727272727272727,,,,,,,,,
2025-03-04,0.0020473333333333,-0.0037898402777777,0.8727272727272727,,,,,,,,,
2025-03-05,0.0037396666666666,0.0015825729166666,0.8727272727272727,,,,,,,,,
2025-03-06,0.0055083333333333,0.0016695729166666,0.8727272727272727,,,,,,,,,
