date,strategy_return,btc_return,strategy_cumulative,btc_cumulative,w_BTC,w_ETH,w_SOL,w_BNB
2024-01-08,0.0,-0.0016465701924750498,1.0,0.998353429807525,0.0,0.0,0.0,0.0
2024-01-09,0.0,0.06955745823735127,1.0,1.0677963568074782,0.0,0.0,0.0,0.0
2024-01-10,0.0,-0.01768868673504964,1.0,1.0489084415550833,0.0,0.0,0.0,0.0
2024-01-11,0.0,0.011416468254854983,1.0,1.0608832714803464,0.0,0.0,0.0,0.0
2024-01-12,0.0,-0.006818396622051193,1.0,1.0536497485656942,0.0,0.0,0.0,0.0
2024-01-13,0.0,-0.07385239190093928,1.0,0.9758351944082944,0.0,0.0,0.0,0.0
2024-01-14,0.0,-0.0010597091363595545,1.0,0.9748010929371987,0.0,0.0,0.0,0.0
2024-01-15,0.0,-0.024447584337507933,1.0,0.9509695610053217,0.0,0.0,0.0,0.0
2024-01-16,0.0,0.01881305423901214,1.0,0.9688602029361644,0.0,0.0,0.0,0.0
2024-01-17,0.0,0.013165078101329941,1.0,0.9816153231770893,0.0,0.0,0.0,0.0
2024-01-18,0.0,-0.010061704828781548,1.0,0.9717385995398724,0.0,0.0,0.0,0.0
2024-01-19,0.0,-0.03400452257362396,1.0,0.9386950923961571,0.0,0.0,0.0,0.0
2024-01-20,0.0,0.008229148243696693,1.0,0.9464197534671157,0.0,0.0,0.0,0.0
2024-01-21,0.0,0.0006049425067766734,1.0,0.9469922830052411,0.0,0.0,0.0,0.0
2024-01-22,0.008406597254115633,-0.002022952873095507,1.0084065972541156,0.9450765622455364,0.0,0.0,0.0,1.0
2024-01-23,-0.04365637902621866,-0.049038908333593034,0.9643832166318506,0.8987310393413502,0.0,0.0,0.0,1.0
2024-01-24,-0.020387833819886514,0.008321131341824994,0.9447215318724728,0.9062094983606845,0.0,0.0,0.0,1.0
2024-01-25,-0.01727173692666295,0.0072857591683981315,0.9284045501050174,0.9128119225218554,0.0,0.0,0.0,1.0
2024-01-26,-0.004408905305173683,-0.004620330394059069,0.9243113023587121,0.9085944298521682,0.0,0.0,0.0,1.0
2024-01-27,0.0,0.048190579538194056,0.9243113023587121,0.9523801219919192,0.0,0.0,0.0,0.0
2024-01-28,0.0,0.006131315923198599,0.9243113023587121,0.9582194653988261,0.0,0.0,0.0,0.0
2024-01-29,0.0,-0.0022087557607750608,0.9243113023587121,0.9561029926345396,0.0,0.0,0.0,0.0
2024-01-30,0.0,0.029529663287386043,0.9243113023587121,0.9843363920750997,0.0,0.0,0.0,0.0
2024-01-31,0.0,-0.008680274979929736,0.9243113023587121,0.9757920815191359,0.0,0.0,0.0,0.0
2024-02-01,0.0,-0.007198795461504592,0.9243113023587121,0.9687675539113239,0.0,0.0,0.0,0.0
2024-02-02,0.0,0.011407765254314972,0.9243113023587121,0.9798190267523411,0.0,0.0,0.0,0.0
2024-02-03,0.0,0.0023593544827502644,0.9243113023587121,0.9821307671653933,0.0,0.0,0.0,0.0
2024-02-04,-0.00448939784911806,-0.00448939784911806,0.9201617011859874,0.9777215914117283,1.0,0.0,0.0,0.0
2024-02-05,-0.008783527510306421,-0.008783527510306421,0.91207943556969,0.9691337469161428,1.0,0.0,0.0,0.0
2024-02-06,0.0011525278926629579,0.0011525278926629579,0.9131306325595083,0.9702507005911847,1.0,0.0,0.0,0.0
2024-02-07,0.010301204749794568,0.010301204749794568,0.9225369781688133,0.980245451716606,1.0,0.0,0.0,0.0
2024-02-08,0.026913148181688884,0.026913148181688884,0.947365352565358,1.0066269428130816,1.0,0.0,0.0,0.0
2024-02-09,0.024653547875443715,0.024653547875443715,0.9707212696403646,1.0314438683404354,1.0,0.0,0.0,0.0
2024-02-10,0.03981121807062049,0.03981121807062049,1.009366865791807,1.072506905110541,1.0,0.0,0.0,0.0
2024-02-11,0.013273424153177782,0.013273424153177782,1.0227646203276253,1.0867427441692852,1.0,0.0,0.0,0.0
2024-02-12,0.008810872817781146,0.008810872817781146,1.031776069319858,1.0963178962738072,1.0,0.0,0.0,0.0
2024-02-13,0.03860259108983266,0.03860259108983266,1.0716052990200875,1.1386386077281305,1.0,0.0,0.0,0.0
2024-02-14,-0.006353443763062905,-0.006353443763062905,1.0647969150165633,1.1314043313674775,1.0,0.0,0.0,0.0
2024-02-15,0.0413821666586065,0.0413821666586065,1.1088605184113487,1.1782242939663958,1.0,0.0,0.0,0.0
2024-02-16,0.016705852548497102,0.0032450365736982345,1.1273849787287789,1.1820476748923365,0.0,1.0,0.0,0.0
2024-02-17,-0.006880439025719665,0.004007142228299676,1.1196280751241232,1.186784308046261,0.0,1.0,0.0,0.0
2024-02-18,-0.006700349132211514,-0.009238063200851854,1.1121261761225656,1.1758207196027504,0.0,1.0,0.0,0.0
2024-02-19,0.030977960761949586,0.008783448469965371,1.1465775771688274,1.1861484803032987,0.0,1.0,0.0,0.0
2024-02-20,0.023923171446351255,-0.00717651457630164,1.1740073491239793,1.177636068444744,0.0,1.0,0.0,0.0
2024-02-21,0.02436230080718227,0.010093450640148438,1.2026088693131805,1.1895224799736495,0.0,1.0,0.0,0.0
2024-02-22,-0.012720183027693066,-0.008492334825902725,1.1873114643847897,1.179420656790775,0.0,1.0,0.0,0.0
2024-02-23,0.008476237528962871,-0.010093148458770296,1.197375398377776,1.1675165890064454,0.0,0.0,0.0,1.0
2024-02-24,-0.016087275172604443,-0.009322363424427937,1.1781128908591658,1.1566325750596789,0.0,1.0,0.0,0.0
2024-02-25,0.02119802131556181,0.014004730086935258,1.2030865530317365,1.1728309020831467,0.0,1.0,0.0,0.0
2024-02-26,0.04185998277533942,0.0038559728663969395,1.2534477354188875,1.1773533062184511,0.0,1.0,0.0,0.0
2024-02-27,0.019342676186269392,0.05268034348845019,1.2776927690815079,1.2393766827973016,0.0,1.0,0.0,0.0
2024-02-28,-0.015350226686255297,0.046354983599436794,1.2580798954407175,1.2968279686018949,0.0,0.0,0.0,1.0
2024-02-29,0.042798970445781404,0.09745108074601427,1.3119244197041164,1.4232052556838077,0.0,1.0,0.0,0.0
2024-03-01,-0.039560842362757365,-0.020146958615591126,1.26002358454435,1.3945319982960542,0.0,0.0,0.0,1.0
2024-03-02,0.025110303951166646,0.018408751932330825,1.2916631597378971,1.4202035919143838,0.0,1.0,0.0,0.0
2024-03-03,-0.0028731245156206064,-0.005747125330287872,1.2879520506477302,1.4120415038771268,0.0,1.0,0.0,0.0
2024-03-04,0.019082654314903857,0.01587357013708046,1.3125295944044124,1.434455643725389,0.0,1.0,0.0,0.0
2024-03-05,0.042188723980068454,0.08141614056136337,1.3679035431784115,1.5512434860439763,0.0,1.0,0.0,0.0
2024-03-06,-0.05712422606185763,-0.05712422606185763,1.2897631119470718,1.462629902470216,1.0,0.0,0.0,0.0
2024-03-07,0.02884334113368814,0.02884334113368814,1.3269641893666084,1.5048170356994974,1.0,0.0,0.0,0.0
2024-03-08,0.010343118042190236,0.012078705999432282,1.3406891366149865,1.5229932782566489,0.0,1.0,0.0,0.0
2024-03-09,0.020470207790855177,0.020470207790855177,1.3681333218244374,1.5541692671266383,1.0,0.0,0.0,0.0
2024-03-10,0.002821508175894216,0.002821508175894216,1.3719935211776784,1.5585543684205596,1.0,0.0,0.0,0.0
2024-03-11,0.008286081720485061,0.008286081720485061,1.3833619716141328,1.5714686772831115,1.0,0.0,0.0,0.0
2024-03-12,-0.01154769085214924,0.0442252136475183,1.367387335229313,1.6409672152763402,0.0,0.0,0.0,1.0
2024-03-13,-0.009196928024741036,-0.009196928024741036,1.3548115723252667,1.625875357906484,1.0,0.0,0.0,0.0
2024-03-14,0.16508974511954255,0.022815978913819146,1.5784770694854517,1.6629712957889764,0.0,0.0,0.0,1.0
2024-03-15,-0.04008017463442881,-0.022951935384010747,1.5152114328840334,1.6248028860625632,0.0,0.0,0.0,1.0
2024-03-16,0.030485656053597543,-0.026914978332995387,1.5614036474754147,1.5810713515888009,0.0,0.0,0.0,1.0
2024-03-17,-0.07434744698263207,-0.06051201803370043,1.445317272576248,1.4853975334488922,0.0,0.0,0.0,1.0
2024-03-18,-0.005923109989720121,0.04798577665708992,1.4367564994007365,1.556675487735963,0.0,0.0,0.0,1.0
2024-03-19,-0.031156444992494037,-0.010470846837379089,1.3919922745595492,1.5403757771283773,0.0,0.0,0.0,1.0
2024-03-20,-0.08515784329187237,-0.08235878354195869,1.2734532145791102,1.4135123019265847,0.0,0.0,0.0,1.0
2024-03-21,0.09762286656363184,0.09152274152104778,1.3977713678209946,1.5428808229726327,0.0,0.0,0.0,1.0
2024-03-22,-0.00500560594204158,-0.03366424428309234,1.3907746751566143,1.4909409060483836,0.0,0.0,0.0,1.0
2024-03-23,-0.0069742312980281,-0.030928560635419267,1.3810750908886322,1.4448282498318392,0.0,0.0,0.0,1.0
2024-03-24,0.007826819730876622,0.012230664564644389,1.3918845166598215,1.4624994595090546,0.0,0.0,0.0,1.0
2024-03-25,0.026303299476259312,0.04705829818930973,1.4284956719378932,1.531322195176336,0.0,0.0,0.0,1.0
2024-03-26,0.02703477936075238,0.039042098425960514,1.4671147372465239,1.5911082270422685,0.0,0.0,1.0,0.0
2024-03-27,0.011848294615678379,0.0020461550019010843,1.4844975448884243,1.594363881099597,0.0,0.0,1.0,0.0
