timestamp,open,high,low,close,volume
2024-07-01 00:00:00+00:00,2388.8641316,2399.99464626,2367.73372655,2393.87682418,0
2024-07-02 00:00:00+00:00,2393.8957246,2396.51449619,2350.01171892,2355.69881587,0
2024-07-03 00:00:00+00:00,2355.69889735,2392.68904294,2347.88779211,2385.41998227,0
2024-07-04 00:00:00+00:00,2385.41997203,2455.79319123,2375.70334924,2448.02529635,0
2024-07-05 00:00:00+00:00,2448.01239508,2537.75383362,2443.85532065,2472.15533052,0
2024-07-06 00:00:00+00:00,2472.14277816,2473.58683069,2425.13799122,2439.8747219,0
2024-07-07 00:00:00+00:00,2439.86921373,2491.69817075,2438.95732752,2475.79929379,0
2024-07-08 00:00:00+00:00,2475.79939886,2502.00842922,2415.21480142,2426.47606701,0
2024-07-09 00:00:00+00:00,2426.49438961,2449.96560584,2411.26858326,2448.81162426,0
2024-07-10 00:00:00+00:00,2448.80627815,2464.22926952,2391.5901104,2408.9222765,0
2024-07-11 00:00:00+00:00,2408.91277543,2421.58917792,2378.78236641,2403.51294745,0
2024-07-12 00:00:00+00:00,2403.5096539,2411.71133375,2383.68011713,2384.55190802,0
2024-07-13 00:00:00+00:00,2384.54515938,2400.85614255,2368.5903153,2394.27231956,0
2024-07-14 00:00:00+00:00,2394.24469225,2422.74237956,2392.75408282,2408.14956304,0
2024-07-15 00:00:00+00:00,2408.19910118,2430.09745256,2387.19020617,2401.3425189,0
2024-07-16 00:00:00+00:00,2401.3163991,2433.4941908,2390.6294543,2430.58327147,0
2024-07-17 00:00:00+00:00,2430.56145958,2437.94892547,2403.6021418,2428.98283852,0
2024-07-18 00:00:00+00:00,2429.02186326,2435.57274481,2405.97233225,2415.07859669,0
2024-07-19 00:00:00+00:00,2414.94471239,2460.95198716,2410.65547759,2445.7315347,0
2024-07-20 00:00:00+00:00,2445.71748719,2455.6984057,2435.97310743,2441.62776785,0
2024-07-21 00:00:00+00:00,2441.6299926,2467.27844375,2438.62489859,2443.8286687,0
2024-07-22 00:00:00+00:00,2443.76021028,2491.6731747,2439.03886245,2488.71154219,0
2024-07-23 00:00:00+00:00,2488.70443212,2489.03234194,2421.31700208,2432.06977807,0
2024-07-24 00:00:00+00:00,2432.05441491,2490.83226971,2431.52169966,2473.21557039,0
2024-07-25 00:00:00+00:00,2473.21456315,2599.92793498,2472.84241081,2581.93140489,0
