timestamp,btcdom_recon,n_constituents_used,weights_renormalized_flag,excluded_components
2024-07-01,5668.013327668658,19,True,SKY
2024-07-02,5669.982691884742,19,True,SKY
2024-07-03,5546.583204774676,19,True,SKY
2024-07-04,5580.0847772245,19,True,SKY
2024-07-05,5709.820262658431,19,True,SKY
2024-07-06,5761.861241524,19,True,SKY
2024-07-07,5631.757101218215,19,True,SKY
2024-07-08,5757.052350226847,19,True,SKY
2024-07-09,5633.335433667251,19,True,SKY
2024-07-10,5654.3127750204985,19,True,SKY
2024-07-11,5564.438041614559,19,True,SKY
2024-07-12,5471.476324725256,19,True,SKY
2024-07-13,5357.242610211491,19,True,SKY
2024-07-14,5199.479135212954,19,True,SKY
2024-07-15,5279.339645809845,19,True,SKY
2024-07-16,5385.497320582014,19,True,SKY
2024-07-17,5299.667765500277,19,True,SKY
2024-07-18,5120.290101452881,19,True,SKY
2024-07-19,5261.570018099569,19,True,SKY
2024-07-20,5387.391243551931,19,True,SKY
2024-07-21,5344.698912799069,19,True,SKY
2024-07-22,5346.596953375984,19,True,SKY
2024-07-23,5375.9485832041155,19,True,SKY
2024-07-24,5291.225587529914,19,True,SKY
2024-07-25,5256.141638743088,19,True,SKY
2024-07-26,5418.23541497284,19,True,SKY
2024-07-27,5457.699599355124,19,True,SKY
2024-07-28,5498.697242396674,19,True,SKY
2024-07-29,5483.998201748226,19,True,SKY
2024-07-30,5359.774652331964,19,True,SKY
2024-07-31,5278.507285073962,19,True,SKY
2024-08-01,5220.871340259067,19,True,SKY
2024-08-02,5385.413897203161,19,True,SKY
2024-08-03,5378.212157712459,19,True,SKY
2024-08-04,5413.363876084474,19,True,SKY
2024-08-05,5486.354864298903,19,True,SKY
2024-08-06,5479.878635485743,19,True,SKY
2024-08-07,5507.6031015355975,19,True,SKY
2024-08-08,5215.0754157262345,19,True,SKY
2024-08-09,5396.891720989518,19,True,SKY
2024-08-10,5464.861515898013,19,True,SKY
2024-08-11,5417.169298310159,19,True,SKY
2024-08-12,5438.966321019474,19,True,SKY
2024-08-13,5282.532028575705,19,True,SKY
2024-08-14,5371.371194043692,19,True,SKY
2024-08-15,5264.337779557646,19,True,SKY
2024-08-16,5255.465443285871,19,True,SKY
2024-08-17,5342.189277945721,19,True,SKY
2024-08-18,5321.54032434056,19,True,SKY
2024-08-19,5265.204742118077,19,True,SKY
2024-08-20,5173.508069017015,19,True,SKY
2024-08-21,5126.389639059086,19,True,SKY
2024-08-22,5253.499818379574,19,True,SKY
2024-08-23,5175.53017901377,19,True,SKY
2024-08-24,5304.358018867283,19,True,SKY
2024-08-25,5293.868754480956,19,True,SKY
2024-08-26,5380.180976245949,19,True,SKY
2024-08-27,5422.794893239085,19,True,SKY
2024-08-28,5404.020585868716,19,True,SKY
2024-08-29,5324.488445199973,19,True,SKY
2024-08-30,5382.375733050307,19,True,SKY
2024-08-31,5346.1341305372025,19,True,SKY
2024-09-01,5367.440727939326,19,True,SKY
2024-09-02,5416.85883706191,19,True,SKY
2024-09-03,5409.492063316563,19,True,SKY
2024-09-04,5409.096473398175,19,True,SKY
2024-09-05,5435.814355200837,19,True,SKY
2024-09-06,5383.3899312756985,19,True,SKY
2024-09-07,5409.088591638832,19,True,SKY
2024-09-08,5341.574475623339,19,True,SKY
2024-09-09,5345.06510063798,19,True,SKY
2024-09-10,5409.092268811526,19,True,SKY
2024-09-11,5429.451813653332,19,True,SKY
2024-09-12,5449.950878791232,19,True,SKY
2024-09-13,5395.718710732001,19,True,SKY
2024-09-14,5500.35437623469,19,True,SKY
2024-09-15,5415.356417868779,19,True,SKY
2024-09-16,5513.406539665678,19,True,SKY
2024-09-17,5439.456951126118,19,True,SKY
2024-09-18,5569.492944349541,19,True,SKY
2024-09-19,5614.745212931869,19,True,SKY
2024-09-20,5619.772506172481,19,True,SKY
2024-09-21,5569.380328625235,19,True,SKY
2024-09-22,5470.018252247085,19,True,SKY
2024-09-23,5563.7729317880285,19,True,SKY
2024-09-24,5497.686379175483,20,False,
2024-09-25,5538.857493277204,20,False,
2024-09-26,5553.956752222896,20,False,
2024-09-27,5601.129998842428,20,False,
2024-09-28,5580.850069431002,20,False,
2024-09-29,5546.446809157193,20,False,
2024-09-30,5471.205835806912,20,False,
2024-10-01,5476.55406433077,20,False,
2024-10-02,5489.106147912223,20,False,
2024-10-03,5737.247243762204,20,False,
2024-10-04,5815.953830786334,20,False,
2024-10-05,5792.251270736188,20,False,
2024-10-06,5804.810990114724,20,False,
2024-10-07,5800.01430037995,20,False,
2024-10-08,5790.1991326558755,20,False,
2024-10-09,5741.679269716468,20,False,
2024-10-10,5692.762689149046,20,False,
2024-10-11,5607.989397407684,20,False,
2024-10-12,5684.541563990546,20,False,
2024-10-13,5716.549517114585,20,False,
2024-10-14,5722.170990441599,20,False,
2024-10-15,5779.682487087404,20,False,
2024-10-16,5896.729972495601,20,False,
2024-10-17,5908.31714879918,20,False,
2024-10-18,5930.77871073201,20,False,
2024-10-19,5965.561563399053,20,False,
2024-10-20,5948.147165581595,20,False,
2024-10-21,5906.567478080877,20,False,
2024-10-22,5837.329298769052,20,False,
2024-10-23,5906.1711412056875,20,False,
2024-10-24,5956.83377252338,20,False,
2024-10-25,6025.274031885919,20,False,
2024-10-26,6182.536150125675,20,False,
2024-10-27,6100.928194948839,20,False,
2024-10-28,6106.222046964381,20,False,
2024-10-29,6183.238904752327,20,False,
2024-10-30,6307.2422573131635,20,False,
2024-10-31,6303.521914981493,20,False,
2024-11-01,6351.3137623639905,20,False,
2024-11-02,6270.282584207884,20,False,
2024-11-03,6306.631290073298,20,False,
2024-11-04,6356.034149929215,20,False,
2024-11-05,6342.522485666374,20,False,
2024-11-06,6364.586784717465,20,False,
2024-11-07,6417.456313775203,20,False,
2024-11-08,6256.80779843993,20,False,
2024-11-09,6232.433078886653,20,False,
2024-11-10,6071.465214454436,20,False,
2024-11-11,6141.064388658759,20,False,
2024-11-12,6449.576008005301,20,False,
2024-11-13,6181.943790477094,20,False,
2024-11-14,6524.241637012122,20,False,
2024-11-15,6191.873819744585,20,False,
2024-11-16,6077.920473741317,20,False,
2024-11-17,5566.759874476358,20,False,
2024-11-18,5646.100804330529,20,False,
2024-11-19,5477.6753906953545,20,False,
2024-11-20,5692.515108346673,20,False,
2024-11-21,5869.292681416011,20,False,
2024-11-22,5703.641306877709,20,False,
2024-11-23,5481.13934487956,20,False,
2024-11-24,5280.109854036642,20,False,
2024-11-25,5309.947746413664,20,False,
2024-11-26,5153.412576641413,20,False,
2024-11-27,5184.354163830035,20,False,
2024-11-28,5056.441767078635,20,False,
2024-11-29,5029.020424988523,20,False,
2024-11-30,4934.2351877291585,20,False,
2024-12-01,4762.000719672866,20,False,
2024-12-02,4658.068837302452,20,False,
2024-12-03,4445.8381633170275,20,False,
2024-12-04,4157.703392240675,20,False,
2024-12-05,4313.591731658184,20,False,
