decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth
2024-04-15,2024-04-22,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,TAO,UNI,VET,WIF,XLM,XMR,XRP","STETH,XRP,ADA,BCH,DOT,LINK,NEAR,ICP,LTC,UNI,APT,STX,ETC,TAO,RENDER,FIL,ATOM,XLM,ARB,VET,IMX,WIF,HBAR,KAS,GRT,INJ,OP,FET,PEPE,XMR",27,90.0,0.007226722222222222,Yellow,,60.416666666666664,,0.028506965326409353,-0.009691586526229234,0.03819855185263859,-0.012413783562944425,-0.003339793440560457
2024-04-22,2024-04-29,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,TAO,THETA,UNI,VET,WIF,XLM,XRP","STETH,XRP,ADA,BCH,DOT,LINK,ICP,NEAR,LTC,UNI,APT,STX,ETC,FIL,RENDER,ATOM,XLM,IMX,HBAR,ARB,TAO,VET,WIF,KAS,GRT,OP,INJ,FET,PEPE,THETA",27,90.0,0.002606936507936508,Orange,,22.916666666666664,,-0.03177353962077599,-0.009834889155540903,-0.021938650465235087,-0.029351589106383247,0.03570407739642456
2024-04-29,2024-05-06,"ADA,APT,AR,ARB,ATOM,BCH,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,TAO,UNI,VET,WIF,XLM,XMR,XRP","STETH,XRP,ADA,BCH,DOT,LINK,NEAR,ICP,LTC,UNI,ETC,APT,HBAR,STX,XLM,FIL,ATOM,RENDER,IMX,PEPE,ARB,VET,TAO,OP,KAS,WIF,GRT,AR,INJ,XMR",27,90.0,0.0014131587301587306,Red,,14.583333333333334,,0.04249353814141081,-0.00043523141540704503,0.042928769556817854,0.015541302498160325,-0.03771381054706424
2024-05-06,2024-05-13,"ADA,APT,AR,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,SUI,TAO,UNI,VET,WIF,XLM,XRP","STETH,XRP,ADA,DOT,BCH,LINK,NEAR,LTC,ICP,FET,UNI,ETC,APT,HBAR,RENDER,ATOM,PEPE,FIL,STX,IMX,WIF,XLM,EZETH,TAO,OP,ARB,GRT,VET,AR,SUI",26,86.66666666666667,0.000993445054945055,Red,,10.416666666666668,,-0.06170551159915181,-0.047004452404010036,-0.014701059195141773,-0.03910255131492013,-0.06544222161188651
2024-05-13,2024-05-20,"ADA,APT,AR,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,TAO,UNI,VET,WIF,XLM,XRP","XRP,STETH,ADA,DOT,BCH,LINK,NEAR,LTC,FET,ICP,UNI,RENDER,ETC,HBAR,PEPE,APT,ATOM,IMX,FIL,XLM,WIF,STX,KAS,EZETH,AR,ARB,OP,GRT,VET,TAO",26,86.66666666666667,0.005338445054945055,Yellow,,41.66666666666667,,0.029665075021798753,0.0683389004144394,-0.03867382539264064,0.07715633058082738,0.04776489669286743
2024-05-20,2024-05-27,"ADA,APT,AR,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,TAO,UNI,VET,WIF,XLM,XRP","STETH,XRP,ADA,LINK,BCH,DOT,NEAR,LTC,ICP,UNI,FET,ETC,HBAR,RENDER,PEPE,APT,IMX,ATOM,AR,FIL,XLM,EZETH,KAS,GRT,STX,OP,ARB,WIF,VET,TAO",26,86.66666666666667,0.006438923076923077,Yellow,,50.0,,0.09531519016942293,0.09748172826704467,-0.0021665380976217397,0.034053224757772727,0.2454815697886792
2024-05-27,2024-06-03,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,TAO,UNI,VET,WIF,XLM,XMR,XRP","STETH,XRP,ADA,DOT,LINK,BCH,NEAR,UNI,PEPE,LTC,FET,ICP,ETC,APT,RENDER,HBAR,EZETH,IMX,KAS,ATOM,FIL,ARB,XLM,GRT,TAO,WIF,STX,OP,XMR,VET",26,86.66666666666667,0.009319873626373626,YellowGreen,,68.75,,-0.03757620990526827,-0.01135059923584195,-0.02622561066942632,-0.011222118288834126,-0.011650388112193544
2024-06-03,2024-06-10,"ADA,APT,AR,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,TAO,UNI,WIF,XLM,XMR,XRP","STETH,XRP,ADA,LINK,DOT,BCH,NEAR,UNI,LTC,PEPE,ICP,FET,ETC,APT,RENDER,EZETH,HBAR,KAS,FIL,ATOM,ARB,IMX,WIF,XLM,AR,GRT,XMR,STX,TAO,OP",26,86.66666666666667,0.011879159340659341,YellowGreen,,75.0,,-0.03515984866265043,0.013843696373294256,-0.04900354503594469,0.028257209296857377,-0.01978783378168636
2024-06-10,2024-06-17,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,FLOKI,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,PEPE,RENDER,STETH,STX,SUI,UNI,WIF,XLM,XMR,XRP","STETH,XRP,ADA,LINK,BCH,DOT,UNI,NEAR,LTC,PEPE,ICP,FET,KAS,ETC,APT,EZETH,RENDER,FIL,STX,HBAR,XMR,ATOM,IMX,XLM,ARB,WIF,FLOKI,INJ,SUI,GRT",25,83.33333333333334,0.011717725714285714,YellowGreen,,72.91666666666666,,-0.07237291584220754,-0.037611594353788434,-0.0347613214884191,-0.043624427946706845,-0.02358164930364548
2024-06-17,2024-06-24,"ADA,APT,ARB,ATOM,BCH,DOT,ETC,EZETH,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,PEPE,RENDER,STETH,STX,SUI,UNI,WIF,XLM,XMR,XRP","STETH,XRP,ADA,LINK,UNI,DOT,BCH,NEAR,LTC,PEPE,ICP,KAS,ETC,FET,EZETH,APT,XMR,RENDER,HBAR,FIL,XLM,ATOM,STX,ARB,WIF,IMX,INJ,SUI,OP,GRT",26,86.66666666666667,0.007451692307692308,YellowGreen,,62.5,,-0.12244228679660353,-0.05230665464234953,-0.070135632154254,-0.05095178314175097,-0.05546802147707952
