date,reconstructed_index_value,daily_divisor
2024-07-04,2448.025296350000000000000000,0.0004084925108784609639068609782
2024-07-05,2510.098921929527565591963801,0.0004084925108784609639068609782
2024-07-06,2536.089738680577925938369028,0.0004084925108784609639068609782
2024-07-07,2500.671293963363301779012605,0.0004084925108784609639068609782
2024-07-08,2542.034589162069787510679685,0.0004084925108784609639068609782
2024-07-09,2490.007761700321901748372533,0.0004084925108784609639068609782
2024-07-10,2511.768252679518601421284357,0.0004084925108784609639068609782
2024-07-11,2511.768252679518601421284357,0.0003981259015170743722783265876
2024-07-12,2505.610688236775461233212340,0.0003981259015170743722783265876
2024-07-13,2487.734079896896034727122107,0.0003981259015170743722783265876
2024-07-14,2500.343681659146773680222912,0.0003981259015170743722783265876
2024-07-15,2514.710656879088399081471849,0.0003981259015170743722783265876
2024-07-16,2502.357986324401219048998259,0.0003981259015170743722783265876
2024-07-17,2533.626170667086682061389918,0.0003981259015170743722783265876
2024-07-18,2533.626170667086682061389918,0.0003946912182931496735961071240
2024-07-19,2520.198632244626577265059654,0.0003946912182931496735961071240
2024-07-20,2551.880809140062597090567925,0.0003946912182931496735961071240
2024-07-21,2549.006817108796968572857705,0.0003946912182931496735961071240
2024-07-22,2552.637332632348392355901997,0.0003946912182931496735961071240
2024-07-23,2598.644522436991440204628210,0.0003946912182931496735961071240
2024-07-24,2540.265113129701900390873591,0.0003946912182931496735961071240
2024-07-25,2540.265113129701900390873591,0.0003936596990728902668368640914
2024-07-26,2650.220423537547204814518917,0.0003936596990728902668368640914
2024-07-27,2645.173494621184130013556649,0.0003936596990728902668368640914
2024-07-28,2659.252464965485485894275117,0.0003936596990728902668368640914
2024-07-29,2660.735888259635597318733162,0.0003936596990728902668368640914
2024-07-30,2593.887142075293751202648608,0.0003936596990728902668368640914
2024-07-31,2593.265888999858071587934152,0.0003936596990728902668368640914
2024-08-01,2593.265888999858071587934152,0.0003856141417051796687565971184
2024-08-02,2650.176313967524410916932434,0.0003856141417051796687565971184
2024-08-03,2675.878610123316457360579997,0.0003856141417051796687565971184
2024-08-04,2723.976997309501956958434626,0.0003856141417051796687565971184
2024-08-05,2786.003904482325218815717273,0.0003856141417051796687565971184
2024-08-06,2835.344090178927711571818779,0.0003856141417051796687565971184
2024-08-07,2845.952716193820486391224412,0.0003856141417051796687565971184
2024-08-08,2845.952716193820486391224412,0.0003513761821515435527246814464
2024-08-09,2858.236020406057341914002952,0.0003513761821515435527246814464
2024-08-10,2900.418063386526717661544364,0.0003513761821515435527246814464
2024-08-11,2888.768654886164601750905186,0.0003513761821515435527246814464
2024-08-12,2894.410653560267357982609173,0.0003513761821515435527246814464
2024-08-13,2784.530494359519537032286140,0.0003513761821515435527246814464
2024-08-14,2845.488494771177910091053009,0.0003513761821515435527246814464
2024-08-15,2845.488494771177910091053009,0.0003514335067028326710798288090
2024-08-16,2862.368761321171410267247935,0.0003514335067028326710798288090
2024-08-17,2917.046685881715028570579052,0.0003514335067028326710798288090
2024-08-18,2903.934091790732501605986550,0.0003514335067028326710798288090
2024-08-19,2867.678659827994115305269058,0.0003514335067028326710798288090
2024-08-20,2863.342982046629200178051081,0.0003514335067028326710798288090
2024-08-21,2871.748089965856900563338961,0.0003514335067028326710798288090
2024-08-22,2871.748089965856900563338961,0.0003482199582526367445622466600
2024-08-23,2826.299441069685457159746153,0.0003482199582526367445622466600
2024-08-24,2865.070240863387271707483483,0.0003482199582526367445622466600
2024-08-25,2854.374215811014215976307042,0.0003482199582526367445622466600
2024-08-26,2891.809973649407602598511593,0.0003482199582526367445622466600
2024-08-27,2907.632477988859858156414343,0.0003482199582526367445622466600
2024-08-28,2942.768206436428196679008207,0.0003482199582526367445622466600
2024-08-29,2942.768206436428196679008207,0.0003398160948636043115236016611
2024-08-30,2970.028082406352967185619202,0.0003398160948636043115236016611
2024-08-31,2960.492797864398488902457827,0.0003398160948636043115236016611
2024-09-01,2975.133851057529971989379107,0.0003398160948636043115236016611
2024-09-02,3001.757234056659963681319747,0.0003398160948636043115236016611
2024-09-03,2979.531091255672711323542856,0.0003398160948636043115236016611
2024-09-04,3005.401007068198073998004888,0.0003398160948636043115236016611
2024-09-05,3005.401007068198073998004888,0.0003327342998981394037956653745
2024-09-06,2989.516234153837764865149978,0.0003327342998981394037956653745
2024-09-07,3017.500187154988593523594003,0.0003327342998981394037956653745
2024-09-08,2970.744550169747399054324992,0.0003327342998981394037956653745
2024-09-09,2966.347705150654405511589697,0.0003327342998981394037956653745
2024-09-10,2996.320698643677438784642300,0.0003327342998981394037956653745
2024-09-11,3000.924874178560444513622487,0.0003327342998981394037956653745
2024-09-12,3000.924874178560444513622487,0.0003332306012071457793258007376
2024-09-13,2993.262852271439736620868965,0.0003332306012071457793258007376
2024-09-14,3037.494235811951873472551538,0.0003332306012071457793258007376
2024-09-15,3030.891860051014645492196918,0.0003332306012071457793258007376
2024-09-16,3088.752305068853224664630152,0.0003332306012071457793258007376
2024-09-17,3079.538121044262400697803268,0.0003332306012071457793258007376
2024-09-18,3139.701724292559919489227962,0.0003332306012071457793258007376
2024-09-19,3139.701724292559919489227962,0.0003185015927668481923803727610
2024-09-20,3108.879602984362615289139231,0.0003185015927668481923803727610
2024-09-21,3044.796026150016741132842039,0.0003185015927668481923803727610
2024-09-22,2987.047632903794502937293641,0.0003185015927668481923803727610
2024-09-23,3037.576556902084621844461145,0.0003185015927668481923803727610
2024-09-24,2968.469597290060481447006961,0.0003185015927668481923803727610
2024-09-25,2976.119468820426859164560059,0.0003185015927668481923803727610
2024-09-26,2976.119468820426859164560059,0.0003360080166393138886770302432
2024-09-27,2993.696846127540922780390337,0.0003360080166393138886770302432
2024-09-28,2960.397775804724648504522870,0.0003360080166393138886770302432
2024-09-29,2977.117787991391658993799371,0.0003360080166393138886770302432
2024-09-30,2974.011011873052789814426476,0.0003360080166393138886770302432
2024-10-01,2963.367995995448184293514299,0.0003360080166393138886770302432
2024-10-02,2999.261738229958744508650320,0.0003360080166393138886770302432
2024-10-03,2999.261738229958744508650320,0.0003334153826101749233914619065
2024-10-04,3029.390098177556092087739185,0.0003334153826101749233914619065
2024-10-05,3003.749851674692493837702131,0.0003334153826101749233914619065
2024-10-06,3005.335694229402292789909033,0.0003334153826101749233914619065
2024-10-07,2997.803361586362987136973589,0.0003334153826101749233914619065
2024-10-08,2995.293623135924440163338938,0.0003334153826101749233914619065
2024-10-09,2972.288454678044627651720489,0.0003334153826101749233914619065
2024-10-10,2972.288454678044627651720489,0.0003364411009389460552630190358
2024-10-11,2951.254775836064472542982142,0.0003364411009389460552630190358
2024-10-12,2979.710615775328594960988180,0.0003364411009389460552630190358
2024-10-13,2974.375521157865926452214743,0.0003364411009389460552630190358
2024-10-14,2973.375020877548004444463043,0.0003364411009389460552630190358
2024-10-15,2968.497323903724297095959672,0.0003364411009389460552630190358
2024-10-16,3035.262460665214229929327476,0.0003364411009389460552630190358
2024-10-17,3035.262460665214229929327476,0.0003294608004939506902831450030
2024-10-18,3048.818284073395479582469954,0.0003294608004939506902831450030
2024-10-19,3043.913455150548648402319332,0.0003294608004939506902831450030
2024-10-20,3026.967863768935371473957920,0.0003294608004939506902831450030
2024-10-21,2969.848890275294542456732844,0.0003294608004939506902831450030
2024-10-22,2958.831045866056434546181439,0.0003294608004939506902831450030
2024-10-23,2992.494677015531523483635861,0.0003294608004939506902831450030
2024-10-24,2992.494677015531523483635861,0.0003341693496335030710227244705
2024-10-25,3023.291247865283026003807566,0.0003341693496335030710227244705
2024-10-26,3115.902734842058299426669436,0.0003341693496335030710227244705
2024-10-27,3060.747268081543203825553926,0.0003341693496335030710227244705
2024-10-28,3059.475999669424951903250947,0.0003341693496335030710227244705
2024-10-29,3081.179490793423120541180568,0.0003341693496335030710227244705
2024-10-30,3127.321965575820341177954034,0.0003341693496335030710227244705
2024-10-31,3127.321965575820341177954034,0.0003197624072633257962468050049
2024-11-01,3181.501605877462389381174715,0.0003197624072633257962468050049
2024-11-02,3158.155885844113134778459377,0.0003197624072633257962468050049
2024-11-03,3177.265102823259085854661660,0.0003197624072633257962468050049
2024-11-04,3213.418224551745183471499271,0.0003197624072633257962468050049
2024-11-05,3232.440519413164508813893572,0.0003197624072633257962468050049
2024-11-06,3226.917952719076757048816312,0.0003197624072633257962468050049
2024-11-07,3226.917952719076757048816312,0.0003098932215358548376338101266
2024-11-08,3111.346002416903155806291852,0.0003098932215358548376338101266
2024-11-09,3075.211606664080684033095950,0.0003098932215358548376338101266
2024-11-10,2946.576999600275394677232971,0.0003098932215358548376338101266
2024-11-11,2979.142266891569506000812969,0.0003098932215358548376338101266
2024-11-12,3092.761627031932341080848842,0.0003098932215358548376338101266
2024-11-13,3157.324491003835715376547658,0.0003098932215358548376338101266
2024-11-14,3157.324491003835715376547658,0.0003167238599799608425550819751
2024-11-15,3142.538992715716795209735708,0.0003167238599799608425550819751
2024-11-16,3165.140826121329931493060524,0.0003167238599799608425550819751
2024-11-17,3117.095081273171048732281972,0.0003167238599799608425550819751
2024-11-18,3099.963427860792532455470391,0.0003167238599799608425550819751
2024-11-19,3034.618564581173044147146072,0.0003167238599799608425550819751
2024-11-20,3136.803323795014900301991977,0.0003167238599799608425550819751
2024-11-21,3136.803323795014900301991977,0.0003187958876523265271870539238
2024-11-22,3055.709163879152169895797377,0.0003187958876523265271870539238
2024-11-23,2992.084916898916646773865372,0.0003187958876523265271870539238
2024-11-24,2889.479819826676574396667781,0.0003187958876523265271870539238
2024-11-25,2913.637509692779312261693089,0.0003187958876523265271870539238
2024-11-26,2837.586062227116648600749978,0.0003187958876523265271870539238
2024-11-27,2860.910005119632679544703149,0.0003187958876523265271870539238
2024-11-28,2860.910005119632679544703149,0.0003495391320280917739073549124
2024-11-29,2874.509677067366732359740299,0.0003495391320280917739073549124
2024-11-30,2845.662426631441817985536019,0.0003495391320280917739073549124
2024-12-01,2773.198637824531045934167993,0.0003495391320280917739073549124
2024-12-02,2754.700550601456037047536032,0.0003495391320280917739073549124
2024-12-03,2746.311659299711663787942264,0.0003495391320280917739073549124
2024-12-04,2697.987078568332023234408335,0.0003495391320280917739073549124
2024-12-05,2697.987078568332023234408335,0.0003706466972890926546626472318
2024-12-06,2678.240683730979085729941635,0.0003706466972890926546626472318
2024-12-07,2633.099531185198020503986505,0.0003706466972890926546626472318
2024-12-08,2599.529719673877430466118636,0.0003706466972890926546626472318
2024-12-09,2627.885595940669368602422402,0.0003706466972890926546626472318
2024-12-10,2819.040397303017050793770546,0.0003706466972890926546626472318
2024-12-11,2827.695045521242238326449143,0.0003706466972890926546626472318
2024-12-12,2827.695045521242238326449143,0.0003536449241879494569554921046
2024-12-13,2780.360201990132302663822968,0.0003536449241879494569554921046
2024-12-14,2787.826508246571947707132012,0.0003536449241879494569554921046
2024-12-15,2839.053431116229066426437093,0.0003536449241879494569554921046
2024-12-16,2865.095522609986773621227310,0.0003536449241879494569554921046
2024-12-17,2911.014384326210714896858613,0.0003536449241879494569554921046
2024-12-18,2947.216091481924792310946628,0.0003536449241879494569554921046
2024-12-19,2947.216091481924792310946628,0.0003393032505794911362792398832
2024-12-20,3030.481388572192144717783711,0.0003393032505794911362792398832
2024-12-21,2990.231832987867839680324254,0.0003393032505794911362792398832
2024-12-22,3081.093402069108900849544880,0.0003393032505794911362792398832
2024-12-23,3061.032720181579675850680611,0.0003393032505794911362792398832
2024-12-24,2913.087399561692467334748553,0.0003393032505794911362792398832
2024-12-25,2954.805376228833783882145436,0.0003393032505794911362792398832
2024-12-26,2954.805376228833783882145436,0.0003384317654370462938162482925
2024-12-27,2990.635978919262201921089272,0.0003384317654370462938162482925
2024-12-28,2957.592735070285921214154046,0.0003384317654370462938162482925
