asset,system,exposure,model,window,dSharpe,dSharpe_lo,dSharpe_hi,P(dSharpe>0),dCAGR,dCAGR_lo,dCAGR_hi
BTC,GERHARD_SMA120,long_flat,M1_1close,walk_forward_oos,0.23229491009006065,0.048305477947276305,0.4836750665184801,0.9965,0.15788542419713947,0.03446734776238909,0.2951899224435304
BTC,GERHARD_SMA120,long_flat,M2_2close,walk_forward_oos,0.13240581707325072,0.02627802053904397,0.26420076627420785,0.994,0.08865001411254236,0.020195474117493277,0.15891881874186226
BTC,GERHARD_SMA120,long_flat,M3_linear,walk_forward_oos,0.12998589035958052,0.03306503548511899,0.26028563123872617,0.9985,0.0837268618915239,0.02148898413644106,0.14929573297239787
BTC,GERHARD_SMA120,long_flat,M4_strength,walk_forward_oos,0.15157066526781482,0.03768399003612951,0.30518549226941766,0.9975,0.10418929394450593,0.027759900040399882,0.1943228287505843
BTC,GERHARD_SMA120,long_flat,M5_override,walk_forward_oos,0.21365711490496042,0.042837928214416066,0.43783016984004647,0.9965,0.14398901404355047,0.028644435009021037,0.28051159209796034
BTC,GERHARD_SMA120,long_flat,M6_probability,walk_forward_oos,0.0746265108064812,0.006100410751664255,0.16724335628856624,0.9855,0.049940298323589705,0.004022147825225364,0.11383812403854748
BTC,GERHARD_SMA120,long_flat,M1_1close,test_2024+,0.45210554134244724,0.0829872339383848,0.923378449409485,0.9935,0.18244854027960744,0.033445061891872865,0.34231691805375625
BTC,GERHARD_SMA120,long_flat,M2_2close,test_2024+,0.2107870587500405,-0.018455441702733957,0.4896006760716783,0.962,0.08248434650865022,-0.009941530940291207,0.17038772264515467
BTC,GERHARD_SMA120,long_flat,M3_linear,test_2024+,0.23150898821349147,0.03943890412418528,0.4574385742622924,0.992,0.08928574747746776,0.014772551509238497,0.16843845176471411
BTC,GERHARD_SMA120,long_short,M1_1close,walk_forward_oos,0.31771994075112975,0.06596065366786175,0.6259096696099402,0.9955,0.2514175713233866,0.05661514724709491,0.4694477318282064
BTC,GERHARD_SMA120,long_short,M2_2close,walk_forward_oos,0.18213185764784934,0.03832840038439922,0.34972306091138516,0.994,0.13815651249739114,0.03202217600272665,0.2516628646354653
BTC,GERHARD_SMA120,long_short,M3_linear,walk_forward_oos,0.1776472692802714,0.04673396481057206,0.33804582881459855,0.998,0.1334625978050843,0.037062038195921874,0.23421719857808426
BTC,GERHARD_SMA120,long_short,M4_strength,walk_forward_oos,0.21913235942976306,0.05306809639646178,0.42336128369404763,0.9975,0.16748880698513924,0.04482335470904777,0.3202773242703062
BTC,GERHARD_SMA120,long_short,M5_override,walk_forward_oos,0.2904082041981968,0.057246283328553915,0.5824771939066627,0.994,0.2278068828593387,0.04597486642388914,0.4385713265778046
BTC,GERHARD_SMA120,long_short,M6_probability,walk_forward_oos,0.1068351857987555,0.008507467954449208,0.2415823092212047,0.9855,0.0789354863884526,0.005740959771660043,0.18435487204709278
BTC,GERHARD_SMA120,long_short,M1_1close,test_2024+,0.6423671285453469,0.10710748207913327,1.2199656595867672,0.993,0.2955735386602384,0.05891883030807329,0.5527210699820069
BTC,GERHARD_SMA120,long_short,M2_2close,test_2024+,0.30252997506535567,-0.03988479570361665,0.6343414276777081,0.959,0.1281168813604614,-0.02014852956498721,0.25414512645996407
BTC,GERHARD_SMA120,long_short,M3_linear,test_2024+,0.3251556991511778,0.04871387995530396,0.6026707381829483,0.9905,0.14149246514903846,0.025518112459117538,0.25289834064486466
BTC,LL3_k0.30,long_flat,M1_1close,walk_forward_oos,0.11624527902335546,-0.01846232107394272,0.27060129080631307,0.959,0.07538670200369535,-0.010732379337009866,0.184716479077873
BTC,LL3_k0.30,long_flat,M2_2close,walk_forward_oos,0.03357126652033293,-0.049426635619775124,0.1253062949838547,0.781,0.022521254566084004,-0.028086134109097688,0.08164783170384297
BTC,LL3_k0.30,long_flat,M3_linear,walk_forward_oos,0.05530910893488472,-0.01268305417339593,0.13392964296927762,0.9495,0.0334702337005508,-0.007426652796867483,0.08423740738744549
BTC,LL3_k0.30,long_flat,M4_strength,walk_forward_oos,0.05236188814770415,-0.052992914657575156,0.17652585305689442,0.832,0.0330593570192228,-0.032004777033527644,0.11755163434709563
BTC,LL3_k0.30,long_flat,M5_override,walk_forward_oos,0.05922401200113159,-0.005941606265879929,0.14630869867732435,0.9585,0.03489126608255777,-0.0036210889775700416,0.08633700122096519
BTC,LL3_k0.30,long_flat,M6_probability,walk_forward_oos,0.017161985087562615,-0.0734395824276488,0.1233238705357758,0.6405,0.012075069381669579,-0.04369751890409458,0.08706850955477473
BTC,LL3_k0.30,long_flat,M1_1close,test_2024+,0.04060172851451871,-0.22590234989890465,0.2456044578562998,0.669,0.014185285200712494,-0.08043690251734532,0.09538714919942352
BTC,LL3_k0.30,long_flat,M2_2close,test_2024+,0.05686897529122559,-0.022607400307819426,0.165999452483539,0.9115,0.022232696725353218,-0.009306155441182112,0.05874964541208042
BTC,LL3_k0.30,long_flat,M3_linear,test_2024+,0.03568977254877026,-0.0725741182204835,0.12719885106408488,0.7815,0.012523895055641443,-0.025865299823173187,0.049661932960338405
BTC,LL3_k0.30,long_short,M1_1close,walk_forward_oos,0.18851795466276322,0.043760033424540844,0.37201058730237296,0.994,0.11921999125335803,0.027759886360485476,0.23388614791282197
BTC,LL3_k0.30,long_short,M2_2close,walk_forward_oos,0.0899427266876921,-0.0234421273000878,0.22640959126088633,0.9285,0.05542220395161279,-0.014927143050679399,0.14138678642792998
BTC,LL3_k0.30,long_short,M3_linear,walk_forward_oos,0.09597905122484773,0.016566233251065623,0.19619528577220022,0.99,0.05930044294825021,0.009990820874658319,0.12052239600435953
BTC,LL3_k0.30,long_short,M4_strength,walk_forward_oos,0.0764489524700277,-0.03369400857893327,0.20462999060170856,0.9055,0.04676961613169128,-0.023184212647641606,0.13321214436869427
BTC,LL3_k0.30,long_short,M5_override,walk_forward_oos,0.03849396894574403,-0.0375279116406782,0.12915664658381823,0.83,0.023440039486314568,-0.02355767804014781,0.08063204583584671
BTC,LL3_k0.30,long_short,M6_probability,walk_forward_oos,0.04235877438568264,-0.057460749405225886,0.15961174645507065,0.779,0.025649277846578444,-0.036638275408903874,0.10434499811502147
BTC,LL3_k0.30,long_short,M1_1close,test_2024+,0.03525627475947063,-0.25775451381185316,0.37687357667987426,0.551,0.015438779651364753,-0.1165598095309508,0.15168609238171815
BTC,LL3_k0.30,long_short,M2_2close,test_2024+,0.01905998555445343,-0.1559256594519086,0.18813308403404053,0.5825,0.007976466616671285,-0.06741458601848477,0.08164834608399722
BTC,LL3_k0.30,long_short,M3_linear,test_2024+,0.019424991392309854,-0.12904765948514074,0.17693750349880255,0.5695,0.008948581766408337,-0.05555395154040705,0.0757492461057217
BTC,LL2_k0.30,long_flat,M1_1close,walk_forward_oos,0.055875569405660075,-0.06616971198171707,0.186984907640494,0.8015,0.037670339627858374,-0.04235089730756162,0.14078062608808573
BTC,LL2_k0.30,long_flat,M2_2close,walk_forward_oos,-0.008108083389194443,-0.08042843074800084,0.07195697950139429,0.401,-0.004644068562593917,-0.0483000555566455,0.051274497349904025
