asset,window,model,Sharpe,CAGR,MaxDD,dSharpe_vs_M0,dCAGR_vs_M0
BTC,2019+ (walk-forward span),M0_3close,1.1108681624321495,0.49154231886758115,-0.4834073664778906,0.0,0.0
BTC,2019+ (walk-forward span),M1_1close,1.343121793994991,0.6494277430647204,-0.34805486480220493,0.23225363156284162,0.15788542419713925
BTC,2019+ (walk-forward span),FAST_both,1.343121793994991,0.6494277430647204,-0.34805486480220493,0.23225363156284162,0.15788542419713925
BTC,2019+ (walk-forward span),M5_brk0.5_both,1.3244873107237662,0.6355313329111314,-0.32992365254775535,0.21361914829161677,0.14398901404355025
BTC,2019+ (walk-forward span),FAST_up,1.197793542219357,0.5556241343422423,-0.46411213995097966,0.0869253797872076,0.06408181547466119
BTC,2019+ (walk-forward span),M5_brk0.5_up,1.1811935351669736,0.5422775591793985,-0.4704168789951544,0.07032537273482409,0.05073524031181731
BTC,2019+ (walk-forward span),FAST_down,1.2559508689720509,0.5814818158086141,-0.3463603894051154,0.1450827065399014,0.08993949694103298
BTC,2019+ (walk-forward span),M5_brk0.5_down,1.253861877124545,0.5817283875730015,-0.3463603894051155,0.14299371469239563,0.09018606870542034
BTC,2019-2021,M0_3close,1.8152969704842536,1.4500766672769423,-0.3430894791815732,0.0,0.0
BTC,2019-2021,M1_1close,1.7660315775791973,1.380398661436665,-0.34805486480220493,-0.04926539290505638,-0.06967800584027728
BTC,2019-2021,FAST_both,1.7660315775791973,1.380398661436665,-0.34805486480220493,-0.04926539290505638,-0.06967800584027728
BTC,2019-2021,M5_brk0.5_both,1.8231876182839155,1.4608684974846136,-0.31686430849198866,0.007890647799661865,0.010791830207671271
BTC,2019-2021,FAST_up,1.791221314870331,1.4191992584239532,-0.3706500735295858,-0.024075655613922553,-0.030877408852989063
BTC,2019-2021,M5_brk0.5_up,1.810436262676011,1.4441174923193478,-0.34787547357153503,-0.004860707808242548,-0.00595917495759446
BTC,2019-2021,FAST_down,1.7901065626673727,1.4107808395256907,-0.31950477739834027,-0.025190407816880978,-0.03929582775125162
