feature,bucket,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best,asset,system,rule
ret_z20,<0.5,11,0.7272727272727273,0.017139686870743395,0.0024351994452462837,0.01180108151183712,-0.0004639043081426589,0.0269659409573953,0.12440427014164059,0.13711749496594716,0.007305598335738851,0.01337861039621433,-0.006705821740185358,-0.009298864412811692,0.0710828232193863,BTC,GERHARD_SMA120,M1_1close
ret_z20,0.5-1,14,0.5714285714285714,0.058497449188288406,0.029030333746322284,0.020985542216312394,-0.012488505013951469,0.06344949356272422,0.33166993122640787,0.46797959350630725,0.1741820024779337,0.03840714750290388,-0.05526840321504571,-0.06300117652155401,0.24233577151254437,BTC,GERHARD_SMA120,M1_1close
ret_z20,1-1.5,15,0.6,0.023342073955637636,0.022956420982183107,0.004822675980509339,-0.01883502060637683,0.026406310460052394,0.4958351456783588,0.21007866560073873,0.13773852589309865,0.00884870597060132,-0.06345230568019854,-0.13167120433374113,0.05896187670387465,BTC,GERHARD_SMA120,M1_1close
ret_z20,1.5-2,6,0.6666666666666666,0.04414613797588418,0.04544539495104072,0.01428229366690921,-0.027194185335722265,0.0607189650436013,0.5072510031512479,0.17658455190353672,0.09089078990208144,0.010162222912672578,-0.04588992292616467,-0.046334450901288626,0.09699795376677045,BTC,GERHARD_SMA120,M1_1close
ret_z20,2-2.5,4,1.0,0.02412350031177718,,,,,,0.09649400124710872,-0.0,0.021490508509455157,-0.02139572305327491,-0.026180651090025875,0.10456976674358431,BTC,GERHARD_SMA120,M1_1close
ret_z20,2.5-3,2,,,,,,,,,,,,,,BTC,GERHARD_SMA120,M1_1close
ret_z20,>3,16,0.8125,0.0314154278814157,0.030604217302527197,0.019786744409426408,-0.003010728223497979,0.04398944158397154,0.49346005143626226,0.40840056245840406,0.09181265190758159,0.0315164170969441,-0.05244555526343586,-0.06628339184043286,0.12634035170396674,BTC,GERHARD_SMA120,M1_1close
brk_vol,<0.5,37,0.5675675675675675,0.024328279354929136,0.019315078735964046,0.005455475856164517,-0.013176151052020016,0.02072144016798648,0.4425662822676887,0.5108938664535119,0.30904125977542474,0.020803234929224413,-0.053483917067389954,-0.13167120433374113,0.11448599015184846,BTC,GERHARD_SMA120,M1_1close
brk_vol,0.5-1,12,0.8333333333333334,0.06747168251177431,0.03938598691473655,0.04966207094068917,-0.003497041482855403,0.11416306096237598,0.36858362273962414,0.6747168251177431,0.0787719738294731,0.07067170679644176,-0.03886895170613092,-0.04455633900079281,0.24233577151254437,BTC,GERHARD_SMA120,M1_1close
brk_vol,1-1.5,8,0.875,0.042548580731034166,0.04783294307110353,0.03125089025576695,-0.003492068411220864,0.06768484384460861,0.5292336426615125,0.29784006511723915,0.04783294307110353,0.025107259094679965,-0.034429780664625,-0.04783294307110353,0.12634035170396674,BTC,GERHARD_SMA120,M1_1close
brk_vol,1.5-2,0,,,,,,,,,,,,,,BTC,GERHARD_SMA120,M1_1close
