feature,bucket,n,confirmed_rate,confirmed_lo,confirmed_hi,reversed_early_rate,reversed_early_lo,reversed_early_hi,valid_3d_rate,valid_3d_lo,valid_3d_hi,valid_5d_rate,valid_5d_lo,valid_5d_hi,valid_10d_rate,valid_10d_lo,valid_10d_hi,valid_20d_rate,valid_20d_lo,valid_20d_hi,fwd_3d_mean,mae_3d_median,mfe_3d_median,excess_3d_mean,fwd_3d_median,win_3d,fwd_5d_mean,mae_5d_median,mfe_5d_median,excess_5d_mean,fwd_5d_median,win_5d,fwd_10d_mean,mae_10d_median,mfe_10d_median,excess_10d_mean,fwd_10d_median,win_10d,fwd_20d_mean,mae_20d_median,mfe_20d_median,excess_20d_mean,fwd_20d_median,win_20d,binning,system,asset
ret_z20,<0.5,11,0.7272727272727273,0.4343497069897537,0.9025411942607853,0.2727272727272727,0.09745880573921467,0.5656502930102463,0.6363636363636364,0.35379677689163724,0.8483377638586862,0.5454545454545454,0.28008775568998817,0.7872904245601196,0.6363636363636364,0.35379677689163724,0.8483377638586862,0.2727272727272727,0.09745880573921467,0.5656502930102463,0.003555127029178111,-0.010736170985910842,0.01591716890743311,0.0057220869867181615,0.0011517568589698435,0.5454545454545454,0.010536780238442905,-0.014783744756927786,0.023077319322103662,0.014229674018180689,-0.00028079216424692355,0.45454545454545453,0.006222781809842249,-0.021829576116285,0.024502481155239564,0.01320810164114734,0.006210461985696081,0.5454545454545454,-0.04881051637425569,-0.08398152440804263,0.02716778523489949,-0.035923251174744715,-0.04181047064681742,0.18181818181818182,sigma,GERHARD_SMA120,BTC
ret_z20,0.5-1,14,0.5714285714285714,0.3259026690286936,0.7861949006959948,0.42857142857142855,0.21380509930400526,0.6740973309713064,0.7142857142857143,0.4535045882751561,0.882788120898909,0.7857142857142857,0.5241027622679172,0.9242875166308363,0.7142857142857143,0.4535045882751561,0.882788120898909,0.5714285714285714,0.3259026690286936,0.7861949006959948,0.026399311529957496,-0.014198624714598762,0.04967658236880701,0.02576762834880183,0.028831614033376085,0.6428571428571429,0.027971342690996246,-0.014198624714598762,0.06939907270050877,0.02691308269796912,0.029895063300746094,0.5714285714285714,0.04057335272023297,-0.014198624714598762,0.07079708273532886,0.03841379559089501,0.04283305787041336,0.7142857142857143,0.028619602073892414,-0.03233973289229097,0.07259234785166863,0.024796234475584853,0.028902837845465656,0.5714285714285714,sigma,GERHARD_SMA120,BTC
ret_z20,1-1.5,15,0.6,0.357464427565077,0.8017577191740534,0.4,0.19824228082594664,0.642535572434923,0.8,0.5481406466534955,0.9295257935638959,0.6666666666666666,0.41713125151212976,0.8482389930530876,0.6666666666666666,0.41713125151212976,0.8482389930530876,0.5333333333333333,0.3011663015105079,0.7519077474025355,0.02641827872113898,-0.0157083908505109,0.03827175406300776,0.029388076892874895,0.01863545461756888,0.7333333333333333,0.01736930750423241,-0.022516856219757297,0.03827175406300776,0.0225474123811347,0.016748339190400197,0.6,0.007441480175732517,-0.036668013802965804,0.07101385553714179,0.01799235189783795,0.00605803562067142,0.6,-0.019198810246218206,-0.051969135474394634,0.09947047180858237,0.0024538307573360296,0.029104245931261596,0.5333333333333333,sigma,GERHARD_SMA120,BTC
ret_z20,1.5-2,6,0.6666666666666666,0.29998832134152864,0.9032306674407831,0.3333333333333333,0.09676933255921683,0.7000116786584712,0.5,0.18761280689940868,0.8123871931005913,0.5,0.18761280689940868,0.8123871931005913,0.5,0.18761280689940868,0.8123871931005913,0.16666666666666666,0.03005258587173032,0.563509436563646,-0.0035236370596570254,-0.024346232079384966,0.020874382509861955,-0.0055081953449622354,-0.009685908092003592,0.3333333333333333,0.0017030481666598558,-0.03473171660852803,0.03688932178883242,-0.0016572824180981494,-0.025637613894380296,0.3333333333333333,-0.026586067720737887,-0.047819685854909644,0.048169893825516064,-0.032824871820523766,-0.016564801059959278,0.5,-0.07736980220720885,-0.1554337177383912,0.048169893825516064,-0.08940841909779434,-0.08677002007487367,0.16666666666666666,sigma,GERHARD_SMA120,BTC
ret_z20,2-2.5,4,1.0,0.5100999795960008,1.0,0.0,0.0,0.48990002040399916,0.75,0.3006360524426366,0.9544139373553637,0.75,0.3006360524426366,0.9544139373553637,0.75,0.3006360524426366,0.9544139373553637,0.75,0.3006360524426366,0.9544139373553637,0.017192719512469173,-0.02352079043495353,0.03398491476391774,0.020297281516090292,-0.004139419387674481,0.5,0.03763260189814788,-0.027614625493578238,0.03398491476391774,0.04260353037976079,0.018499616479473124,0.75,0.03368795580440381,-0.03766053834022559,0.05948250970727592,0.04269190781753948,0.027228787809594923,0.75,0.01807099755359473,-0.03766053834022559,0.10403346837977467,0.036607773555505055,0.03340049476711837,0.5,sigma,GERHARD_SMA120,BTC
ret_z20,2.5-3,2,1.0,0.34237195288961925,1.0,0.0,0.0,0.6576280471103807,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.5,0.09452865480086614,0.9054713451991339,0.04701889231832124,-0.023976541465732915,0.10848374232251706,0.05424104028953378,0.04701889231832124,0.5,-0.07324302230825308,-0.13940358469182884,0.10848374232251706,-0.0613534913484548,-0.07324302230825308,0.5,-0.09100172171620896,-0.14415511868687841,0.10848374232251706,-0.06807013710464888,-0.09100172171620896,0.5,-0.09941594603696313,-0.14538448949017296,0.10848374232251706,-0.05501580346555577,-0.09941594603696313,0.5,sigma,GERHARD_SMA120,BTC
ret_z20,>3,16,0.8125,0.5699064013154177,0.9340852122641324,0.1875,0.06591478773586765,0.4300935986845823,0.8125,0.5699064013154177,0.9340852122641324,0.875,0.6397666856325173,0.9650232506629428,0.875,0.6397666856325173,0.9650232506629428,0.8125,0.5699064013154177,0.9340852122641324,0.0215556349550158,-0.023013813519990878,0.03719671811692793,0.020076873765026534,0.014426739557381552,0.6875,0.04837591070573928,-0.023013813519990878,0.05768053433311837,0.045839420279153886,0.03348534218370541,0.6875,0.06273237176211584,-0.027909768841017812,0.08462444372023809,0.057368410541080196,0.020722739644225496,0.75,0.07987458811646006,-0.03497195922627361,0.11068403716898323,0.06914910310049847,0.0690513471406421,0.8125,sigma,GERHARD_SMA120,BTC
ret2_z20,<0.5,15,0.6666666666666666,0.41713125151212976,0.8482389930530876,0.3333333333333333,0.15176100694691236,0.5828687484878701,0.6666666666666666,0.41713125151212976,0.8482389930530876,0.7333333333333333,0.4804911034231324,0.8910272389681718,0.7333333333333333,0.4804911034231324,0.8910272389681718,0.5333333333333333,0.3011663015105079,0.7519077474025355,0.010818122913916173,-0.010736170985910842,0.029173046384470602,0.012069342399498395,0.005322893593640021,0.6,0.020348983675094502,-0.014783744756927786,0.051411541249228865,0.022505598589290205,0.016748339190400197,0.6,0.025264795339204168,-0.017960617282591684,0.05700179533213645,0.029012259301109407,0.010611445938288666,0.6666666666666666,-0.0033000612560516304,-0.029519904896146976,0.06189494672354434,0.0031664190303863408,-0.012767784880167943,0.4666666666666667,sigma,GERHARD_SMA120,BTC
ret2_z20,0.5-1,15,0.6666666666666666,0.41713125151212976,0.8482389930530876,0.3333333333333333,0.15176100694691236,0.5828687484878701,0.6666666666666666,0.41713125151212976,0.8482389930530876,0.4,0.19824228082594664,0.642535572434923,0.5333333333333333,0.3011663015105079,0.7519077474025355,0.4,0.19824228082594664,0.642535572434923,0.007002619565576803,-0.017321129721593054,0.02716778523489949,0.00705385848671195,-0.005194882709738224,0.4666666666666667,-0.01428245100941956,-0.029564814054278576,0.02716778523489949,-0.014152170630327632,-0.024689618737342656,0.26666666666666666,-0.004049974688129909,-0.04624245882386813,0.02940174410762242,-0.003896182196994441,-0.013612749845909988,0.4666666666666667,-0.024756179701065716,-0.08876175604124503,0.05876005934451278,-0.02503753934177941,-0.0613357956465449,0.4,sigma,GERHARD_SMA120,BTC
ret2_z20,1-1.5,11,0.5454545454545454,0.28008775568998817,0.7872904245601196,0.45454545454545453,0.21270957543988045,0.7199122443100118,0.6363636363636364,0.35379677689163724,0.8483377638586862,0.7272727272727273,0.4343497069897537,0.9025411942607853,0.6363636363636364,0.35379677689163724,0.8483377638586862,0.45454545454545453,0.21270957543988045,0.7199122443100118,0.019606941449154112,-0.015229158634450846,0.028395156475198413,0.024112290011368744,0.01275131877757274,0.6363636363636364,0.02955627261266887,-0.020024589069375986,0.031453341013600866,0.03726705050951637,0.02091761171763662,0.6363636363636364,0.004656289333872147,-0.036668013802965804,0.057086818040016585,0.020610336852103197,0.0034554718078976254,0.6363636363636364,-0.017932076146080226,-0.049735815658036864,0.07414225088299942,0.016750947295928173,-0.03776857629545949,0.45454545454545453,sigma,GERHARD_SMA120,BTC
