asset,system,exposure,model,window,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew,Trades,Whipsaws,WhipsawsPerYr,TurnoverPerYr,Exposure,UpCapture,DownCapture,WorstMonth
BTC,GERHARD_SMA120,long_flat,M0_3close,full,3696,0.6950857106391521,0.5146405754665647,1.2805098921590528,1.4098984103555194,-0.6662468459037092,1.0432855553654823,-0.1569052633763215,0.8068516040523931,25,13,1.2838203463203464,4.740259740259741,0.5798160173160173,0.7293576372064849,0.4694986689873458,-0.2714495211398873
BTC,GERHARD_SMA120,long_flat,M0_3close,train_<=2021,1978,1.4938885485433886,0.6303578498957266,1.762556855313629,2.049699370467395,-0.6662468459037092,2.2422448342206427,-0.1569052633763215,0.6929778463082977,11,5,0.922649140546006,3.875126390293225,0.6440849342770475,0.8045416971865258,0.43563480595183707,-0.2714495211398873
BTC,GERHARD_SMA120,long_flat,M0_3close,validation_2022-23,730,0.07074525760579942,0.3164877614113838,0.3744276006501026,0.33002487399236413,-0.35052127636867725,0.20182871162259994,-0.14330211183137698,0.002159918060469928,5,2,1.0,4.5,0.4095890410958904,0.45623554869133987,0.3657864154978119,-0.24131228543517447
BTC,GERHARD_SMA120,long_flat,M0_3close,test_2024+,988,0.09872593182547607,0.3452857534991871,0.4441730081675123,0.5245580839027544,-0.3695228224464123,0.26717140546790763,-0.08440339319160906,0.5692237524495404,10,6,2.216599190283401,6.649797570850202,0.5769230769230769,0.6105432397232852,0.6716669331286107,-0.17950762230637474
BTC,GERHARD_SMA120,long_flat,M1_1close,full,3696,0.8353380309573999,0.5110367338596747,1.4413115402872871,1.614257398458759,-0.6206668940879759,1.3458717371817734,-0.1569052633763215,0.897114619994321,45,28,2.765151515151515,8.690476190476192,0.5784632034632035,0.747232139844357,0.3871722240069185,-0.27974382408590304
BTC,GERHARD_SMA120,long_flat,M1_1close,train_<=2021,1978,1.46762088334083,0.6297688632211063,1.746645398687068,2.0456938041213566,-0.6206668940879759,2.364587022959216,-0.1569052633763215,0.7123926645969985,20,11,2.029828109201213,7.196663296258847,0.6425682507583418,0.8035683611419421,0.4446709230603001,-0.27974382408590304
BTC,GERHARD_SMA120,long_flat,M1_1close,validation_2022-23,730,0.3385820452521606,0.29786365335888765,1.1259245231783477,1.2222752164489452,-0.2026331184673692,1.6709116841958083,-0.07222659109541951,1.5029511110760556,7,4,2.0,6.5,0.4095890410958904,0.5689690507229217,0.2059434554366231,-0.08997698547450328
BTC,GERHARD_SMA120,long_flat,M1_1close,test_2024+,988,0.2811744721050835,0.3408456540172703,0.8960496932354409,1.0885331089358863,-0.2848957836777559,0.986937990009422,-0.08440339319160906,0.742532674205633,19,13,4.802631578947368,13.299595141700404,0.5748987854251012,0.6384176301609326,0.4318833118940149,-0.14962778216524586
BTC,GERHARD_SMA120,long_flat,M2_2close,full,3696,0.7547654928569538,0.5119335676281277,1.3519683846322816,1.5074656651519072,-0.6763116796691957,1.1160024520441998,-0.1569052633763215,0.8731950279294027,30,17,1.6788419913419914,5.727813852813854,0.5792748917748918,0.7339713587739004,0.4289990313597969,-0.2714495211398873
BTC,GERHARD_SMA120,long_flat,M2_2close,train_<=2021,1978,1.4484060676446062,0.6289280902985463,1.7357152499161428,2.029329871700182,-0.6763116796691957,2.141625098583341,-0.1569052633763215,0.7109677678887051,13,7,1.2917087967644085,4.61324570273003,0.6435793731041456,0.7968928534983779,0.4388530086618715,-0.2714495211398873
BTC,GERHARD_SMA120,long_flat,M2_2close,validation_2022-23,730,0.21585226861389883,0.30472590732684357,0.7921933971394296,0.7986562888009091,-0.2253893993281858,0.9576859837121261,-0.09921776250650094,1.0525313121197515,5,2,1.0,4.5,0.410958904109589,0.521672468150048,0.2823540149700991,-0.13106786387919078
BTC,GERHARD_SMA120,long_flat,M2_2close,test_2024+,988,0.18121027833412584,0.3440222167050148,0.6548533662988453,0.7817445571048605,-0.3278055954323569,0.5527980024109101,-0.08440339319160906,0.6476925242560209,13,8,2.9554655870445345,8.866396761133604,0.5748987854251012,0.6223323948910595,0.5621639872200077,-0.14962778216524586
BTC,GERHARD_SMA120,long_flat,M3_linear,full,3696,0.7716031562567689,0.5098457752089979,1.3741187576329281,1.5475515807688072,-0.6465826172614896,1.193355861505814,-0.1569052633763215,0.8936565944341924,33,21,2.0738636363636367,6.386183261183261,0.5792748917748918,0.738620722722706,0.425698597060226,-0.27421428878855914
BTC,GERHARD_SMA120,long_flat,M3_linear,train_<=2021,1978,1.4922235898292358,0.6280883569141799,1.765470594450882,2.075687134423101,-0.6465826172614896,2.3078622127970907,-0.1569052633763215,0.7170619768950627,15,10,1.845298281092012,5.2283451297607,0.6434108527131783,0.8037748679651684,0.43428834918649223,-0.27421428878855914
BTC,GERHARD_SMA120,long_flat,M3_linear,validation_2022-23,730,0.20678728380660027,0.2977328046051238,0.778405402281697,0.8066603794190929,-0.22961321504406418,0.9005896449249079,-0.07222659109541951,1.2242193229176686,5,2,1.0,5.166666666666666,0.4100456621004566,0.5158090231667032,0.2854297265211206,-0.1346233767444155
BTC,GERHARD_SMA120,long_flat,M3_linear,test_2024+,988,0.1880116793029445,0.33986446826034356,0.675564806301,0.8207670502287043,-0.3215188340999229,0.5847610135476962,-0.08440339319160906,0.6772869499213592,14,9,3.324898785425101,9.605263157894736,0.5759109311740891,0.6252545019766431,0.555283864345646,-0.14962778216524586
BTC,GERHARD_SMA120,long_short,M0_3close,full,3696,0.3817318460669581,0.6756127421059269,0.8133953659701648,1.1441575696212705,-0.7789158634879199,0.4900809753156072,-0.16643230640130977,0.584173285037464,49,24,2.3701298701298703,9.480519480519481,1.0,0.42308712772479673,0.0213196640619645,-0.32937585261320523
