ts,from_state,target,closes_reached,confirmed,reversed_early,exposure_change,valid_3d,regime_3d,valid_5d,regime_5d,valid_10d,regime_10d,valid_20d,regime_20d,kind,direction,ret_z10,ret_z20,ret_z30,ret_z60,move_atr,ret2_z20,mom30,mom90,sma_slope,funding_z90,premium_z90,oi_chg_1d,oi_chg_7d,spx_ret20,perp_taker_share,breadth_above20,breadth_up30,tr_atr,range_atr,spot_vol_z,perp_vol_z,vol_pct,dvol,dvol_chg5,rv_minus_iv,funding_ann,premium,weekend,macro_risk_on,gap_from_high90,gap_from_low90,brk_atr_toward,brk_vol_toward,brk_atr_leave,brk_vol_leave,range_breakout_20,range_breakout_60,range_breakout_120,trend_agree_count,trend_agree_share,liq_forced_oi,vol_regime,bull_env,liquidity_regime,brk_atr,brk_vol,asset,prior_vol,fwd_1d,mfe_1d,mae_1d,voladj_1d,fwd_3d,mfe_3d,mae_3d,voladj_3d,fwd_5d,mfe_5d,mae_5d,voladj_5d,fwd_10d,mfe_10d,mae_10d,voladj_10d,fwd_20d,mfe_20d,mae_20d,voladj_20d,entry_px,year,base_1d,base_3d,base_5d,base_10d,base_20d,excess_1d,excess_3d,excess_5d,excess_10d,excess_20d,cluster,system,exposure,incr_m1,incr_m2,incr_k1,incr_m3
2016-08-02,1,-1,1,0,1,-1.0,0,0,0,0,0,0,0,0,to_short,-1,6.736528655362224,7.851090910287494,5.326922509731389,3.2122098626186983,4.821841739935212,7.20458061085234,0.19000828874990572,-0.19789159311758953,-0.033761875567275945,,,,,,,,,9.282027551347301,9.282027551347301,,,,,,,,,0,,-0.3154556454180729,0.23556321839080474,1.3799641666369982,2.302635654489084,1.3799641666369982,2.302635654489084,4.380450646068409,-4.447371231267573,-8.682589969031426,4.0,0.5,,,bull,low,1.3799641666369982,2.302635654489084,BTC,0.015117139615338126,-0.06414253897550126,0.036191536748329645,-0.069042316258352,-4.243034106162589,-0.0820341499628805,0.036191536748329645,-0.11349294729027481,-3.1330291158888546,-0.10456570155902001,0.036191536748329645,-0.11349294729027481,-3.09338965902902,-0.09083147735708996,0.036191536748329645,-0.11560876020786948,-1.9000575439217504,-0.08611729769858956,0.036191536748329645,-0.11560876020786948,-1.273813278123418,538.8,2016,-0.0025721118392046704,-0.007814324815015825,-0.013439336562378225,-0.02481326966229085,-0.04919771293832621,-0.06157042713629659,-0.07421982514786467,-0.09112636499664178,-0.06601820769479912,-0.036919584760263344,2016-08,GERHARD_SMA120,long_flat,-0.06628339184043286,0.0,-0.06628339184043286,-0.022094463946810878
2016-08-15,1,-1,1,0,1,-1.0,1,0,0,1,1,1,0,1,to_short,-1,1.1299033786211985,0.36650642686053075,0.44140556061986136,0.34419768104753745,0.30870152421377767,0.6650347559710914,0.14787189338456008,-0.2501155903916863,-0.02382300634066703,,,,,,,,,0.5758140930820872,0.5749565888481608,,,,,,,,,0,,-0.2768388206075273,0.3052643678160918,0.27475507535318733,0.3246037768635563,0.27475507535318733,0.3246037768635563,-3.635389199734171,-3.635389199734171,-5.974660749887449,4.0,0.5,,,bull,low,0.27475507535318733,0.3246037768635563,BTC,0.03438143609399764,-0.01967068768160596,0.003099410055472429,-0.024900942150215766,-0.5721310659574251,-0.010988817469402168,0.003099410055472429,-0.024900942150215766,-0.18452971849953115,-0.024689618737342656,0.003099410055472429,-0.028299727040591582,-0.3211481084403507,-0.013612749845909988,0.003099410055472429,-0.03370608435326239,-0.1252050513931178,-0.07760852337765245,0.003099410055472429,-0.08678348155322713,-0.5047431219317479,567.85,2016,-0.0025721118392046704,-0.007814324815015825,-0.013439336562378225,-0.02481326966229085,-0.04919771293832621,-0.01709857584240129,-0.003174492654386343,-0.01125028217496443,0.011200519816380861,-0.028410810439326237,2016-08,GERHARD_SMA120,long_flat,-0.002617497642548373,0.0006444854965559355,-0.002617497642548373,0.0033421979979751226
2016-08-17,1,-1,3,1,0,-1.0,0,1,0,0,1,1,0,0,to_short,-1,0.639447722821717,0.22752836695107082,0.27753294753297114,0.2313364756941246,0.19472495632536263,-0.23677190546574983,0.14959289415247956,-0.3103928098909623,-0.02277703537703779,,,,,,,,,0.5249478034854509,0.5249478034854509,,,,,,,,,0,,-0.2683563650257912,0.3190585533869117,0.09062664223727963,0.10592210631322467,0.09062664223727963,0.10592210631322467,-3.8966295964889865,-3.8966295964889865,-6.188163108781797,4.0,0.5,,,bull,low,0.09062664223727963,0.10592210631322467,BTC,0.034826242097049764,0.0006266863956828628,0.00252415353816704,-0.004421620680650884,0.01799466028911432,-0.012916702933240432,0.003603446775176322,-0.016485333797545243,-0.21413340821462146,-0.018713552093306607,0.003603446775176322,-0.021829576116285,-0.24030599950754866,0.0062842719122638835,0.009574375489598719,-0.021829576116285,0.05706217921301124,-0.06709026024893361,0.011019235790756476,-0.07429715379928625,-0.4307624753963219,574.45,2016,-0.0025721118392046704,-0.007814324815015825,-0.013439336562378225,-0.02481326966229085,-0.04919771293832621,0.003198798234887533,-0.005102378118224607,-0.005274215530928382,0.031097541574554733,-0.017892547310607396,2016-08,GERHARD_SMA120,long_flat,0.019055268697119265,0.007267311196590076,0.019055268697119265,0.010566453444530999
2016-08-20,-1,1,3,1,0,1.0,0,1,0,0,0,0,1,1,to_long,1,1.1809987908188002,0.40780675258058113,0.4970003302761797,0.43949161371421547,0.3488619442671789,0.27349324502631517,-0.12799724253686606,0.31501988790453805,0.02097125691510282,,,,,,,,,0.4909593703467329,0.4909593703467329,,,0.4508816120906801,,,,,,1,,-0.25890594153983315,0.3209307604994325,0.08833581507481054,0.10289916894060223,0.08833581507481054,0.10289916894060223,-3.1963412039991472,-5.802595192512228,-8.648372686662407,4.0,0.5,,mid,bull,low,0.08833581507481054,0.10289916894060223,BTC,0.034802604154927724,-0.0007391872378464948,0.0039022209997936486,-0.004091315409475382,-0.02123942319246914,0.0011517568589698435,0.009059341263838228,-0.00730592037406308,0.0191068211334721,-0.010554906140411213,0.009059341263838228,-0.014783744756927786,-0.1356305839702381,-0.011637901395860517,0.009059341263838228,-0.021952141923949675,-0.10574575233376969,0.06936326755139932,0.08523000756377619,-0.02337894519700201,0.4456591256676791,581.72,2016,0.0025721118392046704,0.007814324815015825,0.013439336562378225,0.02481326966229085,0.04919771293832621,-0.003311299077051165,-0.006662567956045981,-0.023994242702789437,-0.03645117105815136,0.02016555461307311,2016-08,GERHARD_SMA120,long_flat,0.01771442131845835,0.011999163643613975,0.01771442131845835,0.009904680944193167
2016-08-23,1,-1,3,1,0,-1.0,1,1,1,1,1,1,0,0,to_short,-1,0.4091013438039175,0.2616650329464418,0.1679566856144715,0.16881717789682876,0.18877431057069347,-0.07267300949063601,0.11892586989409992,-0.28992890207978017,-0.019124114394961422,,,,,,,,,0.6247690705720298,0.6247690705720298,,,0.4625,,,,,,0,,-0.2582436477106286,0.29708240534521146,0.028551274730446944,0.03964214196664907,0.028551274730446944,0.03964214196664907,-4.2383527593967285,-6.676967518726273,-9.968761546471393,3.0,0.375,,mid,bull,low,0.028551274730446944,0.03964214196664907,BTC,0.01839505525967811,0.006730884802280235,0.012191143391885206,-0.0004979481103726258,0.3659072890655734,0.005322893593640021,0.01591716890743311,-0.0004979481103726258,0.16706522517995293,0.011985095897937836,0.023077319322103662,-0.0004979481103726258,0.2913770985335093,0.010611445938288666,0.024502481155239564,-0.0004979481103726258,0.18242042744111836,-0.04181047064681742,0.024502481155239564,-0.08398152440804263,-0.508240139634021,582.39,2016,-0.0025721118392046704,-0.007814324815015825,-0.013439336562378225,-0.02481326966229085,-0.04919771293832621,0.009302996641484904,0.013137218408655846,0.02542443246031606,0.03542471560057951,0.0073872422915087915,2016-08,GERHARD_SMA120,long_flat,0.01174419614119615,0.005376337943579834,0.01174419614119615,0.00570706077721106
2016-09-03,-1,1,3,1,0,1.0,1,1,1,1,1,1,0,0,to_long,1,5.951005570330191,4.424766957730927,4.063497700695706,1.8123601157469287,2.924115070439202,3.5426111108612837,0.02282553191489356,0.044751986369247376,0.017786964163956975,,,,,,,,,3.1158991357878607,3.1158991357878607,,,0.05596107055961071,,,,,,1,,-0.23465579825511051,0.26507368421052635,0.806617734106781,1.2090206144671454,0.806617734106781,1.2090206144671454,1.6479223392920521,-9.947910500769517,-21.811293950514983,7.0,0.875,,low,bull,low,0.806617734106781,1.2090206144671454,BTC,0.009485922246665574,0.01828831977102152,0.02695821476711102,-0.005674537799743695,1.9279432505837906,0.02006889321551597,0.02695821476711102,-0.005674537799743695,1.2214712074399414,0.04499692143843714,0.05053833225167659,-0.005674537799743695,2.121378870671873,0.012813472451034258,0.05053833225167659,-0.015193117334797779,0.42715675532056807,0.003378097282545456,0.05053833225167659,-0.015193117334797779,0.0796301610107985,600.93,2016,0.0025721118392046704,0.007814324815015825,0.013439336562378225,0.02481326966229085,0.04919771293832621,0.015716207931816852,0.012254568400500146,0.03155758487605892,-0.011999797211256592,-0.04581961565578076,2016-09,GERHARD_SMA120,long_flat,0.00850810947385261,-0.009812560492631905,0.00850810947385261,-0.0004347799156465531
2016-09-15,1,-1,3,1,0,-1.0,1,1,1,1,1,1,1,1,to_short,-1,0.38842136779803943,0.3494183039900739,0.39286538509909186,0.2217755436377354,0.28190260689199015,0.2635595272931537,-0.045628821111533435,0.19517188206205294,-0.021898738120506467,,,,,,,,,0.5807759392825121,0.5807759392825121,,,0.09219858156028368,,,,,,0,,-0.22888620008915483,0.2534989648033128,0.3922908908059544,0.48411722511305216,0.3922908908059544,0.48411722511305216,-3.5185970866921257,-11.543864611323244,-16.069391410927256,3.0,0.375,,low,bull,low,0.3922908908059544,0.48411722511305216,BTC,0.014098867616367092,-0.004129296533042615,0.0037659184381347854,-0.00441008869728976,-0.2928814317150547,-0.009860760120905754,0.0037659184381347854,-0.010736170985910842,-0.4037992741778953,-0.00028079216424692355,0.0037659184381347854,-0.01161158185091593,-0.00890667795300844,0.006210461985696081,0.021141998249178173,-0.01161158185091593,0.13929633025203322,-0.012767784880167943,0.021141998249178173,-0.019424210891432647,-0.20249594287279377,605.43,2016,-0.0025721118392046704,-0.007814324815015825,-0.013439336562378225,-0.02481326966229085,-0.04919771293832621,-0.0015571846938379442,-0.002046435305889929,0.013158544398131302,0.03102373164798693,0.03642992805815827,2016-09,GERHARD_SMA120,long_flat,-0.004112779067559025,4.9347786751918754e-05,-0.004112779067559025,-0.0013544769132226575
2016-10-11,-1,1,3,1,0,1.0,1,1,1,1,1,1,1,1,to_long,1,6.57742956082046,5.917442530303119,5.061879166711434,3.645220475302978,4.1570438799076035,4.421340593805672,0.056222653551337265,-0.020172734763634237,0.001655028388001245,,,,,,,,,5.13412684313375,5.13412684313375,,,0.0,,,,,,0,,-0.06251642479633257,0.32944099378881986,2.792340261739766,3.999860205300459,2.792340261739766,3.999860205300459,3.9296500266477046,1.922188665837629,-25.409486587315595,6.0,0.75,,low,bull,low,2.792340261739766,3.999860205300459,BTC,0.006273381458649064,-0.010135450723960715,0.0019928382375837828,-0.016176241631636334,-1.6156279975589634,-0.006647983808189317,0.0019928382375837828,-0.028366806788105103,-0.61182557868128,-0.0005916238517826855,0.0025066168457108517,-0.028366806788105103,-0.04217537729584281,-0.01785769889459743,0.0025066168457108517,-0.028366806788105103,-0.9001684761021963,0.08500700607192901,0.12975245212517517,-0.028366806788105103,3.0299678952011884,642.3,2016,0.0025721118392046704,0.007814324815015825,0.013439336562378225,0.02481326966229085,0.04919771293832621,-0.012707562563165384,-0.014462308623205142,-0.01403096041416091,-0.042670968556888275,0.0358092931336028,2016-10,GERHARD_SMA120,long_flat,-0.01011890474651933,-0.00015640182613896325,-0.01011890474651933,-0.003425094935527007
2017-03-24,1,-1,2,0,1,-1.0,0,0,0,0,0,0,0,0,to_short,-1,1.526641236500095,1.7172176923002538,1.977150900252716,2.546940409819303,0.8502361767157551,1.334878268316062,0.17173587546845515,-0.04864834548513741,-0.029002291106684952,,,,,,,,,1.0379531037340872,1.0379531037340872,,,0.8172920065252854,,,,,,0,,-0.3125955882352941,0.27255526516388984,0.31331521781788046,0.6401066796253851,0.31331521781788046,0.6401066796253851,-0.14533227214715902,-0.5168102250625173,-1.967307302876034,3.0,0.375,,high,bull,low,0.31331521781788046,0.6401066796253851,BTC,0.05367810140543412,-0.03189746554881001,0.04698424935487666,-0.04289400704549595,-0.5942360984023339,-0.1158009700941185,0.04698424935487666,-0.11989121240349943,-1.2455306634502306,-0.11707515552557468,0.04698424935487666,-0.14504299037401114,-0.9753996485615003,-0.23413960361054897,0.04698424935487666,-0.25139999785851197,-1.3793603321882069,-0.26031929587870617,0.04698424935487666,-0.32129817009840145,-1.0844117548850927,933.93,2017,-0.00834000453139004,-0.025775735540767817,-0.04344838894572062,-0.09081221849474663,-0.1904711333893669,-0.02355746101741997,-0.09002523455335068,-0.07362676657985406,-0.14332738511580234,-0.06984816248933928,2017-03,GERHARD_SMA120,long_flat,-0.04455633900079281,-0.0828041064719367,-0.04455633900079281,-0.01908242831742816
2018-01-30,1,-1,3,1,0,-1.0,1,1,1,1,1,1,0,1,to_short,-1,1.8293330225219584,1.7440859126141373,1.7148807573639813,1.4927265319093594,0.8001858571241095,1.6537163228190663,0.2790228469328355,-0.4733869029982207,-0.0588187919492531,,,,,-0.037160745971083875,,,,1.0207173943114947,1.0207173943114947,,,0.8810810810810811,,,,,,0,1.0,-0.4975364455743242,0.8136092366147656,0.3279806599819577,0.7211291837242497,0.3279806599819577,0.7211291837242497,-0.7022845529320381,-0.7022845529320381,-4.146309281860841,4.0,0.5,,high,bull,low,0.3279806599819577,0.7211291837242497,BTC,0.06131060799343308,-0.010504252126062985,0.03941770885442719,-0.03051025512756378,-0.1713284612540147,0.12080840420210104,0.24562281140570286,-0.03051025512756378,1.1376296365210221,0.18280040020010002,0.24562281140570286,-0.03051025512756378,1.3333879227078322,0.13246523261630816,0.41240620310155074,-0.03051025512756378,0.6832289868931427,-0.11455727863931964,0.41240620310155074,-0.13047523761880941,-0.4178034939440498,9995.0,2018,0.0024920653453473158,0.008139692875092386,0.014033887214871131,0.02749168831543621,0.05290094999245199,-0.0129963174714103,0.11266871132700865,0.16876651298522888,0.10497354430087195,-0.16745822863177162,2018-01,GERHARD_SMA120,long_flat,0.09699795376677045,0.10750220589283344,0.09699795376677045,0.06816671988653478
