test_year,M5_feature,M5_threshold,M5_train_sharpe,M4_feature,M4_p_star,M4_p2,M6_cutoff,M6_features,n_train_events,asset,system,exposure
2021,range_breakout_20,2.75,1.788042885598455,,,,,,26,ETH,GERHARD_SMA120,long_flat
2022,range_breakout_20,2.75,1.811844105091013,,,,,,29,ETH,GERHARD_SMA120,long_flat
2023,range_breakout_20,2.75,1.535797297914739,brk_vol,0.95,0.7857142857142857,,,43,ETH,GERHARD_SMA120,long_flat
2024,range_breakout_20,2.75,1.4903816209141256,brk_vol,0.95,0.7714285714285715,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",51,ETH,GERHARD_SMA120,long_flat
2025,move_atr,2.0,1.4322993995785234,ret_z20,0.95,0.7674418604651163,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",61,ETH,GERHARD_SMA120,long_flat
2026,range_breakout_20,1.25,1.3698331086808684,ret_z20,0.9139202927778108,0.7755102040816326,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",69,ETH,GERHARD_SMA120,long_flat
2019,range_breakout_20,2.5,2.0725545471285955,,,,,,13,ETH,GERHARD_SMA120,long_short
2020,range_breakout_20,2.5,1.8183883677429074,,,,,,19,ETH,GERHARD_SMA120,long_short
2021,range_breakout_20,2.75,1.4861800095633233,,,,,,26,ETH,GERHARD_SMA120,long_short
2022,range_breakout_20,2.75,1.4571654964809821,,,,,,29,ETH,GERHARD_SMA120,long_short
2023,range_breakout_20,2.75,1.2133288720108486,brk_vol,0.95,0.7857142857142857,,,43,ETH,GERHARD_SMA120,long_short
2024,range_breakout_20,2.75,1.1435071804511865,brk_vol,0.95,0.7714285714285715,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",51,ETH,GERHARD_SMA120,long_short
2025,range_breakout_20,2.75,1.0607752372195602,ret_z20,0.95,0.7674418604651163,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",61,ETH,GERHARD_SMA120,long_short
2026,range_breakout_20,1.25,1.0325563972860128,ret_z20,0.9139202927778108,0.7755102040816326,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",69,ETH,GERHARD_SMA120,long_short
2019,ret_z20,1.75,2.009426787308845,,,,,,14,ETH,LL3_k0.30,long_flat
2020,brk_vol,0.5,1.763492600429196,,,,,,20,ETH,LL3_k0.30,long_flat
2021,brk_vol,0.5,1.667118559673642,,,,,,28,ETH,LL3_k0.30,long_flat
2022,brk_vol,0.5,1.713333163619905,ret_z20,0.95,0.9696969696969697,,,34,ETH,LL3_k0.30,long_flat
2023,brk_vol,0.5,1.549660729806656,ret_z20,0.95,0.9777777777777777,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",46,ETH,LL3_k0.30,long_flat
2024,brk_vol,0.5,1.4956847572044236,ret_z20,0.95,0.9803921568627451,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",52,ETH,LL3_k0.30,long_flat
2025,brk_vol,0.5,1.4271720976464934,ret_z20,0.95,0.9836065573770492,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",62,ETH,LL3_k0.30,long_flat
2026,brk_vol,0.5,1.4020376094855522,ret_z20,0.95,0.9850746268656716,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",68,ETH,LL3_k0.30,long_flat
2019,ret_z20,1.75,1.9245392947036146,,,,,,14,ETH,LL3_k0.30,long_short
2020,brk_vol,0.5,1.6322915938343532,,,,,,20,ETH,LL3_k0.30,long_short
2021,brk_vol,0.5,1.347717459179116,,,,,,28,ETH,LL3_k0.30,long_short
2022,brk_vol,0.5,1.3094831735514525,brk_vol,0.95,0.9696969696969697,,,34,ETH,LL3_k0.30,long_short
2023,brk_vol,0.5,1.1092380207382577,ret_z20,0.95,0.9777777777777777,0.8,"ret_z20,brk_vol,trend_agree_share,vol_pct",46,ETH,LL3_k0.30,long_short
2024,range_breakout_20,0.5,1.0448029957738794,ret_z20,0.95,0.9803921568627451,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",52,ETH,LL3_k0.30,long_short
2025,range_breakout_20,1.0,0.9272820496295744,ret_z20,0.95,0.9836065573770492,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",62,ETH,LL3_k0.30,long_short
2026,range_breakout_20,1.0,0.9037001790368493,ret_z20,0.95,0.9850746268656716,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",68,ETH,LL3_k0.30,long_short
2019,ret_z20,0.75,2.1240279942954086,,,,,,4,ETH,LL2_k0.30,long_flat
2020,brk_vol,0.5,1.8490912292831847,,,,,,6,ETH,LL2_k0.30,long_flat
2021,brk_vol,0.5,1.7818103063156228,,,,,,9,ETH,LL2_k0.30,long_flat
2022,brk_vol,0.5,1.7239810716917527,,,,,,11,ETH,LL2_k0.30,long_flat
2023,ret_z20,1.25,1.4361043492978232,,,,,,16,ETH,LL2_k0.30,long_flat
2024,ret_z20,1.25,1.3697630349767072,,,,,,19,ETH,LL2_k0.30,long_flat
2025,ret_z20,1.25,1.2799846969298156,,,,,,23,ETH,LL2_k0.30,long_flat
2026,ret_z20,1.25,1.2016159917273144,,,,,,26,ETH,LL2_k0.30,long_flat
2019,ret_z20,0.75,2.1234681149781585,,,,,,4,ETH,LL2_k0.30,long_short
2020,brk_vol,0.5,1.7899930506595547,,,,,,6,ETH,LL2_k0.30,long_short
2021,brk_vol,0.5,1.480888657313628,,,,,,9,ETH,LL2_k0.30,long_short
2022,brk_vol,0.5,1.317330666969987,,,,,,11,ETH,LL2_k0.30,long_short
2023,ret_z20,1.25,1.0520279651318167,,,,,,16,ETH,LL2_k0.30,long_short
2024,ret_z20,1.25,0.9494554475524931,,,,,,19,ETH,LL2_k0.30,long_short
2025,brk_vol,0.5,0.8226898148266345,,,,,,23,ETH,LL2_k0.30,long_short
2026,brk_vol,0.5,0.7678637999105817,,,,,,26,ETH,LL2_k0.30,long_short
2023,ret_z20,2.5,0.1277842751155764,,,,,,6,SOL,GERHARD_SMA120,long_flat
2024,brk_vol,2.0,1.0979869969325464,,,,,,16,SOL,GERHARD_SMA120,long_flat
2025,move_atr,1.25,0.8629273372792219,ret_z20,0.6482599758852947,0.9,,,31,SOL,GERHARD_SMA120,long_flat
2026,move_atr,1.25,0.6775914769538034,ret_z20,0.6210715256583463,0.9,0.5,"ret_z20,brk_vol,trend_agree_share,perp_vol_z,vol_pct",45,SOL,GERHARD_SMA120,long_flat
2023,ret_z20,2.5,0.9940696952009588,,,,,,6,SOL,GERHARD_SMA120,long_short
2024,brk_vol,2.0,0.7184083042807365,,,,,,16,SOL,GERHARD_SMA120,long_short
2025,move_atr,1.25,0.40191985884826475,ret_z20,0.6482599758852947,0.9,,,31,SOL,GERHARD_SMA120,long_short
2026,move_atr,1.25,0.31848634674929177,ret_z20,0.6210715256583463,0.9,0.7,"ret_z20,brk_vol,trend_agree_share,perp_vol_z,vol_pct",45,SOL,GERHARD_SMA120,long_short
2024,ret_z20,1.25,0.8261197520686417,,,,,,17,SOL,LL3_k0.30,long_flat
2025,ret_z20,1.25,0.6898087132299929,,,,,,27,SOL,LL3_k0.30,long_flat
2026,move_atr,0.5,0.4322747563771331,,,,,,37,SOL,LL3_k0.30,long_flat
2024,brk_vol,0.5,-0.10343270514607583,,,,,,17,SOL,LL3_k0.30,long_short
2025,brk_vol,0.5,-0.11705719333518004,,,,,,27,SOL,LL3_k0.30,long_short
2026,brk_vol,0.5,-0.14411135878687545,,,,,,37,SOL,LL3_k0.30,long_short
2024,ret_z20,0.75,0.41043346339643766,,,,,,6,SOL,LL2_k0.30,long_flat
2025,move_atr,1.0,0.4290715762550244,,,,,,10,SOL,LL2_k0.30,long_flat
2026,move_atr,1.0,0.33931066059304726,,,,,,13,SOL,LL2_k0.30,long_flat
2024,ret_z20,0.75,0.0029428982078979825,,,,,,6,SOL,LL2_k0.30,long_short
2025,move_atr,1.0,-0.10234762615712474,,,,,,10,SOL,LL2_k0.30,long_short
2026,move_atr,1.0,-0.05954164762659593,,,,,,13,SOL,LL2_k0.30,long_short
