feature,threshold,window,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew,Trades,Whipsaws,WhipsawsPerYr,TurnoverPerYr,Exposure,UpCapture,DownCapture,WorstMonth,M0_sharpe,asset,system,exposure
ret_z20,0.5,full,3696,0.8253287891804202,0.5113976958828425,1.4299521112620568,1.6019639195767696,-0.6441887362779918,1.2811909657859333,-0.1569052633763215,0.8941604234239693,42,25,2.4688852813852815,8.097943722943723,0.5798160173160173,0.7475160085558028,0.3961086279997028,-0.27974382408590304,1.2805098921590528,BTC,GERHARD_SMA120,long_flat
ret_z20,0.5,train_<=2021,1978,1.4415795947824712,0.6302924961627634,1.7288524474648266,2.0280960708220563,-0.6441887362779918,2.2378217960029265,-0.1569052633763215,0.710501820997654,19,10,1.845298281092012,6.8276036400404445,0.6450960566228514,0.8039900864570692,0.4609197481403823,-0.27974382408590304,1.762556855313629,BTC,GERHARD_SMA120,long_flat
ret_z20,0.5,validation_2022-23,730,0.32471589807559664,0.29837336048485624,1.0895873248841363,1.1866873962114954,-0.2190671365994239,1.4822665924070446,-0.07222659109541951,1.495320177313912,7,4,2.0,6.5,0.4123287671232877,0.556529534759809,0.2059434554366231,-0.08997698547450328,0.3744276006501026,BTC,GERHARD_SMA120,long_flat
ret_z20,0.5,test_2024+,988,0.29208050367784955,0.34066836130800876,0.9212399959593757,1.1150965182745625,-0.2809999240931056,1.039432678213367,-0.08440339319160906,0.7408283681577773,17,11,4.063765182186235,11.821862348178138,0.5728744939271255,0.6476473189162398,0.43118382851340803,-0.14962778216524586,0.4441730081675123,BTC,GERHARD_SMA120,long_flat
ret_z20,0.75,full,3696,0.8126582584765942,0.5118230569910214,1.4155649684496663,1.5868435677697437,-0.640011542909254,1.2697556278165745,-0.1569052633763215,0.8910875125000218,39,24,2.3701298701298703,7.505411255411256,0.5806277056277056,0.7497597998607725,0.4106052398929787,-0.27974382408590304,1.2805098921590528,BTC,GERHARD_SMA120,long_flat
ret_z20,0.75,train_<=2021,1978,1.456835079464252,0.6303074356773002,1.738738229341045,2.0372791399213046,-0.640011542909254,2.276263757434784,-0.1569052633763215,0.7088661690578634,17,9,1.6607684529828108,6.08948432760364,0.6450960566228514,0.8070314930764418,0.45958478596639474,-0.27974382408590304,1.762556855313629,BTC,GERHARD_SMA120,long_flat
ret_z20,0.75,validation_2022-23,730,0.3169001780309024,0.2982559421188375,1.0700456660160422,1.1649456359932544,-0.21906713659942434,1.4465893102458856,-0.07222659109541951,1.497468246014689,7,4,2.0,6.5,0.4095890410958904,0.5494118768041351,0.2059434554366231,-0.08997698547450328,0.3744276006501026,BTC,GERHARD_SMA120,long_flat
ret_z20,0.75,test_2024+,988,0.2486934689093725,0.3429060596426561,0.8178347026672272,0.9900236980591061,-0.30329606583380875,0.8199693201613905,-0.08440339319160906,0.7094155690752298,16,11,4.063765182186235,11.082995951417004,0.5779352226720648,0.6534768567236506,0.503289962713252,-0.14962778216524586,0.4441730081675123,BTC,GERHARD_SMA120,long_flat
ret_z20,1.0,full,3696,0.7676668018074817,0.5139714593447307,1.3630701955590019,1.5101290980020463,-0.615617438079154,1.2469867718542074,-0.1569052633763215,0.8322195524992345,36,22,2.172619047619048,6.912878787878788,0.5792748917748918,0.7463387356640052,0.4383839939576416,-0.27974382408590304,1.2805098921590528,BTC,GERHARD_SMA120,long_flat
ret_z20,1.0,train_<=2021,1978,1.5097592402093363,0.6298440124319715,1.7734479209725817,2.0780963972150532,-0.615617438079154,2.452430920280748,-0.1569052633763215,0.7119784330739889,15,8,1.4762386248736097,5.351365015166835,0.6445904954499494,0.8130594487899779,0.4469157857765634,-0.27974382408590304,1.762556855313629,BTC,GERHARD_SMA120,long_flat
